Minute | Consumption (W) - SCENARIO: Routine + Laundry + Cleaning
718    | 581.54         
719    | 582.79         
720    | 578.31         
721    | 732.53         
722    | 730.77         
723    | 727.85         
724    | 729.10         
725    | 732.45         
726    | 730.88         
727    | 733.31         
728    | 732.85         
729    | 727.57         
730    | 727.74         
731    | 1726.78        
732    | 1728.91        
733    | 1727.91        
734    | 1733.56        
735    | 1733.14        
736    | 1729.15        
737    | 1727.39        
738    | 1729.97        
739    | 1732.98        
740    | 1731.62        
741    | 731.71         
742    | 727.28         
743    | 732.32         
744    | 728.63         
745    | 733.01         
746    | 731.39         
747    | 732.44         
748    | 731.55         
749    | 726.77         
750    | 727.11         
751    | 730.49         
752    | 733.32         
753    | 731.59         
754    | 729.92         
755    | 727.25         
756    | 728.30         
757    | 732.89         
758    | 732.86         
759    | 726.69         
760    | 726.48         
761    | 727.34         
762    | 731.46         
763    | 730.25         
764    | 730.03         
765    | 729.27         
766    | 731.58         
767    | 727.85         
768    | 730.67         
769    | 730.97         
770    | 729.95         
771    | 727.31         
772    | 732.27         
773    | 732.20         
774    | 727.41         
775    | 727.08         
776    | 732.36         
777    | 726.43         
778    | 726.86         
779    | 729.91         
780    | 726.51         
781    | 701.87         
782    | 698.25         
783    | 699.73         
784    | 702.51         
785    | 702.35         
786    | 700.21         
787    | 699.32         
788    | 701.25         
789    | 697.49         
790    | 697.18         
791    | 703.59         
792    | 697.35         
793    | 701.91         
794    | 697.91         
795    | 697.89         
796    | 702.23         
797    | 700.74         
798    | 702.94         
799    | 698.33         
800    | 696.72         
801    | 700.66         
802    | 700.40         
803    | 697.90         
804    | 702.20         
805    | 701.16         
806    | 702.79         
807    | 697.67         
808    | 703.01         
809    | 699.66         
810    | 697.52         
811    | 701.00         
812    | 700.45         
813    | 700.34         
814    | 698.59         
815    | 698.16         
816    | 699.35         
817    | 699.02         
818    | 698.57         
819    | 696.68         
820    | 698.43         
821    | 703.48         
822    | 702.37         
823    | 701.42         
824    | 701.04         
825    | 701.56         
826    | 699.71         
827    | 700.23         
828    | 698.24         
829    | 699.92         
830    | 699.15         
831    | 697.62         
832    | 699.03         
833    | 702.32         
834    | 700.12         
835    | 703.38         
836    | 697.46         
837    | 698.40         
838    | 700.16         
839    | 702.44         
840    | 700.88         
841    | 1497.16        
842    | 1503.03        
843    | 1500.15        
844    | 1501.58        
845    | 1498.92        
846    | 1498.61        
847    | 1502.64        
848    | 1497.39        
849    | 1502.59        
850    | 1498.34        
851    | 1501.80        
852    | 1498.94        
853    | 1499.04        
854    | 1498.37        
855    | 1503.08        
856    | 1502.53        
857    | 1498.39        
858    | 1499.02        
859    | 1500.00        
860    | 1503.34        
861    | 1500.18        
862    | 1503.00        
863    | 1499.61        
864    | 1497.21        
865    | 1502.08        
866    | 1497.58        
867    | 1501.09        
868    | 1497.22        
869    | 1501.99        
870    | 1502.40        
871    | 701.03         
872    | 700.89         
873    | 698.00         
874    | 698.74         
875    | 700.09         
876    | 703.34         
877    | 701.36         
878    | 700.17         
879    | 699.24         
880    | 697.95         
881    | 702.82         
882    | 702.06         
883    | 702.09         
884    | 700.09         
885    | 702.18         
886    | 701.75         
887    | 702.53         
888    | 701.57         
889    | 702.30         
890    | 700.40         
891    | 702.78         
892    | 698.98         
893    | 700.76         
894    | 697.41         
895    | 697.25         
896    | 699.35         
897    | 701.54         
898    | 703.53         
899    | 696.79         
900    | 702.66         
901    | 703.47         
902    | 703.49         
903    | 703.35         
904    | 703.00         
905    | 696.98         
906    | 699.32         
907    | 699.91         
908    | 698.95         
909    | 700.15         
910    | 700.38         
911    | 699.36         
912    | 698.35         
913    | 698.89         
914    | 702.77         
915    | 696.93         
916    | 700.52         
917    | 697.21         
918    | 699.55         
919    | 700.03         
920    | 697.28         
921    | 700.37         
922    | 698.91         
923    | 702.33         
924    | 698.63         
925    | 698.52         
926    | 702.97         
927    | 702.77         
928    | 696.66         
929    | 699.04         
930    | 702.38         
931    | 700.21         
932    | 701.08         
933    | 701.40         
934    | 700.07         
935    | 698.07         
936    | 701.23         
937    | 699.11         
938    | 701.96         
939    | 702.17         
940    | 700.92         
941    | 703.01         
942    | 699.57         
943    | 696.79         
944    | 698.57         
945    | 702.50         
946    | 700.54         
947    | 698.62         
948    | 699.42         
949    | 700.95         
950    | 699.33         
951    | 698.40         
952    | 699.35         
953    | 697.87         
954    | 697.59         
955    | 698.60         
956    | 702.33         
957    | 701.22         
958    | 697.63         
959    | 702.11         
960    | 698.48         
961    | 699.30         
962    | 698.58         
963    | 699.23         
964    | 697.74         
965    | 700.49         
966    | 699.98         
967    | 702.82         
968    | 699.15         
969    | 696.65         
970    | 697.94         
971    | 699.38         
972    | 697.42         
973    | 701.54         
974    | 700.82         
975    | 698.67         
976    | 701.46         
977    | 701.77         
978    | 703.35         
979    | 699.84         
980    | 701.75         
981    | 698.87         
982    | 702.01         
983    | 697.12         
984    | 701.29         
985    | 696.64         
986    | 702.74         
987    | 697.82         
988    | 696.50         
989    | 701.81         
990    | 700.43         
991    | 703.46         
992    | 700.45         
993    | 700.80         
994    | 702.05         
995    | 701.66         
996    | 699.10         
997    | 697.40         
998    | 699.15         
999    | 701.10         
1000   | 699.83         
1001   | 697.84         
1002   | 702.15         
1003   | 699.01         
1004   | 698.34         
1005   | 703.53         
1006   | 699.17         
1007   | 696.65         
1008   | 696.70         
1009   | 698.91         
1010   | 700.54         
1011   | 697.55         
1012   | 701.92         
1013   | 696.77         
1014   | 703.17         
1015   | 701.67         
1016   | 699.48         
1017   | 702.37         
1018   | 696.98         
1019   | 703.07         
1020   | 700.06         
1021   | 852.42         
1022   | 847.47         
1023   | 852.53         
1024   | 853.31         
1025   | 850.25         
1026   | 848.55         
1027   | 852.62         
1028   | 852.37         
1029   | 847.64         
1030   | 847.25         
1031   | 851.89         
1032   | 849.65         
1033   | 850.25         
1034   | 851.07         
1035   | 850.69         
1036   | 853.29         
1037   | 852.89         
1038   | 849.34         
1039   | 850.45         
1040   | 851.37         
1041   | 848.75         
1042   | 849.46         
1043   | 847.82         
1044   | 850.25         
1045   | 846.85         
1046   | 850.25         
1047   | 851.03         
1048   | 853.49         
1049   | 851.76         
1050   | 851.55         
1051   | 853.13         
1052   | 849.10         
1053   | 849.93         
1054   | 849.96         
1055   | 852.75         
1056   | 849.31         
1057   | 847.65         
1058   | 853.26         
1059   | 852.31         
1060   | 849.93         
1061   | 850.67         
1062   | 851.55         
1063   | 852.45         
1064   | 851.15         
1065   | 850.76         
1066   | 849.79         
1067   | 850.05         
1068   | 852.60         
1069   | 851.91         
1070   | 847.40         
1071   | 850.22         
1072   | 849.51         
1073   | 848.72         
1074   | 846.49         
1075   | 848.12         
1076   | 846.60         
1077   | 849.03         
1078   | 847.77         
1079   | 852.06         
1080   | 850.11         
1081   | 846.92         
1082   | 846.48         
1083   | 851.39         
1084   | 846.40         
1085   | 850.08         
1086   | 847.17         
1087   | 853.05         
1088   | 849.46         
1089   | 851.25         
1090   | 848.37         
1091   | 850.32         
1092   | 846.83         
1093   | 850.61         
1094   | 853.57         
1095   | 847.54         
1096   | 851.85         
1097   | 848.54         
1098   | 852.83         
1099   | 850.09         
1100   | 847.64         
1101   | 850.22         
1102   | 847.79         
1103   | 851.28         
1104   | 852.13         
1105   | 849.12         
1106   | 852.42         
1107   | 850.05         
1108   | 849.57         
1109   | 852.57         
1110   | 850.90         
1111   | 849.72         
1112   | 850.91         
1113   | 851.75         
1114   | 849.36         
1115   | 853.09         
1116   | 848.26         
1117   | 847.02         
1118   | 847.79         
1119   | 847.05         
1120   | 846.61         
1121   | 853.56         
1122   | 847.14         
1123   | 847.15         
1124   | 851.14         
1125   | 850.20         
1126   | 851.69         
1127   | 848.71         
1128   | 852.09         
1129   | 847.37         
1130   | 849.99         
1131   | 847.48         
1132   | 851.58         
1133   | 846.50         
1134   | 848.11         
1135   | 851.25         
1136   | 848.76         
1137   | 849.61         
1138   | 850.74         
1139   | 848.89         
1140   | 850.12         
1141   | 849.17         
1142   | 846.95         
1143   | 853.44         
1144   | 850.05         
1145   | 847.93         
1146   | 851.65         
1147   | 850.65         
1148   | 852.12         
1149   | 852.56         
1150   | 848.59         
1151   | 851.08         
1152   | 850.82         
1153   | 849.51         
1154   | 847.54         
1155   | 853.53         
1156   | 848.59         
1157   | 849.46         
1158   | 853.58         
1159   | 849.40         
1160   | 847.46         
1161   | 851.16         
1162   | 850.08         
1163   | 849.89         
1164   | 851.73         
1165   | 848.80         
1166   | 853.29         
1167   | 848.62         
1168   | 846.85         
1169   | 852.50         
1170   | 852.98         
1171   | 848.47         
1172   | 850.71         
1173   | 848.97         
1174   | 850.23         
1175   | 850.11         
1176   | 851.20         
1177   | 846.89         
1178   | 853.28         
1179   | 848.79         
1180   | 849.54         
1181   | 851.61         
1182   | 850.90         
1183   | 846.68         
1184   | 850.13         
1185   | 847.93         
1186   | 853.37         
1187   | 849.84         
1188   | 848.04         
1189   | 852.07         
1190   | 851.87         
1191   | 853.35         
1192   | 851.94         
1193   | 849.85         
1194   | 848.37         
1195   | 851.24         
1196   | 847.27         
1197   | 847.55         
1198   | 848.72         
1199   | 851.30         
1200   | 848.58         
1201   | 847.89         
1202   | 849.97         
1203   | 846.81         
1204   | 851.14         
1205   | 850.71         
1206   | 846.81         
1207   | 849.78         
1208   | 851.08         
1209   | 850.46         
1210   | 852.15         
1211   | 850.33         
1212   | 851.67         
1213   | 852.79         
1214   | 852.81         
1215   | 850.07         
1216   | 847.06         
1217   | 850.19         
1218   | 851.79         
1219   | 848.14         
1220   | 850.23         
1221   | 853.56         
1222   | 849.78         
1223   | 852.29         
1224   | 851.68         
1225   | 850.48         
1226   | 851.97         
1227   | 851.57         
1228   | 850.90         
1229   | 852.84         
1230   | 849.47         
1231   | 847.86         
1232   | 847.94         
1233   | 851.30         
1234   | 851.65         
1235   | 847.84         
1236   | 850.21         
1237   | 848.09         
1238   | 849.61         
1239   | 847.00         
1240   | 847.26         
1241   | 853.57         
1242   | 847.39         
1243   | 847.06         
1244   | 848.50         
1245   | 847.91         
1246   | 853.27         
1247   | 853.00         
1248   | 852.45         
1249   | 851.15         
1250   | 846.65         
1251   | 849.04         
1252   | 852.08         
1253   | 847.27         
1254   | 850.48         
1255   | 851.09         
1256   | 850.24         
1257   | 849.14         
1258   | 847.22         
1259   | 850.97         
1260   | 850.96         
1261   | 452.75         
1262   | 449.22         
1263   | 448.57         
1264   | 446.78         
1265   | 448.75         
1266   | 447.89         
1267   | 448.31         
1268   | 447.02         
1269   | 453.36         
1270   | 448.83         
1271   | 450.94         
1272   | 448.49         
1273   | 447.71         
1274   | 453.25         
1275   | 448.22         
1276   | 452.41         
1277   | 452.92         
1278   | 452.93         
1279   | 450.77         
1280   | 450.28         
1281   | 452.63         
1282   | 452.16         
1283   | 451.37         
1284   | 452.54         
1285   | 452.89         
1286   | 448.29         
1287   | 447.43         
1288   | 446.46         
1289   | 447.82         
1290   | 447.43         
1291   | 448.38         
1292   | 450.05         
1293   | 453.11         
1294   | 452.74         
1295   | 449.10         
1296   | 452.91         
1297   | 453.15         
1298   | 453.56         
1299   | 449.98         
1300   | 452.36         
1301   | 447.36         
1302   | 450.53         
1303   | 447.79         
1304   | 446.46         
1305   | 448.27         
1306   | 447.70         
1307   | 448.68         
1308   | 447.48         
1309   | 452.66         
1310   | 450.59         
1311   | 447.31         
1312   | 449.71         
1313   | 449.37         
1314   | 452.02         
1315   | 449.10         
1316   | 452.85         
1317   | 450.05         
1318   | 453.57         
1319   | 450.84         
1320   | 451.27         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
