Minute | Consumption (W) - SCENARIO: Small Maintenance
726    | 728.33         
727    | 728.16         
728    | 731.83         
729    | 727.89         
730    | 730.70         
731    | 1731.64        
732    | 1727.74        
733    | 1731.82        
734    | 1727.51        
735    | 1726.55        
736    | 1729.27        
737    | 1730.28        
738    | 1730.84        
739    | 1733.38        
740    | 1726.45        
741    | 733.46         
742    | 728.85         
743    | 729.88         
744    | 727.03         
745    | 728.17         
746    | 731.61         
747    | 732.14         
748    | 726.66         
749    | 727.65         
750    | 728.19         
751    | 729.85         
752    | 730.02         
753    | 731.38         
754    | 733.30         
755    | 730.97         
756    | 728.70         
757    | 727.81         
758    | 732.22         
759    | 730.68         
760    | 728.04         
761    | 727.79         
762    | 727.84         
763    | 732.44         
764    | 727.85         
765    | 730.33         
766    | 730.37         
767    | 726.92         
768    | 730.71         
769    | 731.48         
770    | 732.57         
771    | 729.39         
772    | 732.68         
773    | 726.46         
774    | 733.11         
775    | 731.23         
776    | 733.06         
777    | 729.27         
778    | 730.95         
779    | 733.52         
780    | 733.41         
781    | 697.58         
782    | 701.36         
783    | 696.73         
784    | 701.09         
785    | 702.55         
786    | 701.92         
787    | 698.59         
788    | 703.35         
789    | 699.54         
790    | 700.78         
791    | 698.52         
792    | 701.58         
793    | 696.89         
794    | 696.72         
795    | 701.09         
796    | 699.72         
797    | 696.83         
798    | 696.77         
799    | 703.01         
800    | 698.88         
801    | 700.25         
802    | 696.48         
803    | 699.06         
804    | 701.76         
805    | 703.31         
806    | 703.40         
807    | 701.62         
808    | 700.91         
809    | 697.29         
810    | 702.26         
811    | 700.34         
812    | 699.41         
813    | 700.28         
814    | 700.48         
815    | 699.88         
816    | 699.72         
817    | 701.89         
818    | 701.32         
819    | 703.39         
820    | 699.99         
821    | 701.42         
822    | 700.58         
823    | 700.96         
824    | 700.94         
825    | 697.53         
826    | 701.38         
827    | 700.10         
828    | 699.63         
829    | 697.01         
830    | 698.07         
831    | 697.02         
832    | 697.67         
833    | 701.86         
834    | 703.05         
835    | 698.33         
836    | 701.27         
837    | 697.92         
838    | 703.06         
839    | 698.10         
840    | 699.85         
841    | 699.23         
842    | 697.50         
843    | 699.10         
844    | 700.64         
845    | 699.00         
846    | 698.90         
847    | 697.49         
848    | 697.18         
849    | 701.93         
850    | 701.42         
851    | 698.36         
852    | 699.42         
853    | 699.32         
854    | 702.01         
855    | 703.09         
856    | 699.68         
857    | 699.31         
858    | 700.03         
859    | 699.35         
860    | 700.09         
861    | 703.55         
862    | 700.84         
863    | 701.22         
864    | 699.39         
865    | 699.28         
866    | 700.79         
867    | 701.08         
868    | 703.30         
869    | 697.33         
870    | 698.28         
871    | 697.28         
872    | 700.98         
873    | 702.91         
874    | 697.35         
875    | 697.46         
876    | 696.98         
877    | 703.19         
878    | 698.37         
879    | 700.28         
880    | 697.35         
881    | 699.37         
882    | 702.75         
883    | 699.89         
884    | 703.53         
885    | 703.06         
886    | 703.06         
887    | 700.72         
888    | 696.82         
889    | 703.44         
890    | 697.53         
891    | 702.14         
892    | 700.50         
893    | 698.85         
894    | 696.61         
895    | 698.40         
896    | 699.29         
897    | 699.01         
898    | 700.63         
899    | 703.06         
900    | 699.68         
901    | 1498.90        
902    | 1500.42        
903    | 1501.18        
904    | 1502.55        
905    | 1501.00        
906    | 1497.42        
907    | 1501.53        
908    | 1500.29        
909    | 1498.10        
910    | 1496.90        
911    | 1502.94        
912    | 1501.54        
913    | 1501.45        
914    | 1499.94        
915    | 1498.18        
916    | 1499.02        
917    | 1500.99        
918    | 1502.68        
919    | 1501.83        
920    | 1500.30        
921    | 697.31         
922    | 701.90         
923    | 703.52         
924    | 699.49         
925    | 701.20         
926    | 698.01         
927    | 701.71         
928    | 698.91         
929    | 701.71         
930    | 700.75         
931    | 698.31         
932    | 697.30         
933    | 698.78         
934    | 700.19         
935    | 700.52         
936    | 700.95         
937    | 700.82         
938    | 698.32         
939    | 703.12         
940    | 697.21         
941    | 697.87         
942    | 702.21         
943    | 699.70         
944    | 696.93         
945    | 701.30         
946    | 701.07         
947    | 699.83         
948    | 698.75         
949    | 701.01         
950    | 698.53         
951    | 698.25         
952    | 696.91         
953    | 698.90         
954    | 701.39         
955    | 699.78         
956    | 702.76         
957    | 702.89         
958    | 703.14         
959    | 698.57         
960    | 700.22         
961    | 700.38         
962    | 703.12         
963    | 699.07         
964    | 696.55         
965    | 701.06         
966    | 700.43         
967    | 697.02         
968    | 696.73         
969    | 697.79         
970    | 696.46         
971    | 699.18         
972    | 696.91         
973    | 703.32         
974    | 702.79         
975    | 699.49         
976    | 701.79         
977    | 697.84         
978    | 702.94         
979    | 702.75         
980    | 701.59         
981    | 697.36         
982    | 703.04         
983    | 699.19         
984    | 699.89         
985    | 700.65         
986    | 701.52         
987    | 701.35         
988    | 700.69         
989    | 701.24         
990    | 696.88         
991    | 703.22         
992    | 696.90         
993    | 696.60         
994    | 701.19         
995    | 700.97         
996    | 696.75         
997    | 700.22         
998    | 698.06         
999    | 699.22         
1000   | 698.87         
1001   | 700.80         
1002   | 698.05         
1003   | 697.77         
1004   | 698.12         
1005   | 702.51         
1006   | 703.09         
1007   | 699.49         
1008   | 699.83         
1009   | 703.05         
1010   | 702.11         
1011   | 701.40         
1012   | 703.06         
1013   | 702.76         
1014   | 699.34         
1015   | 701.71         
1016   | 700.31         
1017   | 698.60         
1018   | 700.89         
1019   | 699.65         
1020   | 696.52         
1021   | 848.57         
1022   | 852.47         
1023   | 846.62         
1024   | 848.71         
1025   | 851.64         
1026   | 853.00         
1027   | 851.40         
1028   | 851.85         
1029   | 847.23         
1030   | 852.63         
1031   | 848.12         
1032   | 848.58         
1033   | 849.41         
1034   | 851.19         
1035   | 851.14         
1036   | 851.14         
1037   | 847.90         
1038   | 846.42         
1039   | 852.64         
1040   | 848.36         
1041   | 853.25         
1042   | 847.41         
1043   | 847.46         
1044   | 852.96         
1045   | 848.11         
1046   | 848.41         
1047   | 848.79         
1048   | 846.74         
1049   | 847.75         
1050   | 847.85         
1051   | 853.55         
1052   | 849.14         
1053   | 847.57         
1054   | 852.72         
1055   | 852.77         
1056   | 851.38         
1057   | 847.24         
1058   | 853.49         
1059   | 850.75         
1060   | 851.96         
1061   | 847.41         
1062   | 847.31         
1063   | 848.16         
1064   | 852.22         
1065   | 852.70         
1066   | 847.52         
1067   | 849.80         
1068   | 852.78         
1069   | 851.85         
1070   | 849.50         
1071   | 850.10         
1072   | 848.79         
1073   | 848.87         
1074   | 850.73         
1075   | 850.65         
1076   | 852.76         
1077   | 853.57         
1078   | 848.54         
1079   | 851.57         
1080   | 849.08         
1081   | 851.79         
1082   | 851.53         
1083   | 852.93         
1084   | 851.70         
1085   | 849.83         
1086   | 851.53         
1087   | 849.42         
1088   | 848.81         
1089   | 849.01         
1090   | 847.13         
1091   | 846.48         
1092   | 851.41         
1093   | 850.58         
1094   | 853.59         
1095   | 846.56         
1096   | 851.31         
1097   | 849.23         
1098   | 851.48         
1099   | 849.51         
1100   | 850.00         
1101   | 852.84         
1102   | 852.09         
1103   | 851.88         
1104   | 853.55         
1105   | 853.51         
1106   | 847.88         
1107   | 852.30         
1108   | 848.73         
1109   | 848.12         
1110   | 849.60         
1111   | 852.75         
1112   | 852.27         
1113   | 852.24         
1114   | 849.01         
1115   | 850.90         
1116   | 851.13         
1117   | 852.70         
1118   | 851.20         
1119   | 850.19         
1120   | 850.48         
1121   | 851.85         
1122   | 847.10         
1123   | 849.04         
1124   | 848.71         
1125   | 851.97         
1126   | 847.30         
1127   | 847.87         
1128   | 851.40         
1129   | 847.32         
1130   | 851.89         
1131   | 850.34         
1132   | 853.45         
1133   | 853.19         
1134   | 847.89         
1135   | 853.33         
1136   | 851.66         
1137   | 846.56         
1138   | 852.51         
1139   | 850.62         
1140   | 849.24         
1141   | 846.87         
1142   | 847.14         
1143   | 850.73         
1144   | 852.41         
1145   | 850.85         
1146   | 852.12         
1147   | 848.23         
1148   | 849.84         
1149   | 848.66         
1150   | 851.46         
1151   | 849.74         
1152   | 850.78         
1153   | 847.20         
1154   | 850.18         
1155   | 848.85         
1156   | 848.08         
1157   | 849.58         
1158   | 850.63         
1159   | 851.34         
1160   | 847.80         
1161   | 850.84         
1162   | 849.25         
1163   | 850.48         
1164   | 849.05         
1165   | 851.96         
1166   | 852.04         
1167   | 848.41         
1168   | 846.99         
1169   | 847.11         
1170   | 849.37         
1171   | 852.67         
1172   | 850.34         
1173   | 847.69         
1174   | 846.65         
1175   | 848.38         
1176   | 853.17         
1177   | 851.49         
1178   | 848.18         
1179   | 849.43         
1180   | 847.82         
1181   | 849.73         
1182   | 853.27         
1183   | 853.23         
1184   | 848.74         
1185   | 848.47         
1186   | 847.71         
1187   | 848.01         
1188   | 852.38         
1189   | 847.54         
1190   | 852.78         
1191   | 847.32         
1192   | 852.53         
1193   | 846.81         
1194   | 848.25         
1195   | 850.76         
1196   | 846.92         
1197   | 850.40         
1198   | 853.60         
1199   | 850.18         
1200   | 848.03         
1201   | 847.96         
1202   | 853.38         
1203   | 847.34         
1204   | 852.05         
1205   | 849.32         
1206   | 851.51         
1207   | 846.92         
1208   | 851.44         
1209   | 851.57         
1210   | 847.39         
1211   | 852.21         
1212   | 848.46         
1213   | 853.59         
1214   | 846.60         
1215   | 849.50         
1216   | 850.54         
1217   | 848.40         
1218   | 851.29         
1219   | 847.10         
1220   | 848.45         
1221   | 850.35         
1222   | 851.32         
1223   | 849.83         
1224   | 850.52         
1225   | 850.51         
1226   | 852.55         
1227   | 846.84         
1228   | 851.15         
1229   | 850.10         
1230   | 849.24         
1231   | 848.99         
1232   | 848.15         
1233   | 852.61         
1234   | 847.55         
1235   | 850.11         
1236   | 850.73         
1237   | 850.16         
1238   | 850.82         
1239   | 848.19         
1240   | 847.72         
1241   | 853.04         
1242   | 847.56         
1243   | 850.66         
1244   | 851.41         
1245   | 846.86         
1246   | 848.03         
1247   | 846.71         
1248   | 846.79         
1249   | 852.78         
1250   | 852.22         
1251   | 847.87         
1252   | 847.48         
1253   | 846.65         
1254   | 850.41         
1255   | 851.06         
1256   | 851.15         
1257   | 853.01         
1258   | 851.52         
1259   | 848.11         
1260   | 852.40         
1261   | 448.78         
1262   | 451.79         
1263   | 450.57         
1264   | 453.45         
1265   | 448.25         
1266   | 448.10         
1267   | 448.45         
1268   | 450.20         
1269   | 449.15         
1270   | 446.52         
1271   | 450.74         
1272   | 451.32         
1273   | 447.84         
1274   | 446.55         
1275   | 452.39         
1276   | 447.04         
1277   | 448.77         
1278   | 446.95         
1279   | 447.93         
1280   | 447.34         
1281   | 452.12         
1282   | 449.94         
1283   | 447.57         
1284   | 449.98         
1285   | 449.46         
1286   | 452.84         
1287   | 452.12         
1288   | 451.08         
1289   | 451.93         
1290   | 450.87         
1291   | 447.94         
1292   | 450.12         
1293   | 449.31         
1294   | 447.57         
1295   | 448.71         
1296   | 446.43         
1297   | 452.34         
1298   | 451.60         
1299   | 450.78         
1300   | 448.72         
1301   | 452.64         
1302   | 451.07         
1303   | 450.96         
1304   | 450.60         
1305   | 451.68         
1306   | 450.43         
1307   | 447.90         
1308   | 448.57         
1309   | 447.77         
1310   | 446.88         
1311   | 449.72         
1312   | 447.02         
1313   | 450.27         
1314   | 449.70         
1315   | 452.93         
1316   | 447.53         
1317   | 446.84         
1318   | 448.85         
1319   | 447.03         
1320   | 447.43         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
