Minute | Consumption (W) - SCENARIO: Weekly Laundry
719    | 581.82         
720    | 577.49         
721    | 728.54         
722    | 729.49         
723    | 732.53         
724    | 727.35         
725    | 726.46         
726    | 729.00         
727    | 731.15         
728    | 732.45         
729    | 729.67         
730    | 733.05         
731    | 1728.03        
732    | 1727.99        
733    | 1728.12        
734    | 1730.18        
735    | 1730.92        
736    | 1732.04        
737    | 1727.62        
738    | 1728.15        
739    | 1732.82        
740    | 1729.56        
741    | 727.05         
742    | 733.24         
743    | 727.16         
744    | 729.82         
745    | 727.44         
746    | 732.05         
747    | 731.54         
748    | 728.29         
749    | 732.75         
750    | 726.91         
751    | 733.10         
752    | 730.03         
753    | 729.92         
754    | 727.47         
755    | 731.33         
756    | 730.50         
757    | 732.16         
758    | 726.59         
759    | 731.34         
760    | 728.94         
761    | 733.05         
762    | 730.28         
763    | 733.38         
764    | 728.10         
765    | 730.36         
766    | 726.45         
767    | 728.17         
768    | 729.72         
769    | 727.84         
770    | 727.85         
771    | 731.87         
772    | 729.99         
773    | 733.02         
774    | 729.01         
775    | 729.24         
776    | 731.44         
777    | 732.69         
778    | 729.72         
779    | 728.06         
780    | 731.87         
781    | 702.35         
782    | 697.04         
783    | 696.49         
784    | 702.87         
785    | 696.81         
786    | 698.08         
787    | 700.23         
788    | 697.02         
789    | 697.39         
790    | 696.63         
791    | 700.45         
792    | 701.57         
793    | 700.61         
794    | 699.72         
795    | 700.26         
796    | 702.69         
797    | 700.15         
798    | 696.55         
799    | 697.92         
800    | 697.88         
801    | 702.97         
802    | 702.37         
803    | 699.14         
804    | 702.87         
805    | 700.89         
806    | 699.80         
807    | 702.49         
808    | 698.36         
809    | 699.34         
810    | 696.74         
811    | 701.68         
812    | 697.58         
813    | 700.60         
814    | 696.95         
815    | 699.02         
816    | 700.39         
817    | 697.12         
818    | 700.45         
819    | 701.83         
820    | 697.45         
821    | 701.82         
822    | 702.27         
823    | 697.31         
824    | 698.67         
825    | 699.51         
826    | 702.44         
827    | 697.87         
828    | 698.82         
829    | 696.59         
830    | 703.21         
831    | 698.19         
832    | 701.27         
833    | 697.62         
834    | 698.64         
835    | 702.16         
836    | 702.56         
837    | 699.74         
838    | 699.90         
839    | 696.62         
840    | 701.12         
841    | 699.60         
842    | 701.42         
843    | 702.62         
844    | 698.93         
845    | 702.28         
846    | 699.03         
847    | 702.66         
848    | 700.41         
849    | 697.90         
850    | 701.55         
851    | 700.61         
852    | 698.51         
853    | 701.00         
854    | 702.76         
855    | 698.92         
856    | 702.07         
857    | 700.41         
858    | 700.84         
859    | 701.68         
860    | 696.80         
861    | 701.28         
862    | 699.35         
863    | 701.16         
864    | 702.46         
865    | 697.67         
866    | 696.44         
867    | 696.51         
868    | 696.48         
869    | 701.59         
870    | 700.26         
871    | 703.23         
872    | 702.52         
873    | 702.71         
874    | 696.61         
875    | 702.81         
876    | 698.09         
877    | 697.71         
878    | 703.52         
879    | 702.48         
880    | 697.88         
881    | 698.88         
882    | 702.99         
883    | 700.49         
884    | 698.36         
885    | 701.28         
886    | 698.05         
887    | 698.84         
888    | 701.81         
889    | 700.95         
890    | 699.93         
891    | 702.29         
892    | 700.27         
893    | 701.65         
894    | 697.85         
895    | 697.15         
896    | 700.30         
897    | 700.60         
898    | 699.09         
899    | 701.82         
900    | 699.22         
901    | 697.60         
902    | 698.57         
903    | 697.18         
904    | 701.74         
905    | 701.04         
906    | 698.70         
907    | 702.68         
908    | 698.79         
909    | 697.32         
910    | 703.15         
911    | 698.43         
912    | 703.23         
913    | 696.90         
914    | 697.36         
915    | 703.43         
916    | 698.40         
917    | 703.31         
918    | 697.82         
919    | 701.34         
920    | 702.16         
921    | 701.68         
922    | 697.41         
923    | 700.00         
924    | 697.88         
925    | 702.95         
926    | 702.75         
927    | 699.37         
928    | 696.83         
929    | 701.81         
930    | 700.40         
931    | 702.12         
932    | 702.41         
933    | 699.36         
934    | 702.83         
935    | 700.21         
936    | 699.88         
937    | 701.25         
938    | 700.10         
939    | 701.28         
940    | 702.44         
941    | 698.37         
942    | 696.95         
943    | 699.15         
944    | 700.31         
945    | 699.23         
946    | 698.12         
947    | 703.39         
948    | 699.75         
949    | 702.39         
950    | 697.97         
951    | 700.69         
952    | 696.77         
953    | 702.96         
954    | 699.64         
955    | 697.16         
956    | 699.47         
957    | 699.16         
958    | 697.90         
959    | 702.74         
960    | 699.94         
961    | 697.27         
962    | 698.96         
963    | 701.45         
964    | 700.69         
965    | 698.69         
966    | 701.92         
967    | 700.11         
968    | 702.22         
969    | 696.89         
970    | 699.72         
971    | 699.46         
972    | 700.86         
973    | 698.80         
974    | 698.18         
975    | 701.25         
976    | 696.42         
977    | 702.57         
978    | 697.01         
979    | 697.69         
980    | 703.59         
981    | 703.27         
982    | 699.22         
983    | 697.91         
984    | 698.82         
985    | 697.54         
986    | 700.70         
987    | 700.17         
988    | 701.24         
989    | 702.40         
990    | 697.58         
991    | 697.43         
992    | 701.78         
993    | 701.02         
994    | 701.87         
995    | 700.17         
996    | 698.27         
997    | 698.99         
998    | 697.27         
999    | 697.69         
1000   | 697.38         
1001   | 699.83         
1002   | 703.05         
1003   | 701.25         
1004   | 702.39         
1005   | 698.43         
1006   | 701.80         
1007   | 696.50         
1008   | 698.89         
1009   | 698.78         
1010   | 697.40         
1011   | 701.77         
1012   | 700.75         
1013   | 701.21         
1014   | 696.50         
1015   | 698.78         
1016   | 702.52         
1017   | 703.59         
1018   | 696.76         
1019   | 698.13         
1020   | 702.05         
1021   | 853.47         
1022   | 852.22         
1023   | 849.70         
1024   | 849.86         
1025   | 853.27         
1026   | 849.61         
1027   | 852.06         
1028   | 847.15         
1029   | 847.91         
1030   | 849.33         
1031   | 851.28         
1032   | 848.48         
1033   | 853.03         
1034   | 847.41         
1035   | 847.56         
1036   | 848.52         
1037   | 848.28         
1038   | 846.43         
1039   | 853.20         
1040   | 846.90         
1041   | 852.03         
1042   | 848.57         
1043   | 849.81         
1044   | 849.97         
1045   | 846.94         
1046   | 847.03         
1047   | 851.35         
1048   | 850.74         
1049   | 850.01         
1050   | 850.87         
1051   | 847.89         
1052   | 850.39         
1053   | 846.53         
1054   | 850.81         
1055   | 853.46         
1056   | 847.99         
1057   | 849.76         
1058   | 851.89         
1059   | 849.18         
1060   | 853.44         
1061   | 847.75         
1062   | 852.86         
1063   | 851.36         
1064   | 848.50         
1065   | 847.70         
1066   | 847.20         
1067   | 852.42         
1068   | 846.84         
1069   | 853.56         
1070   | 852.34         
1071   | 849.76         
1072   | 849.57         
1073   | 852.87         
1074   | 850.75         
1075   | 850.28         
1076   | 849.01         
1077   | 851.25         
1078   | 850.60         
1079   | 846.43         
1080   | 852.50         
1081   | 847.45         
1082   | 847.55         
1083   | 848.90         
1084   | 848.94         
1085   | 851.66         
1086   | 852.50         
1087   | 850.41         
1088   | 850.65         
1089   | 849.96         
1090   | 852.27         
1091   | 848.94         
1092   | 847.15         
1093   | 851.33         
1094   | 849.21         
1095   | 849.46         
1096   | 853.59         
1097   | 852.20         
1098   | 848.28         
1099   | 847.43         
1100   | 852.82         
1101   | 852.88         
1102   | 851.44         
1103   | 853.01         
1104   | 849.87         
1105   | 847.72         
1106   | 851.33         
1107   | 847.34         
1108   | 850.58         
1109   | 852.69         
1110   | 851.60         
1111   | 849.54         
1112   | 849.53         
1113   | 848.25         
1114   | 850.04         
1115   | 850.83         
1116   | 846.54         
1117   | 847.77         
1118   | 852.78         
1119   | 851.89         
1120   | 849.61         
1121   | 849.28         
1122   | 851.37         
1123   | 846.60         
1124   | 846.95         
1125   | 851.46         
1126   | 846.44         
1127   | 846.58         
1128   | 853.59         
1129   | 852.15         
1130   | 851.88         
1131   | 848.44         
1132   | 847.53         
1133   | 853.50         
1134   | 851.11         
1135   | 847.28         
1136   | 848.46         
1137   | 851.70         
1138   | 852.79         
1139   | 849.73         
1140   | 846.51         
1141   | 967.64         
1142   | 971.31         
1143   | 970.40         
1144   | 967.08         
1145   | 973.47         
1146   | 966.46         
1147   | 967.29         
1148   | 969.68         
1149   | 967.30         
1150   | 970.99         
1151   | 971.66         
1152   | 973.08         
1153   | 967.22         
1154   | 967.47         
1155   | 970.18         
1156   | 971.20         
1157   | 967.54         
1158   | 972.13         
1159   | 968.93         
1160   | 968.39         
1161   | 972.74         
1162   | 968.91         
1163   | 968.83         
1164   | 972.92         
1165   | 968.31         
1166   | 970.24         
1167   | 971.10         
1168   | 971.39         
1169   | 968.84         
1170   | 968.32         
1171   | 973.28         
1172   | 971.05         
1173   | 968.22         
1174   | 967.44         
1175   | 971.68         
1176   | 968.11         
1177   | 967.43         
1178   | 966.64         
1179   | 966.61         
1180   | 968.63         
1181   | 973.39         
1182   | 973.57         
1183   | 968.01         
1184   | 970.46         
1185   | 971.07         
1186   | 967.35         
1187   | 970.52         
1188   | 972.10         
1189   | 967.04         
1190   | 973.48         
1191   | 969.31         
1192   | 966.63         
1193   | 969.60         
1194   | 969.76         
1195   | 973.53         
1196   | 972.80         
1197   | 968.04         
1198   | 968.05         
1199   | 971.92         
1200   | 971.63         
1201   | 968.84         
1202   | 968.19         
1203   | 968.04         
1204   | 972.14         
1205   | 966.46         
1206   | 969.73         
1207   | 967.05         
1208   | 972.32         
1209   | 970.97         
1210   | 966.68         
1211   | 967.57         
1212   | 972.72         
1213   | 966.66         
1214   | 970.91         
1215   | 966.93         
1216   | 969.21         
1217   | 966.86         
1218   | 973.33         
1219   | 970.67         
1220   | 971.81         
1221   | 971.07         
1222   | 966.43         
1223   | 972.00         
1224   | 968.21         
1225   | 970.71         
1226   | 968.73         
1227   | 968.21         
1228   | 973.12         
1229   | 966.99         
1230   | 973.49         
1231   | 966.58         
1232   | 970.00         
1233   | 972.67         
1234   | 972.95         
1235   | 966.43         
1236   | 969.51         
1237   | 968.30         
1238   | 970.27         
1239   | 972.56         
1240   | 971.69         
1241   | 970.28         
1242   | 968.44         
1243   | 968.67         
1244   | 967.39         
1245   | 969.79         
1246   | 969.56         
1247   | 968.43         
1248   | 970.05         
1249   | 971.10         
1250   | 968.59         
1251   | 971.61         
1252   | 973.25         
1253   | 972.71         
1254   | 968.03         
1255   | 967.55         
1256   | 970.98         
1257   | 968.13         
1258   | 972.04         
1259   | 971.71         
1260   | 972.38         
1261   | 571.81         
1262   | 572.04         
1263   | 567.04         
1264   | 566.85         
1265   | 568.56         
1266   | 571.24         
1267   | 570.12         
1268   | 571.56         
1269   | 566.63         
1270   | 568.26         
1271   | 568.83         
1272   | 567.71         
1273   | 567.88         
1274   | 571.40         
1275   | 571.16         
1276   | 567.70         
1277   | 570.53         
1278   | 573.22         
1279   | 568.98         
1280   | 570.73         
1281   | 573.07         
1282   | 566.53         
1283   | 570.09         
1284   | 572.35         
1285   | 567.60         
1286   | 571.37         
1287   | 567.00         
1288   | 568.26         
1289   | 567.36         
1290   | 573.06         
1291   | 569.04         
1292   | 571.85         
1293   | 571.35         
1294   | 569.30         
1295   | 570.27         
1296   | 569.98         
1297   | 571.10         
1298   | 571.30         
1299   | 568.29         
1300   | 573.29         
1301   | 566.41         
1302   | 570.72         
1303   | 569.53         
1304   | 573.01         
1305   | 567.44         
1306   | 570.76         
1307   | 571.22         
1308   | 572.20         
1309   | 572.66         
1310   | 569.03         
1311   | 567.40         
1312   | 568.13         
1313   | 568.04         
1314   | 571.57         
1315   | 571.09         
1316   | 570.22         
1317   | 566.57         
1318   | 571.32         
1319   | 567.98         
1320   | 569.12         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
