Minute | Consumption (W) - SCENARIO: Outside Day
310    | 180.00         
311    | 180.00         
312    | 180.00         
313    | 180.00         
314    | 180.00         
315    | 180.00         
316    | 180.00         
317    | 180.00         
318    | 180.00         
319    | 180.00         
320    | 180.00         
321    | 180.00         
322    | 180.00         
323    | 180.00         
324    | 180.00         
325    | 180.00         
326    | 180.00         
327    | 180.00         
328    | 180.00         
329    | 180.00         
330    | 180.00         
331    | 180.00         
332    | 180.00         
333    | 180.00         
334    | 180.00         
335    | 180.00         
336    | 180.00         
337    | 180.00         
338    | 180.00         
339    | 180.00         
340    | 180.00         
341    | 180.00         
342    | 180.00         
343    | 180.00         
344    | 180.00         
345    | 180.00         
346    | 180.00         
347    | 180.00         
348    | 180.00         
349    | 180.00         
350    | 180.00         
351    | 180.00         
352    | 180.00         
353    | 180.00         
354    | 180.00         
355    | 180.00         
356    | 180.00         
357    | 180.00         
358    | 180.00         
359    | 180.00         
360    | 180.00         
361    | 181.83         
362    | 178.62         
363    | 180.93         
364    | 177.97         
365    | 178.84         
366    | 177.36         
367    | 179.42         
368    | 182.81         
369    | 182.37         
370    | 182.91         
371    | 180.74         
372    | 181.60         
373    | 176.47         
374    | 183.57         
375    | 179.96         
376    | 179.63         
377    | 179.78         
378    | 177.91         
379    | 178.61         
380    | 183.09         
381    | 183.00         
382    | 177.83         
383    | 177.19         
384    | 179.81         
385    | 177.40         
386    | 180.88         
387    | 177.09         
388    | 181.43         
389    | 179.28         
390    | 179.34         
391    | 181.97         
392    | 180.59         
393    | 182.95         
394    | 183.35         
395    | 180.06         
396    | 176.56         
397    | 182.01         
398    | 177.90         
399    | 182.49         
400    | 180.15         
401    | 183.16         
402    | 179.43         
403    | 180.57         
404    | 179.38         
405    | 183.35         
406    | 177.42         
407    | 180.52         
408    | 180.49         
409    | 177.53         
410    | 179.61         
411    | 177.26         
412    | 181.74         
413    | 178.05         
414    | 181.68         
415    | 177.50         
416    | 177.25         
417    | 176.59         
418    | 180.46         
419    | 177.13         
420    | 182.10         
421    | 183.48         
422    | 182.46         
423    | 179.33         
424    | 177.56         
425    | 177.17         
426    | 182.63         
427    | 178.69         
428    | 181.13         
429    | 182.82         
430    | 179.75         
431    | 179.76         
432    | 182.41         
433    | 180.95         
434    | 181.59         
435    | 179.99         
436    | 177.30         
437    | 182.38         
438    | 181.88         
439    | 183.49         
440    | 179.38         
441    | 177.52         
442    | 178.81         
443    | 178.64         
444    | 176.40         
445    | 178.23         
446    | 176.69         
447    | 177.50         
448    | 183.14         
449    | 178.33         
450    | 176.47         
451    | 176.85         
452    | 176.96         
453    | 177.22         
454    | 178.11         
455    | 181.59         
456    | 181.76         
457    | 180.02         
458    | 181.79         
459    | 178.35         
460    | 178.86         
461    | 177.56         
462    | 177.20         
463    | 178.47         
464    | 182.19         
465    | 180.56         
466    | 181.46         
467    | 181.81         
468    | 177.25         
469    | 179.93         
470    | 183.06         
471    | 181.93         
472    | 180.28         
473    | 176.90         
474    | 181.98         
475    | 178.73         
476    | 183.21         
477    | 177.78         
478    | 181.75         
479    | 179.12         
480    | 178.79         
481    | 178.83         
482    | 179.20         
483    | 178.82         
484    | 176.96         
485    | 182.20         
486    | 179.33         
487    | 181.66         
488    | 177.25         
489    | 180.53         
490    | 180.35         
491    | 181.67         
492    | 179.43         
493    | 181.41         
494    | 181.49         
495    | 176.45         
496    | 180.16         
497    | 182.44         
498    | 178.92         
499    | 178.48         
500    | 179.02         
501    | 179.46         
502    | 183.46         
503    | 177.44         
504    | 179.35         
505    | 181.48         
506    | 176.67         
507    | 180.72         
508    | 180.49         
509    | 177.35         
510    | 177.98         
511    | 181.60         
512    | 180.76         
513    | 179.01         
514    | 183.51         
515    | 178.86         
516    | 182.54         
517    | 177.17         
518    | 181.75         
519    | 178.59         
520    | 178.53         
521    | 176.75         
522    | 179.56         
523    | 183.39         
524    | 179.59         
525    | 181.11         
526    | 177.97         
527    | 178.06         
528    | 181.88         
529    | 179.73         
530    | 182.88         
531    | 177.64         
532    | 181.85         
533    | 178.84         
534    | 177.83         
535    | 181.10         
536    | 181.09         
537    | 180.15         
538    | 182.65         
539    | 176.75         
540    | 183.52         
541    | 178.32         
542    | 176.44         
543    | 180.96         
544    | 179.22         
545    | 179.22         
546    | 181.25         
547    | 179.56         
548    | 180.65         
549    | 176.94         
550    | 182.23         
551    | 179.67         
552    | 181.06         
553    | 178.28         
554    | 182.18         
555    | 183.20         
556    | 178.30         
557    | 176.82         
558    | 181.94         
559    | 177.24         
560    | 183.48         
561    | 177.35         
562    | 179.57         
563    | 177.35         
564    | 179.33         
565    | 183.01         
566    | 180.70         
567    | 176.43         
568    | 179.43         
569    | 179.91         
570    | 177.25         
571    | 176.67         
572    | 183.36         
573    | 182.35         
574    | 178.65         
575    | 177.33         
576    | 180.09         
577    | 178.11         
578    | 181.27         
579    | 181.09         
580    | 177.95         
581    | 179.81         
582    | 179.20         
583    | 179.54         
584    | 182.12         
585    | 181.46         
586    | 178.75         
587    | 181.31         
588    | 178.61         
589    | 177.53         
590    | 183.53         
591    | 178.41         
592    | 179.28         
593    | 176.96         
594    | 179.03         
595    | 182.48         
596    | 177.23         
597    | 180.10         
598    | 181.41         
599    | 180.22         
600    | 179.69         
601    | 177.94         
602    | 178.71         
603    | 180.41         
604    | 183.28         
605    | 177.32         
606    | 183.53         
607    | 176.61         
608    | 182.99         
609    | 176.43         
610    | 181.05         
611    | 179.96         
612    | 180.96         
613    | 178.21         
614    | 183.31         
615    | 183.56         
616    | 181.69         
617    | 180.73         
618    | 182.53         
619    | 181.33         
620    | 181.21         
621    | 182.39         
622    | 180.10         
623    | 177.22         
624    | 177.33         
625    | 181.46         
626    | 182.33         
627    | 179.33         
628    | 179.60         
629    | 179.06         
630    | 178.89         
631    | 179.41         
632    | 177.57         
633    | 176.68         
634    | 181.29         
635    | 182.24         
636    | 181.47         
637    | 181.41         
638    | 182.15         
639    | 179.99         
640    | 182.78         
641    | 176.50         
642    | 182.58         
643    | 179.05         
644    | 180.43         
645    | 181.99         
646    | 179.95         
647    | 178.15         
648    | 177.65         
649    | 179.77         
650    | 178.01         
651    | 183.56         
652    | 182.57         
653    | 183.06         
654    | 180.42         
655    | 181.74         
656    | 176.79         
657    | 183.51         
658    | 182.77         
659    | 179.22         
660    | 177.10         
661    | 182.65         
662    | 178.72         
663    | 178.51         
664    | 178.60         
665    | 182.48         
666    | 176.88         
667    | 182.31         
668    | 181.24         
669    | 180.14         
670    | 182.24         
671    | 177.01         
672    | 182.27         
673    | 179.36         
674    | 177.83         
675    | 182.11         
676    | 178.54         
677    | 178.58         
678    | 181.77         
679    | 177.81         
680    | 179.24         
681    | 182.92         
682    | 177.81         
683    | 181.95         
684    | 178.75         
685    | 182.60         
686    | 179.34         
687    | 180.78         
688    | 178.13         
689    | 178.05         
690    | 181.17         
691    | 179.95         
692    | 177.20         
693    | 176.78         
694    | 179.69         
695    | 176.74         
696    | 176.45         
697    | 182.90         
698    | 177.74         
699    | 180.12         
700    | 178.77         
701    | 179.70         
702    | 179.19         
703    | 176.97         
704    | 181.32         
705    | 177.51         
706    | 179.45         
707    | 182.77         
708    | 180.85         
709    | 181.81         
710    | 180.16         
711    | 182.02         
712    | 178.05         
713    | 180.25         
714    | 179.54         
715    | 176.78         
716    | 180.16         
717    | 183.13         
718    | 176.47         
719    | 180.23         
720    | 181.67         
721    | 179.17         
722    | 182.31         
723    | 181.20         
724    | 178.18         
725    | 180.77         
726    | 183.53         
727    | 177.83         
728    | 179.34         
729    | 181.64         
730    | 182.27         
731    | 182.28         
732    | 180.06         
733    | 180.99         
734    | 181.47         
735    | 178.91         
736    | 183.00         
737    | 182.62         
738    | 180.28         
739    | 179.39         
740    | 176.46         
741    | 178.95         
742    | 179.26         
743    | 178.38         
744    | 176.92         
745    | 181.08         
746    | 180.65         
747    | 183.58         
748    | 181.02         
749    | 181.90         
750    | 176.52         
751    | 182.25         
752    | 182.93         
753    | 177.50         
754    | 178.94         
755    | 180.21         
756    | 178.96         
757    | 182.80         
758    | 183.04         
759    | 177.54         
760    | 179.58         
761    | 177.67         
762    | 176.88         
763    | 178.96         
764    | 179.96         
765    | 176.93         
766    | 179.43         
767    | 179.01         
768    | 178.71         
769    | 183.10         
770    | 179.79         
771    | 182.59         
772    | 179.44         
773    | 183.11         
774    | 182.30         
775    | 178.71         
776    | 178.93         
777    | 183.46         
778    | 181.59         
779    | 178.01         
780    | 176.44         
781    | 181.27         
782    | 183.13         
783    | 182.16         
784    | 180.64         
785    | 177.50         
786    | 182.28         
787    | 180.43         
788    | 177.27         
789    | 179.33         
790    | 182.63         
791    | 179.66         
792    | 181.34         
793    | 178.64         
794    | 179.66         
795    | 177.27         
796    | 177.07         
797    | 176.76         
798    | 180.60         
799    | 178.12         
800    | 180.85         
801    | 177.22         
802    | 178.47         
803    | 176.81         
804    | 183.44         
805    | 176.68         
806    | 183.08         
807    | 179.53         
808    | 181.13         
809    | 176.67         
810    | 177.26         
811    | 177.97         
812    | 180.95         
813    | 181.74         
814    | 180.21         
815    | 176.93         
816    | 178.82         
817    | 180.54         
818    | 177.91         
819    | 179.78         
820    | 182.30         
821    | 177.93         
822    | 182.59         
823    | 177.21         
824    | 181.93         
825    | 176.89         
826    | 182.61         
827    | 177.19         
828    | 177.04         
829    | 179.98         
830    | 176.42         
831    | 178.51         
832    | 176.57         
833    | 179.91         
834    | 179.74         
835    | 183.40         
836    | 182.62         
837    | 181.77         
838    | 180.67         
839    | 181.95         
840    | 181.40         
841    | 181.74         
842    | 182.53         
843    | 177.90         
844    | 183.47         
845    | 181.68         
846    | 178.67         
847    | 179.04         
848    | 182.04         
849    | 179.24         
850    | 178.99         
851    | 180.25         
852    | 177.38         
853    | 180.70         
854    | 177.62         
855    | 177.24         
856    | 177.26         
857    | 181.44         
858    | 179.06         
859    | 177.65         
860    | 180.96         
861    | 183.10         
862    | 181.74         
863    | 179.89         
864    | 178.52         
865    | 176.85         
866    | 178.91         
867    | 183.51         
868    | 182.52         
869    | 182.77         
870    | 177.96         
871    | 179.18         
872    | 178.68         
873    | 182.47         
874    | 179.88         
875    | 180.77         
876    | 177.43         
877    | 178.90         
878    | 178.72         
879    | 180.83         
880    | 182.33         
881    | 178.42         
882    | 181.46         
883    | 179.72         
884    | 179.25         
885    | 177.35         
886    | 183.46         
887    | 181.79         
888    | 180.45         
889    | 181.81         
890    | 182.04         
891    | 177.23         
892    | 182.77         
893    | 182.24         
894    | 183.58         
895    | 176.99         
896    | 177.64         
897    | 179.67         
898    | 181.62         
899    | 181.35         
900    | 180.42         
901    | 181.52         
902    | 182.03         
903    | 179.70         
904    | 181.70         
905    | 177.64         
906    | 181.67         
907    | 179.40         
908    | 182.60         
909    | 179.07         
910    | 179.42         
911    | 180.61         
912    | 181.87         
913    | 178.21         
914    | 181.27         
915    | 182.17         
916    | 179.74         
917    | 180.93         
918    | 181.52         
919    | 180.68         
920    | 178.92         
921    | 176.92         
922    | 181.38         
923    | 181.44         
924    | 178.69         
925    | 176.64         
926    | 179.76         
927    | 178.94         
928    | 181.52         
929    | 183.22         
930    | 177.28         
931    | 183.27         
932    | 183.17         
933    | 180.66         
934    | 177.03         
935    | 177.88         
936    | 177.16         
937    | 178.40         
938    | 177.67         
939    | 176.66         
940    | 177.90         
941    | 180.31         
942    | 182.96         
943    | 183.07         
944    | 176.67         
945    | 178.26         
946    | 176.71         
947    | 182.04         
948    | 181.86         
949    | 183.32         
950    | 183.04         
951    | 181.70         
952    | 180.49         
953    | 183.34         
954    | 180.17         
955    | 179.12         
956    | 180.86         
957    | 179.42         
958    | 177.68         
959    | 178.09         
960    | 177.07         
961    | 176.75         
962    | 181.66         
963    | 178.99         
964    | 179.31         
965    | 180.82         
966    | 181.20         
967    | 181.46         
968    | 176.77         
969    | 180.66         
970    | 178.74         
971    | 182.52         
972    | 180.20         
973    | 180.45         
974    | 179.83         
975    | 176.56         
976    | 181.66         
977    | 180.41         
978    | 179.81         
979    | 183.02         
980    | 180.43         
981    | 181.95         
982    | 181.10         
983    | 182.07         
984    | 183.29         
985    | 182.64         
986    | 180.41         
987    | 182.53         
988    | 180.64         
989    | 178.49         
990    | 178.64         
991    | 177.49         
992    | 180.09         
993    | 177.75         
994    | 179.93         
995    | 179.46         
996    | 178.60         
997    | 176.78         
998    | 176.80         
999    | 180.32         
1000   | 177.98         
1001   | 177.68         
1002   | 182.23         
1003   | 181.29         
1004   | 180.54         
1005   | 180.91         
1006   | 176.82         
1007   | 177.22         
1008   | 177.50         
1009   | 180.84         
1010   | 180.07         
1011   | 179.98         
1012   | 177.75         
1013   | 178.87         
1014   | 178.86         
1015   | 180.73         
1016   | 181.95         
1017   | 178.03         
1018   | 177.24         
1019   | 183.12         
1020   | 179.47         
1021   | 181.25         
1022   | 178.64         
1023   | 177.98         
1024   | 182.37         
1025   | 180.15         
1026   | 177.41         
1027   | 180.07         
1028   | 182.40         
1029   | 177.73         
1030   | 180.32         
1031   | 178.26         
1032   | 178.65         
1033   | 181.65         
1034   | 181.69         
1035   | 178.86         
1036   | 179.91         
1037   | 177.79         
1038   | 181.21         
1039   | 176.41         
1040   | 182.22         
1041   | 181.47         
1042   | 181.01         
1043   | 182.15         
1044   | 180.85         
1045   | 180.55         
1046   | 177.46         
1047   | 182.06         
1048   | 181.80         
1049   | 177.31         
1050   | 180.14         
1051   | 177.60         
1052   | 177.95         
1053   | 180.42         
1054   | 178.00         
1055   | 178.93         
1056   | 179.97         
1057   | 179.00         
1058   | 183.30         
1059   | 178.36         
1060   | 178.17         
1061   | 182.88         
1062   | 178.11         
1063   | 177.63         
1064   | 178.19         
1065   | 180.06         
1066   | 177.94         
1067   | 178.95         
1068   | 181.99         
1069   | 183.29         
1070   | 182.39         
1071   | 179.87         
1072   | 179.65         
1073   | 181.51         
1074   | 180.77         
1075   | 180.35         
1076   | 176.77         
1077   | 181.97         
1078   | 181.71         
1079   | 176.42         
1080   | 182.88         
1081   | 180.60         
1082   | 182.49         
1083   | 179.99         
1084   | 178.84         
1085   | 180.76         
1086   | 182.89         
1087   | 181.22         
1088   | 181.73         
1089   | 179.82         
1090   | 177.75         
1091   | 180.05         
1092   | 176.94         
1093   | 178.23         
1094   | 179.99         
1095   | 176.86         
1096   | 183.07         
1097   | 181.52         
1098   | 182.07         
1099   | 181.57         
1100   | 181.48         
1101   | 181.83         
1102   | 181.81         
1103   | 181.26         
1104   | 177.53         
1105   | 179.51         
1106   | 179.95         
1107   | 177.26         
1108   | 183.18         
1109   | 180.32         
1110   | 179.86         
1111   | 179.16         
1112   | 183.10         
1113   | 183.30         
1114   | 180.85         
1115   | 181.80         
1116   | 182.68         
1117   | 181.20         
1118   | 181.10         
1119   | 176.45         
1120   | 181.95         
1121   | 181.16         
1122   | 182.01         
1123   | 181.96         
1124   | 182.86         
1125   | 181.44         
1126   | 179.34         
1127   | 178.75         
1128   | 182.95         
1129   | 179.93         
1130   | 182.32         
1131   | 180.93         
1132   | 177.90         
1133   | 182.51         
1134   | 181.88         
1135   | 182.21         
1136   | 183.13         
1137   | 178.05         
1138   | 177.05         
1139   | 181.59         
1140   | 179.52         
1141   | 183.54         
1142   | 178.87         
1143   | 178.36         
1144   | 182.01         
1145   | 178.17         
1146   | 183.17         
1147   | 180.06         
1148   | 176.71         
1149   | 178.59         
1150   | 178.70         
1151   | 182.93         
1152   | 182.88         
1153   | 179.68         
1154   | 176.83         
1155   | 182.48         
1156   | 179.49         
1157   | 176.56         
1158   | 181.15         
1159   | 181.77         
1160   | 178.59         
1161   | 178.34         
1162   | 179.71         
1163   | 181.51         
1164   | 181.36         
1165   | 180.16         
1166   | 181.72         
1167   | 183.45         
1168   | 182.16         
1169   | 180.11         
1170   | 179.89         
1171   | 182.80         
1172   | 182.87         
1173   | 178.87         
1174   | 180.61         
1175   | 180.14         
1176   | 182.94         
1177   | 180.92         
1178   | 178.49         
1179   | 177.56         
1180   | 177.97         
1181   | 178.09         
1182   | 182.61         
1183   | 182.52         
1184   | 181.16         
1185   | 183.60         
1186   | 180.41         
1187   | 182.32         
1188   | 178.52         
1189   | 183.35         
1190   | 180.71         
1191   | 180.89         
1192   | 176.99         
1193   | 180.17         
1194   | 180.44         
1195   | 180.16         
1196   | 183.08         
1197   | 182.77         
1198   | 181.06         
1199   | 179.17         
1200   | 178.13         
1201   | 180.58         
1202   | 177.50         
1203   | 180.20         
1204   | 180.24         
1205   | 179.08         
1206   | 176.71         
1207   | 179.37         
1208   | 178.50         
1209   | 183.31         
1210   | 181.57         
1211   | 183.02         
1212   | 179.62         
1213   | 177.51         
1214   | 178.07         
1215   | 182.53         
1216   | 181.28         
1217   | 182.08         
1218   | 180.40         
1219   | 183.07         
1220   | 182.41         
1221   | 183.19         
1222   | 177.48         
1223   | 181.91         
1224   | 176.86         
1225   | 178.19         
1226   | 181.23         
1227   | 181.79         
1228   | 181.45         
1229   | 176.90         
1230   | 183.57         
1231   | 179.29         
1232   | 181.71         
1233   | 182.59         
1234   | 182.35         
1235   | 177.03         
1236   | 176.47         
1237   | 183.23         
1238   | 182.16         
1239   | 177.94         
1240   | 180.41         
1241   | 178.50         
1242   | 179.79         
1243   | 181.18         
1244   | 181.73         
1245   | 183.34         
1246   | 177.31         
1247   | 182.61         
1248   | 183.05         
1249   | 177.85         
1250   | 180.54         
1251   | 178.76         
1252   | 182.34         
1253   | 183.49         
1254   | 183.42         
1255   | 178.33         
1256   | 181.60         
1257   | 179.96         
1258   | 181.50         
1259   | 180.81         
1260   | 180.89         
1261   | 177.71         
1262   | 177.82         
1263   | 178.51         
1264   | 182.65         
1265   | 181.97         
1266   | 177.24         
1267   | 180.91         
1268   | 177.39         
1269   | 178.24         
1270   | 179.13         
1271   | 181.64         
1272   | 177.72         
1273   | 181.92         
1274   | 183.30         
1275   | 183.53         
1276   | 182.26         
1277   | 180.37         
1278   | 176.76         
1279   | 178.31         
1280   | 178.27         
1281   | 178.17         
1282   | 176.82         
1283   | 182.73         
1284   | 179.79         
1285   | 182.40         
1286   | 178.56         
1287   | 179.56         
1288   | 180.94         
1289   | 176.45         
1290   | 183.16         
1291   | 178.53         
1292   | 178.65         
1293   | 182.42         
1294   | 177.79         
1295   | 178.99         
1296   | 178.64         
1297   | 177.72         
1298   | 182.23         
1299   | 176.54         
1300   | 176.81         
1301   | 178.39         
1302   | 183.53         
1303   | 180.72         
1304   | 179.21         
1305   | 182.20         
1306   | 178.08         
1307   | 183.15         
1308   | 177.24         
1309   | 177.87         
1310   | 182.13         
1311   | 180.65         
1312   | 176.57         
1313   | 181.17         
1314   | 178.50         
1315   | 177.64         
1316   | 183.31         
1317   | 181.68         
1318   | 176.60         
1319   | 181.41         
1320   | 179.10         
1321   | 180.00         
1322   | 180.00         
1323   | 180.00         
1324   | 180.00         
1325   | 180.00         
1326   | 180.00         
1327   | 180.00         
1328   | 180.00         
1329   | 180.00         
1330   | 180.00         
1331   | 180.00         
1332   | 180.00         
1333   | 180.00         
1334   | 180.00         
1335   | 180.00         
1336   | 180.00         
1337   | 180.00         
1338   | 180.00         
1339   | 180.00         
1340   | 180.00         
1341   | 180.00         
1342   | 180.00         
1343   | 180.00         
1344   | 180.00         
1345   | 180.00         
1346   | 180.00         
1347   | 180.00         
1348   | 180.00         
1349   | 180.00         
1350   | 180.00         
1351   | 180.00         
1352   | 180.00         
1353   | 180.00         
1354   | 180.00         
1355   | 180.00         
1356   | 180.00         
1357   | 180.00         
1358   | 180.00         
1359   | 180.00         
1360   | 180.00         
1361   | 180.00         
1362   | 180.00         
1363   | 180.00         
1364   | 180.00         
1365   | 180.00         
1366   | 180.00         
1367   | 180.00         
1368   | 180.00         
1369   | 180.00         
1370   | 180.00         
1371   | 180.00         
1372   | 180.00         
1373   | 180.00         
1374   | 180.00         
1375   | 180.00         
1376   | 180.00         
1377   | 180.00         
1378   | 180.00         
1379   | 180.00         
1380   | 180.00         
1381   | 180.00         
1382   | 180.00         
1383   | 180.00         
1384   | 180.00         
1385   | 180.00         
1386   | 180.00         
1387   | 180.00         
1388   | 180.00         
1389   | 180.00         
1390   | 180.00         
1391   | 180.00         
1392   | 180.00         
1393   | 180.00         
1394   | 180.00         
1395   | 180.00         
1396   | 180.00         
1397   | 180.00         
1398   | 180.00         
1399   | 180.00         
1400   | 180.00         
1401   | 180.00         
1402   | 180.00         
1403   | 180.00         
1404   | 180.00         
1405   | 180.00         
1406   | 180.00         
1407   | 180.00         
1408   | 180.00         
1409   | 180.00         
1410   | 180.00         
1411   | 180.00         
1412   | 180.00         
1413   | 180.00         
1414   | 180.00         
1415   | 180.00         
1416   | 180.00         
1417   | 180.00         
1418   | 180.00         
1419   | 180.00         
1420   | 180.00         
1421   | 180.00         
1422   | 180.00         
1423   | 180.00         
1424   | 180.00         
1425   | 180.00         
1426   | 180.00         
1427   | 180.00         
1428   | 180.00         
1429   | 180.00         
1430   | 180.00         
1431   | 180.00         
1432   | 180.00         
1433   | 180.00         
1434   | 180.00         
1435   | 180.00         
1436   | 180.00         
1437   | 180.00         
1438   | 180.00         
1439   | 180.00         
1440   | 180.00         
