Minute | Consumption (W) - SCENARIO: Traditional Lunch Cooking
713    | 3078.88        
714    | 3079.76        
715    | 3081.57        
716    | 3081.01        
717    | 3082.21        
718    | 3076.60        
719    | 3079.36        
720    | 3081.80        
721    | 726.80         
722    | 729.93         
723    | 726.81         
724    | 730.85         
725    | 729.85         
726    | 727.57         
727    | 730.85         
728    | 728.03         
729    | 728.93         
730    | 729.01         
731    | 1727.85        
732    | 1731.63        
733    | 1728.82        
734    | 1732.54        
735    | 1729.21        
736    | 1727.19        
737    | 1729.34        
738    | 1733.43        
739    | 1728.78        
740    | 1732.07        
741    | 727.51         
742    | 730.84         
743    | 728.74         
744    | 731.25         
745    | 727.93         
746    | 733.23         
747    | 728.01         
748    | 729.57         
749    | 726.98         
750    | 731.10         
751    | 726.98         
752    | 732.65         
753    | 732.24         
754    | 727.72         
755    | 729.21         
756    | 726.97         
757    | 731.42         
758    | 727.79         
759    | 728.10         
760    | 731.19         
761    | 732.16         
762    | 730.38         
763    | 729.82         
764    | 730.41         
765    | 728.28         
766    | 726.89         
767    | 729.29         
768    | 729.72         
769    | 730.04         
770    | 729.17         
771    | 728.00         
772    | 730.14         
773    | 730.83         
774    | 730.40         
775    | 727.79         
776    | 733.25         
777    | 728.72         
778    | 732.90         
779    | 731.46         
780    | 730.84         
781    | 699.67         
782    | 701.02         
783    | 701.32         
784    | 698.11         
785    | 697.47         
786    | 698.15         
787    | 701.74         
788    | 697.30         
789    | 700.99         
790    | 698.36         
791    | 697.60         
792    | 700.86         
793    | 696.65         
794    | 696.43         
795    | 701.64         
796    | 702.61         
797    | 697.39         
798    | 698.63         
799    | 699.55         
800    | 699.09         
801    | 703.44         
802    | 699.57         
803    | 700.55         
804    | 701.83         
805    | 696.68         
806    | 698.87         
807    | 698.15         
808    | 698.12         
809    | 699.59         
810    | 700.72         
811    | 702.51         
812    | 696.67         
813    | 698.41         
814    | 701.11         
815    | 698.77         
816    | 701.64         
817    | 702.79         
818    | 699.64         
819    | 698.35         
820    | 702.83         
821    | 702.25         
822    | 701.72         
823    | 699.16         
824    | 697.37         
825    | 699.77         
826    | 696.97         
827    | 698.95         
828    | 701.99         
829    | 697.16         
830    | 698.39         
831    | 700.93         
832    | 696.47         
833    | 702.80         
834    | 700.77         
835    | 697.35         
836    | 702.98         
837    | 703.10         
838    | 703.02         
839    | 702.39         
840    | 701.18         
841    | 699.62         
842    | 703.41         
843    | 702.75         
844    | 698.66         
845    | 696.97         
846    | 696.69         
847    | 703.01         
848    | 702.73         
849    | 701.97         
850    | 703.26         
851    | 697.17         
852    | 696.98         
853    | 698.29         
854    | 702.29         
855    | 697.43         
856    | 700.61         
857    | 701.38         
858    | 698.98         
859    | 698.43         
860    | 697.37         
861    | 698.51         
862    | 701.07         
863    | 699.74         
864    | 701.43         
865    | 699.57         
866    | 697.63         
867    | 699.54         
868    | 702.63         
869    | 698.77         
870    | 701.58         
871    | 696.68         
872    | 697.97         
873    | 702.53         
874    | 696.96         
875    | 699.80         
876    | 698.01         
877    | 698.58         
878    | 702.36         
879    | 697.06         
880    | 697.35         
881    | 699.82         
882    | 696.70         
883    | 700.38         
884    | 703.29         
885    | 696.42         
886    | 699.50         
887    | 698.08         
888    | 703.59         
889    | 697.08         
890    | 703.59         
891    | 697.53         
892    | 698.48         
893    | 699.77         
894    | 699.52         
895    | 703.53         
896    | 697.74         
897    | 700.05         
898    | 703.02         
899    | 697.65         
900    | 697.51         
901    | 698.50         
902    | 697.14         
903    | 699.32         
904    | 697.77         
905    | 697.76         
906    | 700.40         
907    | 696.63         
908    | 700.58         
909    | 700.77         
910    | 700.45         
911    | 700.54         
912    | 703.57         
913    | 700.20         
914    | 703.33         
915    | 699.01         
916    | 697.26         
917    | 700.95         
918    | 696.44         
919    | 698.03         
920    | 697.04         
921    | 698.17         
922    | 698.00         
923    | 699.33         
924    | 702.98         
925    | 698.58         
926    | 700.73         
927    | 700.57         
928    | 702.12         
929    | 702.74         
930    | 701.27         
931    | 698.36         
932    | 700.65         
933    | 697.58         
934    | 698.13         
935    | 697.58         
936    | 701.40         
937    | 700.89         
938    | 703.35         
939    | 702.49         
940    | 700.26         
941    | 703.20         
942    | 696.65         
943    | 700.12         
944    | 697.86         
945    | 703.12         
946    | 703.15         
947    | 696.91         
948    | 699.80         
949    | 697.43         
950    | 700.27         
951    | 699.37         
952    | 699.26         
953    | 700.71         
954    | 697.68         
955    | 697.24         
956    | 697.31         
957    | 702.61         
958    | 697.51         
959    | 699.81         
960    | 701.83         
961    | 698.07         
962    | 702.26         
963    | 703.49         
964    | 700.26         
965    | 702.00         
966    | 697.99         
967    | 697.04         
968    | 700.39         
969    | 696.50         
970    | 701.01         
971    | 699.94         
972    | 700.94         
973    | 699.44         
974    | 703.27         
975    | 701.26         
976    | 702.59         
977    | 700.98         
978    | 703.59         
979    | 701.06         
980    | 700.92         
981    | 700.08         
982    | 701.90         
983    | 700.24         
984    | 699.07         
985    | 701.70         
986    | 696.93         
987    | 699.64         
988    | 700.00         
989    | 701.29         
990    | 702.62         
991    | 700.56         
992    | 697.87         
993    | 697.80         
994    | 701.64         
995    | 699.51         
996    | 698.71         
997    | 701.28         
998    | 696.79         
999    | 698.37         
1000   | 698.07         
1001   | 696.60         
1002   | 701.96         
1003   | 700.30         
1004   | 701.22         
1005   | 699.17         
1006   | 700.83         
1007   | 698.65         
1008   | 699.06         
1009   | 701.67         
1010   | 699.52         
1011   | 697.17         
1012   | 696.52         
1013   | 701.03         
1014   | 701.84         
1015   | 702.57         
1016   | 697.13         
1017   | 701.08         
1018   | 698.26         
1019   | 700.00         
1020   | 699.10         
1021   | 847.46         
1022   | 848.05         
1023   | 851.69         
1024   | 846.95         
1025   | 847.24         
1026   | 852.86         
1027   | 848.80         
1028   | 851.84         
1029   | 848.55         
1030   | 850.95         
1031   | 848.12         
1032   | 847.75         
1033   | 852.10         
1034   | 846.77         
1035   | 853.15         
1036   | 851.16         
1037   | 852.53         
1038   | 851.68         
1039   | 847.32         
1040   | 848.40         
1041   | 849.69         
1042   | 849.89         
1043   | 850.88         
1044   | 851.88         
1045   | 847.70         
1046   | 851.44         
1047   | 847.64         
1048   | 850.07         
1049   | 848.17         
1050   | 850.14         
1051   | 852.43         
1052   | 851.66         
1053   | 849.52         
1054   | 852.24         
1055   | 847.84         
1056   | 847.55         
1057   | 849.54         
1058   | 853.39         
1059   | 848.52         
1060   | 848.14         
1061   | 853.20         
1062   | 851.07         
1063   | 846.63         
1064   | 848.17         
1065   | 850.08         
1066   | 849.04         
1067   | 851.75         
1068   | 850.50         
1069   | 851.52         
1070   | 850.49         
1071   | 847.47         
1072   | 852.96         
1073   | 846.62         
1074   | 851.47         
1075   | 847.92         
1076   | 847.15         
1077   | 847.87         
1078   | 847.09         
1079   | 849.37         
1080   | 847.80         
1081   | 847.06         
1082   | 852.87         
1083   | 852.96         
1084   | 850.29         
1085   | 849.80         
1086   | 853.40         
1087   | 852.52         
1088   | 848.65         
1089   | 853.26         
1090   | 849.19         
1091   | 853.35         
1092   | 850.72         
1093   | 848.40         
1094   | 851.39         
1095   | 847.59         
1096   | 848.74         
1097   | 847.06         
1098   | 851.29         
1099   | 850.05         
1100   | 847.58         
1101   | 849.12         
1102   | 849.49         
1103   | 848.16         
1104   | 847.31         
1105   | 851.07         
1106   | 852.19         
1107   | 852.80         
1108   | 846.80         
1109   | 848.17         
1110   | 847.14         
1111   | 846.92         
1112   | 853.50         
1113   | 851.01         
1114   | 850.28         
1115   | 849.01         
1116   | 852.33         
1117   | 849.03         
1118   | 847.24         
1119   | 852.08         
1120   | 850.21         
1121   | 848.55         
1122   | 849.94         
1123   | 851.86         
1124   | 848.77         
1125   | 849.86         
1126   | 851.56         
1127   | 846.54         
1128   | 850.24         
1129   | 848.40         
1130   | 853.07         
1131   | 851.70         
1132   | 853.28         
1133   | 847.30         
1134   | 849.08         
1135   | 852.43         
1136   | 851.05         
1137   | 847.41         
1138   | 846.79         
1139   | 847.79         
1140   | 853.29         
1141   | 849.80         
1142   | 852.32         
1143   | 846.86         
1144   | 848.03         
1145   | 849.89         
1146   | 852.75         
1147   | 847.83         
1148   | 848.59         
1149   | 852.27         
1150   | 846.74         
1151   | 853.23         
1152   | 850.96         
1153   | 848.37         
1154   | 851.05         
1155   | 850.65         
1156   | 848.68         
1157   | 853.26         
1158   | 851.72         
1159   | 851.06         
1160   | 847.89         
1161   | 848.23         
1162   | 850.23         
1163   | 847.58         
1164   | 846.96         
1165   | 849.28         
1166   | 848.05         
1167   | 849.01         
1168   | 846.74         
1169   | 851.46         
1170   | 853.20         
1171   | 847.13         
1172   | 847.09         
1173   | 850.67         
1174   | 847.49         
1175   | 850.32         
1176   | 847.78         
1177   | 850.67         
1178   | 846.44         
1179   | 847.62         
1180   | 852.68         
1181   | 847.90         
1182   | 849.07         
1183   | 850.69         
1184   | 846.66         
1185   | 852.95         
1186   | 851.12         
1187   | 847.37         
1188   | 851.56         
1189   | 853.13         
1190   | 851.91         
1191   | 849.25         
1192   | 847.85         
1193   | 851.09         
1194   | 852.30         
1195   | 846.97         
1196   | 850.69         
1197   | 852.01         
1198   | 849.28         
1199   | 851.47         
1200   | 846.45         
1201   | 853.32         
1202   | 851.53         
1203   | 846.79         
1204   | 847.95         
1205   | 847.69         
1206   | 852.54         
1207   | 848.92         
1208   | 848.51         
1209   | 847.81         
1210   | 846.88         
1211   | 848.56         
1212   | 852.47         
1213   | 852.83         
1214   | 848.68         
1215   | 850.45         
1216   | 848.11         
1217   | 852.23         
1218   | 850.11         
1219   | 849.95         
1220   | 850.76         
1221   | 852.57         
1222   | 851.01         
1223   | 847.28         
1224   | 849.19         
1225   | 848.56         
1226   | 849.53         
1227   | 852.91         
1228   | 851.77         
1229   | 850.78         
1230   | 849.37         
1231   | 852.09         
1232   | 848.58         
1233   | 852.67         
1234   | 846.66         
1235   | 850.74         
1236   | 850.10         
1237   | 849.65         
1238   | 848.04         
1239   | 846.84         
1240   | 848.18         
1241   | 851.06         
1242   | 850.63         
1243   | 853.14         
1244   | 849.19         
1245   | 853.01         
1246   | 853.56         
1247   | 847.94         
1248   | 846.53         
1249   | 853.39         
1250   | 852.98         
1251   | 847.46         
1252   | 850.87         
1253   | 847.62         
1254   | 851.91         
1255   | 846.50         
1256   | 848.52         
1257   | 847.56         
1258   | 847.93         
1259   | 848.93         
1260   | 848.01         
1261   | 452.74         
1262   | 453.28         
1263   | 452.90         
1264   | 447.48         
1265   | 451.11         
1266   | 449.98         
1267   | 446.59         
1268   | 452.40         
1269   | 448.77         
1270   | 446.56         
1271   | 449.10         
1272   | 449.63         
1273   | 450.88         
1274   | 452.80         
1275   | 450.19         
1276   | 447.86         
1277   | 452.38         
1278   | 452.48         
1279   | 452.89         
1280   | 452.39         
1281   | 446.42         
1282   | 446.59         
1283   | 451.53         
1284   | 449.28         
1285   | 453.43         
1286   | 453.28         
1287   | 448.13         
1288   | 448.63         
1289   | 451.54         
1290   | 447.54         
1291   | 447.87         
1292   | 447.94         
1293   | 446.45         
1294   | 449.90         
1295   | 449.10         
1296   | 448.14         
1297   | 451.41         
1298   | 452.20         
1299   | 446.57         
1300   | 449.43         
1301   | 452.50         
1302   | 446.75         
1303   | 449.40         
1304   | 447.15         
1305   | 447.87         
1306   | 450.14         
1307   | 447.62         
1308   | 451.70         
1309   | 451.66         
1310   | 451.55         
1311   | 450.16         
1312   | 451.16         
1313   | 447.56         
1314   | 449.89         
1315   | 451.29         
1316   | 450.99         
1317   | 451.24         
1318   | 449.84         
1319   | 447.33         
1320   | 453.13         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
