Minute | Consumption (W) - SCENARIO: Big Cleaning
707    | 2578.20        
708    | 2577.38        
709    | 2577.30        
710    | 2579.98        
711    | 2580.58        
712    | 2577.13        
713    | 2577.18        
714    | 2579.65        
715    | 2582.67        
716    | 2579.83        
717    | 2579.21        
718    | 2580.57        
719    | 2581.19        
720    | 2577.90        
721    | 727.28         
722    | 730.11         
723    | 726.77         
724    | 732.76         
725    | 730.89         
726    | 728.99         
727    | 726.76         
728    | 732.60         
729    | 732.46         
730    | 731.68         
731    | 1729.49        
732    | 1730.36        
733    | 1730.59        
734    | 1727.85        
735    | 1732.19        
736    | 1726.90        
737    | 1732.44        
738    | 1728.00        
739    | 1728.83        
740    | 1731.58        
741    | 731.76         
742    | 732.83         
743    | 729.09         
744    | 728.69         
745    | 727.27         
746    | 733.26         
747    | 729.18         
748    | 732.23         
749    | 731.49         
750    | 731.15         
751    | 733.16         
752    | 726.89         
753    | 730.20         
754    | 732.37         
755    | 731.42         
756    | 730.85         
757    | 731.34         
758    | 727.32         
759    | 733.13         
760    | 732.16         
761    | 729.52         
762    | 732.71         
763    | 727.99         
764    | 726.67         
765    | 727.81         
766    | 728.96         
767    | 733.37         
768    | 729.11         
769    | 730.97         
770    | 731.73         
771    | 732.43         
772    | 729.11         
773    | 729.26         
774    | 727.12         
775    | 730.85         
776    | 727.09         
777    | 731.44         
778    | 733.01         
779    | 732.72         
780    | 732.03         
781    | 702.92         
782    | 700.51         
783    | 697.10         
784    | 699.80         
785    | 702.09         
786    | 698.28         
787    | 701.82         
788    | 700.68         
789    | 699.27         
790    | 703.37         
791    | 702.26         
792    | 700.68         
793    | 699.76         
794    | 697.06         
795    | 703.48         
796    | 697.53         
797    | 698.96         
798    | 701.61         
799    | 703.16         
800    | 700.59         
801    | 701.39         
802    | 697.19         
803    | 702.96         
804    | 702.69         
805    | 698.49         
806    | 698.07         
807    | 696.76         
808    | 703.24         
809    | 701.37         
810    | 700.85         
811    | 696.79         
812    | 696.99         
813    | 698.99         
814    | 697.74         
815    | 700.00         
816    | 703.27         
817    | 699.94         
818    | 700.20         
819    | 697.71         
820    | 697.58         
821    | 698.66         
822    | 700.08         
823    | 697.60         
824    | 703.47         
825    | 703.02         
826    | 697.20         
827    | 702.14         
828    | 700.14         
829    | 697.53         
830    | 696.87         
831    | 696.92         
832    | 699.19         
833    | 701.94         
834    | 699.66         
835    | 699.11         
836    | 699.16         
837    | 696.47         
838    | 698.10         
839    | 698.08         
840    | 702.42         
841    | 697.63         
842    | 701.38         
843    | 697.99         
844    | 700.69         
845    | 702.60         
846    | 698.93         
847    | 697.83         
848    | 698.19         
849    | 702.45         
850    | 697.06         
851    | 697.57         
852    | 697.12         
853    | 702.01         
854    | 697.86         
855    | 698.02         
856    | 701.68         
857    | 700.53         
858    | 699.62         
859    | 697.39         
860    | 696.41         
861    | 703.54         
862    | 698.98         
863    | 699.41         
864    | 699.46         
865    | 698.04         
866    | 696.95         
867    | 697.68         
868    | 699.13         
869    | 698.89         
870    | 702.97         
871    | 699.94         
872    | 699.59         
873    | 696.73         
874    | 697.02         
875    | 697.30         
876    | 696.44         
877    | 700.89         
878    | 696.95         
879    | 701.56         
880    | 697.90         
881    | 702.82         
882    | 699.12         
883    | 701.07         
884    | 699.37         
885    | 696.89         
886    | 699.24         
887    | 700.59         
888    | 699.39         
889    | 697.91         
890    | 697.61         
891    | 699.58         
892    | 703.21         
893    | 699.44         
894    | 696.86         
895    | 698.79         
896    | 702.92         
897    | 697.55         
898    | 699.46         
899    | 700.63         
900    | 702.58         
901    | 701.54         
902    | 703.25         
903    | 697.99         
904    | 697.17         
905    | 699.53         
906    | 696.71         
907    | 703.51         
908    | 700.76         
909    | 698.21         
910    | 701.35         
911    | 701.02         
912    | 700.44         
913    | 701.68         
914    | 698.29         
915    | 702.62         
916    | 701.63         
917    | 698.04         
918    | 697.86         
919    | 698.99         
920    | 703.43         
921    | 703.34         
922    | 701.30         
923    | 701.55         
924    | 698.47         
925    | 702.01         
926    | 698.44         
927    | 700.98         
928    | 697.88         
929    | 697.63         
930    | 700.06         
931    | 702.34         
932    | 699.53         
933    | 702.92         
934    | 701.64         
935    | 698.91         
936    | 702.86         
937    | 699.12         
938    | 701.55         
939    | 701.06         
940    | 698.47         
941    | 700.30         
942    | 696.88         
943    | 698.47         
944    | 699.40         
945    | 702.98         
946    | 697.71         
947    | 697.62         
948    | 696.68         
949    | 697.11         
950    | 698.23         
951    | 701.45         
952    | 700.77         
953    | 698.77         
954    | 697.70         
955    | 697.23         
956    | 697.97         
957    | 697.72         
958    | 699.94         
959    | 700.64         
960    | 699.80         
961    | 696.48         
962    | 701.22         
963    | 701.27         
964    | 697.17         
965    | 699.51         
966    | 700.64         
967    | 698.78         
968    | 702.74         
969    | 702.59         
970    | 703.24         
971    | 699.28         
972    | 698.41         
973    | 702.23         
974    | 702.02         
975    | 697.05         
976    | 696.44         
977    | 702.62         
978    | 703.28         
979    | 703.53         
980    | 696.88         
981    | 697.12         
982    | 702.73         
983    | 701.71         
984    | 703.21         
985    | 698.97         
986    | 699.18         
987    | 700.49         
988    | 698.08         
989    | 697.03         
990    | 702.19         
991    | 698.56         
992    | 697.69         
993    | 699.89         
994    | 697.81         
995    | 700.25         
996    | 697.97         
997    | 702.19         
998    | 698.36         
999    | 698.46         
1000   | 698.04         
1001   | 696.56         
1002   | 701.65         
1003   | 696.97         
1004   | 703.15         
1005   | 701.88         
1006   | 697.71         
1007   | 698.54         
1008   | 698.05         
1009   | 698.27         
1010   | 697.02         
1011   | 701.98         
1012   | 701.94         
1013   | 702.94         
1014   | 702.89         
1015   | 703.24         
1016   | 702.66         
1017   | 700.26         
1018   | 699.59         
1019   | 696.97         
1020   | 697.16         
1021   | 850.62         
1022   | 846.82         
1023   | 847.54         
1024   | 852.88         
1025   | 846.48         
1026   | 853.37         
1027   | 848.50         
1028   | 851.99         
1029   | 852.81         
1030   | 850.86         
1031   | 853.30         
1032   | 850.80         
1033   | 852.23         
1034   | 847.22         
1035   | 849.48         
1036   | 846.48         
1037   | 852.72         
1038   | 853.16         
1039   | 849.21         
1040   | 848.55         
1041   | 852.47         
1042   | 853.53         
1043   | 847.84         
1044   | 848.40         
1045   | 847.29         
1046   | 849.83         
1047   | 847.94         
1048   | 849.42         
1049   | 851.92         
1050   | 850.83         
1051   | 848.92         
1052   | 850.13         
1053   | 848.36         
1054   | 850.20         
1055   | 852.30         
1056   | 851.03         
1057   | 850.29         
1058   | 849.79         
1059   | 852.89         
1060   | 847.46         
1061   | 853.43         
1062   | 852.56         
1063   | 852.63         
1064   | 851.96         
1065   | 848.30         
1066   | 851.40         
1067   | 848.60         
1068   | 852.33         
1069   | 847.05         
1070   | 849.39         
1071   | 846.82         
1072   | 847.48         
1073   | 847.28         
1074   | 851.96         
1075   | 847.51         
1076   | 848.62         
1077   | 847.44         
1078   | 846.80         
1079   | 853.05         
1080   | 852.85         
1081   | 846.93         
1082   | 850.04         
1083   | 853.10         
1084   | 849.88         
1085   | 850.28         
1086   | 851.83         
1087   | 847.87         
1088   | 852.65         
1089   | 847.88         
1090   | 853.48         
1091   | 849.35         
1092   | 851.66         
1093   | 852.75         
1094   | 849.08         
1095   | 849.12         
1096   | 848.12         
1097   | 849.70         
1098   | 851.98         
1099   | 850.60         
1100   | 848.73         
1101   | 849.40         
1102   | 850.67         
1103   | 852.19         
1104   | 848.17         
1105   | 850.71         
1106   | 848.64         
1107   | 851.76         
1108   | 848.06         
1109   | 849.15         
1110   | 852.60         
1111   | 849.54         
1112   | 850.86         
1113   | 850.03         
1114   | 848.29         
1115   | 851.12         
1116   | 848.62         
1117   | 850.77         
1118   | 851.69         
1119   | 852.93         
1120   | 852.86         
1121   | 851.28         
1122   | 850.20         
1123   | 849.65         
1124   | 851.25         
1125   | 851.51         
1126   | 853.46         
1127   | 847.32         
1128   | 852.68         
1129   | 848.64         
1130   | 848.16         
1131   | 852.40         
1132   | 850.12         
1133   | 849.81         
1134   | 850.93         
1135   | 850.39         
1136   | 848.25         
1137   | 847.66         
1138   | 850.71         
1139   | 847.36         
1140   | 849.96         
1141   | 846.64         
1142   | 848.27         
1143   | 852.34         
1144   | 853.08         
1145   | 852.86         
1146   | 847.21         
1147   | 848.06         
1148   | 853.45         
1149   | 852.79         
1150   | 851.18         
1151   | 847.07         
1152   | 853.14         
1153   | 852.19         
1154   | 849.87         
1155   | 850.59         
1156   | 849.47         
1157   | 851.31         
1158   | 853.31         
1159   | 846.62         
1160   | 847.11         
1161   | 849.06         
1162   | 850.50         
1163   | 853.36         
1164   | 850.75         
1165   | 850.23         
1166   | 851.78         
1167   | 846.94         
1168   | 847.97         
1169   | 848.16         
1170   | 846.73         
1171   | 851.68         
1172   | 847.38         
1173   | 849.74         
1174   | 851.49         
1175   | 853.47         
1176   | 851.79         
1177   | 848.01         
1178   | 850.15         
1179   | 852.58         
1180   | 849.40         
1181   | 850.34         
1182   | 849.19         
1183   | 853.53         
1184   | 850.18         
1185   | 852.73         
1186   | 850.73         
1187   | 847.11         
1188   | 852.05         
1189   | 846.66         
1190   | 852.42         
1191   | 848.21         
1192   | 850.52         
1193   | 852.83         
1194   | 851.68         
1195   | 851.84         
1196   | 850.88         
1197   | 850.89         
1198   | 848.64         
1199   | 849.96         
1200   | 847.46         
1201   | 846.45         
1202   | 850.20         
1203   | 848.37         
1204   | 850.70         
1205   | 848.79         
1206   | 848.61         
1207   | 851.04         
1208   | 850.94         
1209   | 851.55         
1210   | 847.94         
1211   | 849.61         
1212   | 852.79         
1213   | 847.22         
1214   | 851.32         
1215   | 852.91         
1216   | 848.84         
1217   | 851.04         
1218   | 851.45         
1219   | 852.03         
1220   | 850.29         
1221   | 852.56         
1222   | 847.10         
1223   | 847.00         
1224   | 852.66         
1225   | 848.99         
1226   | 849.25         
1227   | 853.06         
1228   | 851.44         
1229   | 846.87         
1230   | 852.40         
1231   | 850.52         
1232   | 848.74         
1233   | 851.59         
1234   | 853.13         
1235   | 846.87         
1236   | 848.83         
1237   | 848.43         
1238   | 853.29         
1239   | 849.33         
1240   | 848.30         
1241   | 847.98         
1242   | 848.11         
1243   | 852.25         
1244   | 849.55         
1245   | 848.42         
1246   | 847.72         
1247   | 850.04         
1248   | 850.08         
1249   | 849.20         
1250   | 852.58         
1251   | 850.42         
1252   | 850.42         
1253   | 853.31         
1254   | 847.34         
1255   | 849.21         
1256   | 848.98         
1257   | 847.82         
1258   | 852.76         
1259   | 847.17         
1260   | 850.19         
1261   | 449.50         
1262   | 449.32         
1263   | 447.28         
1264   | 451.60         
1265   | 450.45         
1266   | 452.11         
1267   | 447.59         
1268   | 449.49         
1269   | 447.57         
1270   | 450.32         
1271   | 447.10         
1272   | 452.35         
1273   | 449.08         
1274   | 448.10         
1275   | 453.56         
1276   | 451.66         
1277   | 449.21         
1278   | 451.37         
1279   | 449.72         
1280   | 447.00         
1281   | 447.56         
1282   | 448.02         
1283   | 453.52         
1284   | 450.87         
1285   | 449.98         
1286   | 449.95         
1287   | 449.05         
1288   | 447.81         
1289   | 447.09         
1290   | 450.59         
1291   | 451.53         
1292   | 449.11         
1293   | 452.85         
1294   | 447.72         
1295   | 447.66         
1296   | 448.11         
1297   | 450.90         
1298   | 450.25         
1299   | 450.21         
1300   | 449.70         
1301   | 448.37         
1302   | 446.74         
1303   | 452.22         
1304   | 449.37         
1305   | 448.45         
1306   | 450.83         
1307   | 446.97         
1308   | 446.88         
1309   | 448.37         
1310   | 451.34         
1311   | 448.59         
1312   | 453.49         
1313   | 447.99         
1314   | 453.09         
1315   | 451.66         
1316   | 448.87         
1317   | 451.44         
1318   | 447.86         
1319   | 452.48         
1320   | 450.29         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
