Minute | Consumption (W) - SCENARIO: Routine + Cooking
725    | 729.54         
726    | 732.43         
727    | 729.71         
728    | 729.93         
729    | 727.82         
730    | 728.21         
731    | 1727.02        
732    | 1730.39        
733    | 1729.35        
734    | 1729.59        
735    | 1732.30        
736    | 1726.86        
737    | 1728.60        
738    | 1731.93        
739    | 1732.63        
740    | 1731.56        
741    | 729.73         
742    | 730.83         
743    | 727.87         
744    | 731.24         
745    | 731.40         
746    | 728.31         
747    | 733.04         
748    | 727.81         
749    | 730.31         
750    | 727.89         
751    | 729.24         
752    | 733.32         
753    | 728.07         
754    | 730.19         
755    | 727.80         
756    | 732.99         
757    | 733.54         
758    | 730.10         
759    | 732.00         
760    | 727.12         
761    | 728.51         
762    | 733.06         
763    | 728.49         
764    | 727.19         
765    | 731.27         
766    | 730.24         
767    | 729.95         
768    | 731.29         
769    | 732.42         
770    | 731.14         
771    | 730.91         
772    | 732.95         
773    | 730.39         
774    | 729.11         
775    | 730.82         
776    | 733.42         
777    | 729.44         
778    | 726.56         
779    | 731.26         
780    | 729.98         
781    | 700.81         
782    | 702.09         
783    | 699.09         
784    | 701.63         
785    | 697.44         
786    | 698.78         
787    | 698.31         
788    | 700.39         
789    | 696.67         
790    | 699.72         
791    | 702.83         
792    | 703.29         
793    | 700.98         
794    | 700.86         
795    | 703.21         
796    | 700.19         
797    | 703.21         
798    | 697.20         
799    | 700.57         
800    | 702.49         
801    | 696.44         
802    | 701.39         
803    | 699.28         
804    | 698.43         
805    | 703.42         
806    | 698.39         
807    | 698.42         
808    | 699.64         
809    | 697.35         
810    | 700.45         
811    | 699.29         
812    | 702.03         
813    | 697.48         
814    | 696.61         
815    | 698.02         
816    | 698.34         
817    | 700.36         
818    | 701.84         
819    | 702.55         
820    | 700.62         
821    | 697.31         
822    | 700.11         
823    | 697.89         
824    | 697.79         
825    | 696.67         
826    | 702.86         
827    | 702.09         
828    | 699.25         
829    | 702.99         
830    | 698.78         
831    | 700.48         
832    | 698.73         
833    | 697.12         
834    | 703.46         
835    | 702.81         
836    | 698.66         
837    | 702.16         
838    | 703.40         
839    | 701.51         
840    | 699.23         
841    | 700.07         
842    | 700.32         
843    | 698.84         
844    | 703.58         
845    | 696.92         
846    | 698.75         
847    | 699.09         
848    | 696.83         
849    | 697.82         
850    | 701.36         
851    | 700.37         
852    | 702.35         
853    | 702.11         
854    | 696.62         
855    | 701.12         
856    | 702.74         
857    | 699.67         
858    | 703.20         
859    | 697.13         
860    | 696.61         
861    | 700.59         
862    | 697.74         
863    | 702.56         
864    | 700.94         
865    | 697.05         
866    | 702.11         
867    | 697.83         
868    | 696.94         
869    | 701.67         
870    | 697.50         
871    | 700.98         
872    | 702.22         
873    | 697.51         
874    | 699.58         
875    | 702.30         
876    | 700.86         
877    | 702.66         
878    | 698.94         
879    | 697.54         
880    | 700.60         
881    | 698.57         
882    | 697.14         
883    | 703.45         
884    | 699.60         
885    | 698.68         
886    | 697.29         
887    | 696.85         
888    | 698.80         
889    | 703.23         
890    | 702.75         
891    | 699.30         
892    | 701.69         
893    | 698.61         
894    | 698.67         
895    | 697.69         
896    | 700.02         
897    | 698.30         
898    | 696.49         
899    | 696.44         
900    | 698.18         
901    | 701.35         
902    | 702.63         
903    | 701.51         
904    | 700.60         
905    | 702.79         
906    | 702.13         
907    | 703.21         
908    | 696.56         
909    | 703.43         
910    | 701.22         
911    | 702.23         
912    | 697.67         
913    | 700.37         
914    | 698.70         
915    | 698.15         
916    | 702.51         
917    | 698.44         
918    | 703.42         
919    | 702.03         
920    | 700.80         
921    | 698.93         
922    | 702.63         
923    | 696.44         
924    | 697.52         
925    | 699.56         
926    | 701.26         
927    | 699.89         
928    | 697.58         
929    | 700.69         
930    | 699.77         
931    | 701.58         
932    | 697.73         
933    | 703.59         
934    | 702.25         
935    | 698.64         
936    | 698.48         
937    | 697.25         
938    | 696.42         
939    | 700.76         
940    | 700.06         
941    | 698.00         
942    | 701.68         
943    | 701.23         
944    | 698.13         
945    | 700.25         
946    | 702.80         
947    | 698.14         
948    | 696.76         
949    | 697.01         
950    | 700.76         
951    | 698.50         
952    | 697.21         
953    | 696.78         
954    | 700.38         
955    | 701.80         
956    | 701.81         
957    | 700.49         
958    | 699.69         
959    | 701.42         
960    | 702.45         
961    | 700.03         
962    | 697.59         
963    | 696.92         
964    | 703.19         
965    | 700.76         
966    | 697.59         
967    | 700.25         
968    | 699.67         
969    | 696.94         
970    | 699.46         
971    | 697.45         
972    | 703.45         
973    | 698.90         
974    | 702.86         
975    | 703.00         
976    | 699.37         
977    | 700.28         
978    | 702.98         
979    | 697.45         
980    | 696.96         
981    | 698.66         
982    | 702.10         
983    | 696.79         
984    | 701.77         
985    | 699.81         
986    | 701.55         
987    | 698.77         
988    | 699.31         
989    | 699.12         
990    | 697.61         
991    | 700.60         
992    | 701.72         
993    | 696.78         
994    | 701.98         
995    | 702.65         
996    | 698.93         
997    | 699.62         
998    | 697.40         
999    | 701.38         
1000   | 702.14         
1001   | 697.12         
1002   | 697.38         
1003   | 697.90         
1004   | 700.51         
1005   | 703.29         
1006   | 702.70         
1007   | 703.20         
1008   | 698.68         
1009   | 699.50         
1010   | 700.55         
1011   | 698.27         
1012   | 697.45         
1013   | 702.71         
1014   | 698.79         
1015   | 698.08         
1016   | 702.17         
1017   | 698.15         
1018   | 699.05         
1019   | 701.13         
1020   | 703.57         
1021   | 848.55         
1022   | 849.26         
1023   | 850.85         
1024   | 851.91         
1025   | 847.68         
1026   | 852.98         
1027   | 853.46         
1028   | 850.64         
1029   | 852.88         
1030   | 852.93         
1031   | 850.32         
1032   | 849.10         
1033   | 846.45         
1034   | 846.89         
1035   | 848.71         
1036   | 852.62         
1037   | 853.56         
1038   | 851.94         
1039   | 853.21         
1040   | 853.21         
1041   | 847.06         
1042   | 852.92         
1043   | 848.06         
1044   | 853.14         
1045   | 851.34         
1046   | 847.61         
1047   | 853.38         
1048   | 847.12         
1049   | 850.05         
1050   | 853.49         
1051   | 853.30         
1052   | 849.46         
1053   | 847.12         
1054   | 849.41         
1055   | 850.22         
1056   | 851.52         
1057   | 851.68         
1058   | 846.50         
1059   | 848.43         
1060   | 852.66         
1061   | 847.62         
1062   | 850.98         
1063   | 851.41         
1064   | 853.57         
1065   | 850.91         
1066   | 848.34         
1067   | 849.96         
1068   | 850.61         
1069   | 850.24         
1070   | 849.24         
1071   | 847.80         
1072   | 853.05         
1073   | 851.59         
1074   | 852.81         
1075   | 852.84         
1076   | 846.59         
1077   | 852.11         
1078   | 852.05         
1079   | 850.77         
1080   | 849.80         
1081   | 852.77         
1082   | 852.21         
1083   | 851.93         
1084   | 848.02         
1085   | 850.40         
1086   | 849.33         
1087   | 848.88         
1088   | 849.97         
1089   | 850.61         
1090   | 848.35         
1091   | 850.41         
1092   | 852.64         
1093   | 851.20         
1094   | 846.85         
1095   | 853.13         
1096   | 853.07         
1097   | 850.33         
1098   | 851.58         
1099   | 852.04         
1100   | 851.98         
1101   | 847.92         
1102   | 851.47         
1103   | 850.71         
1104   | 848.22         
1105   | 847.83         
1106   | 852.80         
1107   | 850.46         
1108   | 851.53         
1109   | 846.71         
1110   | 853.48         
1111   | 3352.15        
1112   | 3353.10        
1113   | 3350.98        
1114   | 3351.42        
1115   | 3347.79        
1116   | 3353.42        
1117   | 3351.14        
1118   | 3348.84        
1119   | 3352.77        
1120   | 3351.51        
1121   | 3347.05        
1122   | 3352.28        
1123   | 3347.88        
1124   | 3352.62        
1125   | 3351.09        
1126   | 3353.45        
1127   | 3350.29        
1128   | 3350.95        
1129   | 3348.57        
1130   | 3351.17        
1131   | 3349.62        
1132   | 3347.37        
1133   | 3352.13        
1134   | 3346.96        
1135   | 3348.77        
1136   | 3350.73        
1137   | 3349.75        
1138   | 3348.69        
1139   | 3353.38        
1140   | 3352.07        
1141   | 849.15         
1142   | 848.08         
1143   | 853.56         
1144   | 850.37         
1145   | 852.37         
1146   | 851.56         
1147   | 846.56         
1148   | 846.81         
1149   | 851.65         
1150   | 851.18         
1151   | 848.02         
1152   | 847.54         
1153   | 853.51         
1154   | 847.01         
1155   | 847.16         
1156   | 850.78         
1157   | 852.28         
1158   | 850.59         
1159   | 847.36         
1160   | 850.99         
1161   | 846.72         
1162   | 846.56         
1163   | 852.69         
1164   | 849.00         
1165   | 853.21         
1166   | 848.70         
1167   | 846.42         
1168   | 847.81         
1169   | 849.28         
1170   | 852.70         
1171   | 847.52         
1172   | 853.43         
1173   | 851.93         
1174   | 853.51         
1175   | 847.70         
1176   | 852.79         
1177   | 847.57         
1178   | 851.84         
1179   | 849.20         
1180   | 849.64         
1181   | 848.52         
1182   | 848.63         
1183   | 850.03         
1184   | 849.27         
1185   | 852.91         
1186   | 848.64         
1187   | 847.71         
1188   | 852.94         
1189   | 852.38         
1190   | 846.87         
1191   | 848.42         
1192   | 847.65         
1193   | 852.83         
1194   | 852.67         
1195   | 849.31         
1196   | 848.30         
1197   | 848.04         
1198   | 848.79         
1199   | 853.16         
1200   | 850.71         
1201   | 846.47         
1202   | 847.18         
1203   | 846.69         
1204   | 852.25         
1205   | 848.45         
1206   | 851.73         
1207   | 851.28         
1208   | 850.63         
1209   | 846.90         
1210   | 852.75         
1211   | 849.51         
1212   | 852.45         
1213   | 852.46         
1214   | 848.78         
1215   | 847.72         
1216   | 847.01         
1217   | 849.31         
1218   | 848.14         
1219   | 847.59         
1220   | 850.56         
1221   | 847.72         
1222   | 850.15         
1223   | 848.88         
1224   | 849.06         
1225   | 851.88         
1226   | 848.94         
1227   | 851.01         
1228   | 848.48         
1229   | 849.07         
1230   | 853.40         
1231   | 851.16         
1232   | 848.94         
1233   | 849.51         
1234   | 850.37         
1235   | 849.97         
1236   | 851.97         
1237   | 850.34         
1238   | 848.10         
1239   | 847.89         
1240   | 850.46         
1241   | 850.97         
1242   | 846.68         
1243   | 849.55         
1244   | 849.96         
1245   | 846.92         
1246   | 849.74         
1247   | 849.27         
1248   | 849.15         
1249   | 853.35         
1250   | 848.38         
1251   | 852.68         
1252   | 847.74         
1253   | 851.74         
1254   | 850.60         
1255   | 853.13         
1256   | 849.19         
1257   | 853.51         
1258   | 848.22         
1259   | 852.21         
1260   | 852.38         
1261   | 449.88         
1262   | 447.81         
1263   | 447.61         
1264   | 446.89         
1265   | 447.99         
1266   | 447.73         
1267   | 449.20         
1268   | 452.44         
1269   | 451.48         
1270   | 452.74         
1271   | 448.80         
1272   | 452.04         
1273   | 446.80         
1274   | 453.47         
1275   | 448.26         
1276   | 451.13         
1277   | 446.51         
1278   | 450.96         
1279   | 453.15         
1280   | 452.23         
1281   | 450.36         
1282   | 447.58         
1283   | 449.76         
1284   | 446.94         
1285   | 449.45         
1286   | 453.07         
1287   | 453.49         
1288   | 452.53         
1289   | 447.91         
1290   | 447.90         
1291   | 450.32         
1292   | 446.44         
1293   | 453.19         
1294   | 449.58         
1295   | 448.81         
1296   | 449.71         
1297   | 447.21         
1298   | 448.50         
1299   | 449.99         
1300   | 446.41         
1301   | 447.69         
1302   | 451.26         
1303   | 447.21         
1304   | 449.85         
1305   | 447.15         
1306   | 450.61         
1307   | 450.63         
1308   | 446.51         
1309   | 448.38         
1310   | 447.17         
1311   | 446.47         
1312   | 451.46         
1313   | 452.93         
1314   | 448.82         
1315   | 452.96         
1316   | 452.05         
1317   | 451.17         
1318   | 447.82         
1319   | 447.77         
1320   | 450.00         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
