Minute | Consumption (W) - SCENARIO: Rest and Sick Day
703    | 997.34         
704    | 998.14         
705    | 1000.32        
706    | 997.84         
707    | 998.33         
708    | 996.71         
709    | 1001.98        
710    | 1000.91        
711    | 1002.34        
712    | 999.91         
713    | 1002.71        
714    | 1000.21        
715    | 999.75         
716    | 999.68         
717    | 997.79         
718    | 997.27         
719    | 997.89         
720    | 997.92         
721    | 1149.19        
722    | 1148.54        
723    | 1151.44        
724    | 1149.25        
725    | 1152.17        
726    | 1151.36        
727    | 1151.82        
728    | 1146.55        
729    | 1147.72        
730    | 1146.94        
731    | 2151.88        
732    | 2151.11        
733    | 2151.15        
734    | 2151.08        
735    | 2150.94        
736    | 2150.67        
737    | 2150.99        
738    | 2149.05        
739    | 2146.89        
740    | 2152.88        
741    | 1150.14        
742    | 1148.03        
743    | 1148.65        
744    | 1147.07        
745    | 1151.16        
746    | 1153.40        
747    | 1151.73        
748    | 1150.29        
749    | 1153.41        
750    | 1150.29        
751    | 1147.14        
752    | 1148.89        
753    | 1151.34        
754    | 1150.81        
755    | 1150.08        
756    | 1146.82        
757    | 1151.55        
758    | 1152.53        
759    | 1146.97        
760    | 1150.82        
761    | 1149.29        
762    | 1149.09        
763    | 1150.44        
764    | 1152.33        
765    | 1149.57        
766    | 1147.96        
767    | 1152.85        
768    | 1149.22        
769    | 1148.55        
770    | 1153.60        
771    | 1153.47        
772    | 1148.47        
773    | 1153.08        
774    | 1149.61        
775    | 1147.71        
776    | 1149.46        
777    | 1149.17        
778    | 1149.87        
779    | 1148.81        
780    | 1149.81        
781    | 1122.19        
782    | 1121.46        
783    | 1122.47        
784    | 1122.41        
785    | 1116.40        
786    | 1118.92        
787    | 1118.87        
788    | 1118.11        
789    | 1122.21        
790    | 1118.71        
791    | 1123.18        
792    | 1121.85        
793    | 1116.60        
794    | 1122.96        
795    | 1116.67        
796    | 1120.05        
797    | 1118.86        
798    | 1123.39        
799    | 1121.75        
800    | 1117.64        
801    | 1120.47        
802    | 1118.89        
803    | 1116.81        
804    | 1121.58        
805    | 1117.40        
806    | 1119.50        
807    | 1118.14        
808    | 1118.09        
809    | 1121.23        
810    | 1117.61        
811    | 1123.24        
812    | 1122.45        
813    | 1117.01        
814    | 1118.62        
815    | 1118.76        
816    | 1123.11        
817    | 1120.22        
818    | 1117.59        
819    | 1120.63        
820    | 1120.40        
821    | 1118.94        
822    | 1120.39        
823    | 1118.77        
824    | 1119.20        
825    | 1122.35        
826    | 1120.82        
827    | 1121.57        
828    | 1119.42        
829    | 1122.14        
830    | 1120.83        
831    | 1118.82        
832    | 1119.82        
833    | 1123.33        
834    | 1120.65        
835    | 1118.66        
836    | 1118.35        
837    | 1120.49        
838    | 1122.29        
839    | 1120.79        
840    | 1117.34        
841    | 1119.27        
842    | 1121.00        
843    | 1122.71        
844    | 1121.57        
845    | 1116.49        
846    | 1119.18        
847    | 1123.32        
848    | 1122.43        
849    | 1118.62        
850    | 1121.63        
851    | 1122.03        
852    | 1120.69        
853    | 1118.92        
854    | 1117.76        
855    | 1117.21        
856    | 1117.63        
857    | 1118.25        
858    | 1121.70        
859    | 1118.78        
860    | 1120.25        
861    | 1121.45        
862    | 1119.60        
863    | 1120.33        
864    | 1119.92        
865    | 1118.98        
866    | 1117.10        
867    | 1118.82        
868    | 1117.90        
869    | 1123.27        
870    | 1117.31        
871    | 1117.44        
872    | 1120.03        
873    | 1120.80        
874    | 1119.07        
875    | 1117.28        
876    | 1122.28        
877    | 1118.81        
878    | 1120.53        
879    | 1119.25        
880    | 1119.45        
881    | 1117.56        
882    | 1123.54        
883    | 1118.61        
884    | 1118.78        
885    | 1119.50        
886    | 1119.81        
887    | 1116.45        
888    | 1120.78        
889    | 1117.67        
890    | 1120.61        
891    | 1122.52        
892    | 1120.75        
893    | 1121.58        
894    | 1122.95        
895    | 1122.42        
896    | 1117.62        
897    | 1121.28        
898    | 1122.21        
899    | 1117.12        
900    | 1116.47        
901    | 1123.30        
902    | 1123.15        
903    | 1118.56        
904    | 1121.24        
905    | 1117.30        
906    | 1121.66        
907    | 1122.18        
908    | 1122.40        
909    | 1117.67        
910    | 1117.49        
911    | 1119.08        
912    | 1119.51        
913    | 1117.88        
914    | 1121.83        
915    | 1116.78        
916    | 1120.12        
917    | 1118.00        
918    | 1122.93        
919    | 1119.79        
920    | 1121.98        
921    | 1119.90        
922    | 1117.46        
923    | 1123.43        
924    | 1122.53        
925    | 1123.11        
926    | 1117.97        
927    | 1123.07        
928    | 1120.94        
929    | 1122.95        
930    | 1120.62        
931    | 1119.83        
932    | 1121.02        
933    | 1118.41        
934    | 1117.32        
935    | 1119.46        
936    | 1120.26        
937    | 1122.42        
938    | 1119.62        
939    | 1120.18        
940    | 1118.60        
941    | 1119.63        
942    | 1117.00        
943    | 1118.25        
944    | 1122.56        
945    | 1121.10        
946    | 1121.91        
947    | 1119.85        
948    | 1117.03        
949    | 1122.29        
950    | 1122.98        
951    | 1120.16        
952    | 1121.99        
953    | 1118.14        
954    | 1116.66        
955    | 1119.51        
956    | 1119.71        
957    | 1118.36        
958    | 1120.65        
959    | 1116.48        
960    | 1122.42        
961    | 1122.87        
962    | 1122.96        
963    | 1116.60        
964    | 1122.96        
965    | 1122.85        
966    | 1118.45        
967    | 1121.44        
968    | 1120.15        
969    | 1118.39        
970    | 1121.24        
971    | 1120.16        
972    | 1123.11        
973    | 1121.34        
974    | 1122.40        
975    | 1118.99        
976    | 1121.24        
977    | 1118.56        
978    | 1120.36        
979    | 1120.89        
980    | 1116.78        
981    | 1118.56        
982    | 1119.55        
983    | 1119.29        
984    | 1117.74        
985    | 1116.87        
986    | 1119.39        
987    | 1118.20        
988    | 1121.18        
989    | 1119.29        
990    | 1122.98        
991    | 1116.47        
992    | 1122.15        
993    | 1117.39        
994    | 1120.05        
995    | 1123.55        
996    | 1123.06        
997    | 1118.97        
998    | 1120.45        
999    | 1117.42        
1000   | 1122.18        
1001   | 1120.12        
1002   | 1120.44        
1003   | 1122.55        
1004   | 1119.80        
1005   | 1121.71        
1006   | 1121.34        
1007   | 1117.00        
1008   | 1123.26        
1009   | 1122.18        
1010   | 1118.04        
1011   | 1116.40        
1012   | 1121.26        
1013   | 1119.25        
1014   | 1116.67        
1015   | 1116.61        
1016   | 1119.80        
1017   | 1116.55        
1018   | 1116.82        
1019   | 1116.82        
1020   | 1121.64        
1021   | 1272.30        
1022   | 1267.52        
1023   | 1272.17        
1024   | 1270.77        
1025   | 1273.13        
1026   | 1266.87        
1027   | 1273.20        
1028   | 1268.14        
1029   | 1272.87        
1030   | 1271.14        
1031   | 1269.82        
1032   | 1273.37        
1033   | 1272.77        
1034   | 1271.48        
1035   | 1272.23        
1036   | 1268.28        
1037   | 1270.04        
1038   | 1267.14        
1039   | 1267.12        
1040   | 1271.46        
1041   | 1267.26        
1042   | 1272.02        
1043   | 1269.18        
1044   | 1271.72        
1045   | 1267.92        
1046   | 1269.87        
1047   | 1272.20        
1048   | 1272.71        
1049   | 1270.03        
1050   | 1266.91        
1051   | 1268.01        
1052   | 1273.12        
1053   | 1272.11        
1054   | 1272.53        
1055   | 1269.14        
1056   | 1270.41        
1057   | 1273.07        
1058   | 1272.99        
1059   | 1266.50        
1060   | 1271.68        
1061   | 1273.32        
1062   | 1272.86        
1063   | 1271.09        
1064   | 1269.77        
1065   | 1271.49        
1066   | 1273.20        
1067   | 1269.87        
1068   | 1266.59        
1069   | 1267.07        
1070   | 1273.51        
1071   | 1272.31        
1072   | 1272.05        
1073   | 1268.61        
1074   | 1268.47        
1075   | 1268.40        
1076   | 1270.78        
1077   | 1268.90        
1078   | 1268.43        
1079   | 1270.97        
1080   | 1271.52        
1081   | 1272.35        
1082   | 1272.99        
1083   | 1271.24        
1084   | 1273.60        
1085   | 1271.31        
1086   | 1269.67        
1087   | 1270.86        
1088   | 1272.00        
1089   | 1269.83        
1090   | 1268.11        
1091   | 1267.17        
1092   | 1272.87        
1093   | 1268.32        
1094   | 1267.34        
1095   | 1270.61        
1096   | 1270.20        
1097   | 1273.59        
1098   | 1269.04        
1099   | 1266.41        
1100   | 1267.60        
1101   | 1270.94        
1102   | 1270.73        
1103   | 1270.65        
1104   | 1268.42        
1105   | 1273.57        
1106   | 1266.59        
1107   | 1267.00        
1108   | 1273.47        
1109   | 1272.62        
1110   | 1268.91        
1111   | 1271.86        
1112   | 1267.06        
1113   | 1268.75        
1114   | 1266.69        
1115   | 1273.50        
1116   | 1269.96        
1117   | 1271.54        
1118   | 1272.77        
1119   | 1267.26        
1120   | 1272.58        
1121   | 1272.03        
1122   | 1268.95        
1123   | 1273.20        
1124   | 1269.11        
1125   | 1270.82        
1126   | 1273.15        
1127   | 1273.29        
1128   | 1270.90        
1129   | 1272.71        
1130   | 1270.74        
1131   | 1269.49        
1132   | 1270.17        
1133   | 1268.93        
1134   | 1272.27        
1135   | 1266.85        
1136   | 1268.02        
1137   | 1270.14        
1138   | 1267.57        
1139   | 1271.87        
1140   | 1267.99        
1141   | 1270.50        
1142   | 1272.20        
1143   | 1270.53        
1144   | 1267.33        
1145   | 1268.45        
1146   | 1266.63        
1147   | 1267.41        
1148   | 1267.35        
1149   | 1267.72        
1150   | 1271.95        
1151   | 1272.71        
1152   | 1267.14        
1153   | 1269.86        
1154   | 1269.06        
1155   | 1272.75        
1156   | 1270.12        
1157   | 1269.50        
1158   | 1267.74        
1159   | 1267.79        
1160   | 1271.84        
1161   | 1269.64        
1162   | 1266.58        
1163   | 1273.25        
1164   | 1267.14        
1165   | 1268.87        
1166   | 1271.61        
1167   | 1270.81        
1168   | 1268.04        
1169   | 1272.40        
1170   | 1268.74        
1171   | 1268.45        
1172   | 1267.30        
1173   | 1272.28        
1174   | 1268.30        
1175   | 1267.19        
1176   | 1270.33        
1177   | 1268.67        
1178   | 1273.49        
1179   | 1266.91        
1180   | 1266.57        
1181   | 1271.23        
1182   | 1267.14        
1183   | 1273.02        
1184   | 1272.26        
1185   | 1268.74        
1186   | 1271.21        
1187   | 1273.03        
1188   | 1266.76        
1189   | 1266.63        
1190   | 1268.84        
1191   | 1269.71        
1192   | 1272.10        
1193   | 1270.09        
1194   | 1268.21        
1195   | 1271.36        
1196   | 1270.87        
1197   | 1266.71        
1198   | 1271.76        
1199   | 1270.76        
1200   | 1267.14        
1201   | 1273.41        
1202   | 1270.09        
1203   | 1273.01        
1204   | 1273.50        
1205   | 1272.42        
1206   | 1269.28        
1207   | 1267.13        
1208   | 1271.43        
1209   | 1266.59        
1210   | 1267.18        
1211   | 1269.30        
1212   | 1267.59        
1213   | 1268.47        
1214   | 1270.16        
1215   | 1270.07        
1216   | 1270.96        
1217   | 1267.79        
1218   | 1272.79        
1219   | 1272.96        
1220   | 1273.35        
1221   | 1271.35        
1222   | 1270.74        
1223   | 1272.53        
1224   | 1270.52        
1225   | 1270.11        
1226   | 1272.92        
1227   | 1272.37        
1228   | 1273.00        
1229   | 1267.35        
1230   | 1272.33        
1231   | 1268.35        
1232   | 1267.84        
1233   | 1267.77        
1234   | 1270.12        
1235   | 1268.31        
1236   | 1271.77        
1237   | 1271.49        
1238   | 1266.53        
1239   | 1272.79        
1240   | 1266.84        
1241   | 1273.32        
1242   | 1268.38        
1243   | 1271.52        
1244   | 1271.67        
1245   | 1273.41        
1246   | 1270.68        
1247   | 1269.50        
1248   | 1273.49        
1249   | 1268.67        
1250   | 1267.89        
1251   | 1266.59        
1252   | 1273.54        
1253   | 1266.58        
1254   | 1268.09        
1255   | 1270.37        
1256   | 1268.56        
1257   | 1268.48        
1258   | 1268.22        
1259   | 1271.21        
1260   | 1268.05        
1261   | 866.88         
1262   | 868.65         
1263   | 869.84         
1264   | 867.35         
1265   | 870.37         
1266   | 866.57         
1267   | 871.46         
1268   | 867.05         
1269   | 868.89         
1270   | 869.98         
1271   | 867.15         
1272   | 871.09         
1273   | 870.65         
1274   | 870.76         
1275   | 871.01         
1276   | 869.44         
1277   | 868.39         
1278   | 869.89         
1279   | 870.03         
1280   | 868.10         
1281   | 870.36         
1282   | 871.16         
1283   | 869.54         
1284   | 866.50         
1285   | 868.36         
1286   | 870.00         
1287   | 871.31         
1288   | 872.54         
1289   | 869.23         
1290   | 868.63         
1291   | 869.84         
1292   | 871.66         
1293   | 868.48         
1294   | 869.84         
1295   | 867.96         
1296   | 873.43         
1297   | 867.61         
1298   | 867.84         
1299   | 866.96         
1300   | 867.31         
1301   | 866.70         
1302   | 871.35         
1303   | 869.24         
1304   | 873.55         
1305   | 872.87         
1306   | 870.42         
1307   | 870.40         
1308   | 870.63         
1309   | 866.47         
1310   | 871.05         
1311   | 869.16         
1312   | 866.79         
1313   | 870.05         
1314   | 870.52         
1315   | 873.14         
1316   | 871.37         
1317   | 873.23         
1318   | 870.24         
1319   | 869.62         
1320   | 866.52         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
