Minute | Consumption (W) - SCENARIO: Early Bird Morning
719    | 582.81         
720    | 580.39         
721    | 728.45         
722    | 728.40         
723    | 730.07         
724    | 731.14         
725    | 728.50         
726    | 727.53         
727    | 727.19         
728    | 729.57         
729    | 733.40         
730    | 733.38         
731    | 1728.03        
732    | 1730.76        
733    | 1732.41        
734    | 1726.60        
735    | 1726.98        
736    | 1728.18        
737    | 1733.25        
738    | 1729.93        
739    | 1726.41        
740    | 1727.56        
741    | 728.68         
742    | 728.22         
743    | 732.87         
744    | 732.81         
745    | 732.33         
746    | 733.54         
747    | 726.50         
748    | 733.35         
749    | 732.41         
750    | 726.48         
751    | 728.09         
752    | 730.70         
753    | 727.67         
754    | 732.08         
755    | 728.90         
756    | 731.67         
757    | 728.98         
758    | 727.26         
759    | 728.97         
760    | 728.41         
761    | 730.89         
762    | 726.65         
763    | 732.79         
764    | 726.55         
765    | 727.11         
766    | 730.21         
767    | 728.31         
768    | 728.01         
769    | 733.50         
770    | 732.64         
771    | 728.85         
772    | 727.21         
773    | 730.19         
774    | 730.36         
775    | 732.31         
776    | 733.10         
777    | 726.99         
778    | 728.71         
779    | 732.83         
780    | 728.84         
781    | 702.92         
782    | 698.23         
783    | 700.05         
784    | 698.78         
785    | 696.80         
786    | 698.86         
787    | 702.84         
788    | 698.82         
789    | 698.91         
790    | 702.61         
791    | 701.42         
792    | 697.33         
793    | 696.72         
794    | 703.02         
795    | 703.07         
796    | 702.47         
797    | 703.35         
798    | 697.14         
799    | 701.68         
800    | 702.02         
801    | 698.45         
802    | 702.09         
803    | 702.21         
804    | 700.20         
805    | 703.51         
806    | 699.45         
807    | 701.94         
808    | 700.55         
809    | 697.07         
810    | 701.11         
811    | 702.55         
812    | 698.88         
813    | 697.49         
814    | 701.45         
815    | 702.48         
816    | 700.77         
817    | 702.97         
818    | 701.88         
819    | 701.48         
820    | 696.83         
821    | 702.48         
822    | 698.56         
823    | 701.07         
824    | 698.07         
825    | 699.67         
826    | 699.04         
827    | 698.51         
828    | 698.25         
829    | 701.44         
830    | 696.52         
831    | 701.57         
832    | 701.91         
833    | 697.44         
834    | 703.50         
835    | 701.69         
836    | 697.78         
837    | 700.07         
838    | 697.79         
839    | 703.24         
840    | 696.59         
841    | 699.41         
842    | 697.05         
843    | 700.86         
844    | 698.25         
845    | 698.16         
846    | 698.35         
847    | 703.27         
848    | 697.37         
849    | 703.22         
850    | 698.17         
851    | 698.02         
852    | 700.19         
853    | 697.96         
854    | 699.60         
855    | 696.82         
856    | 696.92         
857    | 700.20         
858    | 699.20         
859    | 701.57         
860    | 697.35         
861    | 699.03         
862    | 697.94         
863    | 700.43         
864    | 698.46         
865    | 698.49         
866    | 700.03         
867    | 698.61         
868    | 700.30         
869    | 698.09         
870    | 698.54         
871    | 697.76         
872    | 696.41         
873    | 702.54         
874    | 702.75         
875    | 699.04         
876    | 697.32         
877    | 702.07         
878    | 701.07         
879    | 696.66         
880    | 698.19         
881    | 697.79         
882    | 701.08         
883    | 702.95         
884    | 700.99         
885    | 703.57         
886    | 696.86         
887    | 696.48         
888    | 700.59         
889    | 698.64         
890    | 700.44         
891    | 698.34         
892    | 699.32         
893    | 702.20         
894    | 700.35         
895    | 696.96         
896    | 701.93         
897    | 700.38         
898    | 701.44         
899    | 698.29         
900    | 699.53         
901    | 703.26         
902    | 697.62         
903    | 701.42         
904    | 697.17         
905    | 699.25         
906    | 702.83         
907    | 699.65         
908    | 700.51         
909    | 699.28         
910    | 698.63         
911    | 698.77         
912    | 703.25         
913    | 697.42         
914    | 699.84         
915    | 700.36         
916    | 697.02         
917    | 701.02         
918    | 700.31         
919    | 701.25         
920    | 700.01         
921    | 700.96         
922    | 697.21         
923    | 702.63         
924    | 698.38         
925    | 703.22         
926    | 697.90         
927    | 699.41         
928    | 701.61         
929    | 696.40         
930    | 701.38         
931    | 697.65         
932    | 702.36         
933    | 699.05         
934    | 696.69         
935    | 701.04         
936    | 700.60         
937    | 701.45         
938    | 700.98         
939    | 702.04         
940    | 697.14         
941    | 703.22         
942    | 701.12         
943    | 702.08         
944    | 701.46         
945    | 703.58         
946    | 700.52         
947    | 701.25         
948    | 698.03         
949    | 699.29         
950    | 699.12         
951    | 699.61         
952    | 700.88         
953    | 700.83         
954    | 699.29         
955    | 698.66         
956    | 701.83         
957    | 697.23         
958    | 702.25         
959    | 701.05         
960    | 701.58         
961    | 702.96         
962    | 703.47         
963    | 698.37         
964    | 701.00         
965    | 696.90         
966    | 696.50         
967    | 702.70         
968    | 702.31         
969    | 698.58         
970    | 701.55         
971    | 703.52         
972    | 698.90         
973    | 697.26         
974    | 697.97         
975    | 702.48         
976    | 701.40         
977    | 702.96         
978    | 698.85         
979    | 700.70         
980    | 700.94         
981    | 702.71         
982    | 702.14         
983    | 699.16         
984    | 701.80         
985    | 700.27         
986    | 700.24         
987    | 701.13         
988    | 699.22         
989    | 698.51         
990    | 697.28         
991    | 697.16         
992    | 701.03         
993    | 696.41         
994    | 699.89         
995    | 697.06         
996    | 698.38         
997    | 700.71         
998    | 701.53         
999    | 699.93         
1000   | 697.57         
1001   | 696.81         
1002   | 696.93         
1003   | 703.32         
1004   | 700.10         
1005   | 703.09         
1006   | 697.96         
1007   | 697.32         
1008   | 699.56         
1009   | 702.08         
1010   | 700.51         
1011   | 703.00         
1012   | 699.03         
1013   | 702.09         
1014   | 698.26         
1015   | 697.15         
1016   | 702.62         
1017   | 697.90         
1018   | 703.07         
1019   | 702.08         
1020   | 702.97         
1021   | 846.79         
1022   | 849.04         
1023   | 848.68         
1024   | 848.28         
1025   | 852.59         
1026   | 847.35         
1027   | 847.48         
1028   | 847.40         
1029   | 847.69         
1030   | 851.55         
1031   | 846.46         
1032   | 851.09         
1033   | 851.98         
1034   | 853.11         
1035   | 850.47         
1036   | 852.75         
1037   | 852.06         
1038   | 852.45         
1039   | 852.24         
1040   | 847.42         
1041   | 853.09         
1042   | 851.92         
1043   | 850.82         
1044   | 852.20         
1045   | 848.73         
1046   | 847.90         
1047   | 847.99         
1048   | 848.43         
1049   | 849.86         
1050   | 853.02         
1051   | 850.16         
1052   | 851.48         
1053   | 851.24         
1054   | 852.51         
1055   | 850.68         
1056   | 847.13         
1057   | 847.38         
1058   | 850.08         
1059   | 848.85         
1060   | 852.81         
1061   | 846.45         
1062   | 849.67         
1063   | 849.48         
1064   | 848.26         
1065   | 852.45         
1066   | 853.08         
1067   | 849.68         
1068   | 853.59         
1069   | 851.17         
1070   | 847.32         
1071   | 850.44         
1072   | 850.74         
1073   | 847.60         
1074   | 852.08         
1075   | 846.43         
1076   | 847.00         
1077   | 847.53         
1078   | 850.78         
1079   | 853.24         
1080   | 853.10         
1081   | 849.24         
1082   | 846.63         
1083   | 851.03         
1084   | 851.97         
1085   | 853.53         
1086   | 851.96         
1087   | 849.52         
1088   | 848.09         
1089   | 848.79         
1090   | 850.99         
1091   | 852.06         
1092   | 848.74         
1093   | 850.51         
1094   | 846.72         
1095   | 849.15         
1096   | 851.90         
1097   | 853.46         
1098   | 848.18         
1099   | 847.33         
1100   | 849.47         
1101   | 852.25         
1102   | 849.96         
1103   | 850.65         
1104   | 852.67         
1105   | 848.58         
1106   | 846.62         
1107   | 848.20         
1108   | 849.03         
1109   | 851.38         
1110   | 852.76         
1111   | 852.71         
1112   | 850.79         
1113   | 847.33         
1114   | 848.72         
1115   | 847.70         
1116   | 852.76         
1117   | 846.72         
1118   | 851.22         
1119   | 846.77         
1120   | 846.97         
1121   | 846.50         
1122   | 850.99         
1123   | 850.88         
1124   | 850.99         
1125   | 852.98         
1126   | 852.41         
1127   | 848.02         
1128   | 852.87         
1129   | 852.58         
1130   | 850.64         
1131   | 847.16         
1132   | 846.47         
1133   | 852.12         
1134   | 852.67         
1135   | 850.02         
1136   | 852.58         
1137   | 852.46         
1138   | 850.35         
1139   | 852.16         
1140   | 849.97         
1141   | 850.48         
1142   | 852.24         
1143   | 849.10         
1144   | 848.07         
1145   | 850.03         
1146   | 850.72         
1147   | 846.66         
1148   | 848.98         
1149   | 851.25         
1150   | 852.23         
1151   | 848.22         
1152   | 848.23         
1153   | 852.68         
1154   | 849.05         
1155   | 849.90         
1156   | 850.19         
1157   | 853.29         
1158   | 847.19         
1159   | 853.16         
1160   | 851.19         
1161   | 850.66         
1162   | 848.91         
1163   | 846.49         
1164   | 848.43         
1165   | 847.17         
1166   | 848.14         
1167   | 853.55         
1168   | 850.21         
1169   | 850.90         
1170   | 853.17         
1171   | 853.48         
1172   | 849.39         
1173   | 850.81         
1174   | 852.23         
1175   | 848.93         
1176   | 847.97         
1177   | 852.04         
1178   | 848.19         
1179   | 851.59         
1180   | 847.73         
1181   | 852.70         
1182   | 850.79         
1183   | 847.58         
1184   | 852.73         
1185   | 849.04         
1186   | 849.16         
1187   | 846.70         
1188   | 847.03         
1189   | 849.49         
1190   | 852.41         
1191   | 852.34         
1192   | 850.15         
1193   | 847.81         
1194   | 852.96         
1195   | 847.84         
1196   | 847.67         
1197   | 848.75         
1198   | 847.72         
1199   | 847.33         
1200   | 851.23         
1201   | 848.74         
1202   | 846.95         
1203   | 852.27         
1204   | 846.61         
1205   | 848.39         
1206   | 851.61         
1207   | 848.07         
1208   | 852.53         
1209   | 853.30         
1210   | 853.07         
1211   | 851.83         
1212   | 846.99         
1213   | 848.76         
1214   | 851.96         
1215   | 849.20         
1216   | 848.07         
1217   | 848.68         
1218   | 852.58         
1219   | 847.84         
1220   | 852.22         
1221   | 847.97         
1222   | 853.19         
1223   | 846.96         
1224   | 852.98         
1225   | 850.42         
1226   | 851.35         
1227   | 849.85         
1228   | 853.46         
1229   | 846.63         
1230   | 848.20         
1231   | 846.91         
1232   | 851.81         
1233   | 846.44         
1234   | 850.99         
1235   | 849.22         
1236   | 851.12         
1237   | 846.71         
1238   | 849.49         
1239   | 848.50         
1240   | 852.85         
1241   | 847.09         
1242   | 849.24         
1243   | 850.55         
1244   | 848.22         
1245   | 852.99         
1246   | 847.42         
1247   | 853.23         
1248   | 849.82         
1249   | 852.99         
1250   | 851.76         
1251   | 849.41         
1252   | 846.93         
1253   | 853.19         
1254   | 846.86         
1255   | 848.49         
1256   | 847.39         
1257   | 847.76         
1258   | 853.23         
1259   | 848.35         
1260   | 847.00         
1261   | 449.11         
1262   | 450.66         
1263   | 452.53         
1264   | 452.59         
1265   | 451.51         
1266   | 449.47         
1267   | 450.58         
1268   | 450.75         
1269   | 450.85         
1270   | 451.23         
1271   | 450.47         
1272   | 446.81         
1273   | 453.10         
1274   | 448.36         
1275   | 451.92         
1276   | 453.24         
1277   | 449.12         
1278   | 448.87         
1279   | 447.92         
1280   | 451.54         
1281   | 447.67         
1282   | 447.15         
1283   | 449.55         
1284   | 453.12         
1285   | 450.62         
1286   | 448.56         
1287   | 450.41         
1288   | 446.70         
1289   | 453.18         
1290   | 453.08         
1291   | 448.79         
1292   | 446.86         
1293   | 452.59         
1294   | 449.04         
1295   | 451.10         
1296   | 450.68         
1297   | 446.43         
1298   | 452.25         
1299   | 446.41         
1300   | 446.42         
1301   | 452.60         
1302   | 446.94         
1303   | 450.67         
1304   | 446.64         
1305   | 448.72         
1306   | 453.20         
1307   | 447.45         
1308   | 447.93         
1309   | 447.41         
1310   | 449.23         
1311   | 446.44         
1312   | 453.11         
1313   | 452.17         
1314   | 446.62         
1315   | 452.82         
1316   | 450.96         
1317   | 452.13         
1318   | 448.01         
1319   | 449.52         
1320   | 447.19         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
