Minute | Consumption (W) - SCENARIO: Computer Hobby Session
725    | 732.44         
726    | 727.00         
727    | 731.42         
728    | 728.87         
729    | 731.90         
730    | 731.50         
731    | 1728.75        
732    | 1731.42        
733    | 1730.60        
734    | 1732.91        
735    | 1730.21        
736    | 1728.43        
737    | 1726.96        
738    | 1732.66        
739    | 1730.92        
740    | 1733.33        
741    | 727.49         
742    | 731.07         
743    | 731.00         
744    | 730.48         
745    | 729.23         
746    | 732.28         
747    | 731.09         
748    | 727.46         
749    | 730.25         
750    | 726.53         
751    | 727.57         
752    | 732.30         
753    | 733.45         
754    | 729.60         
755    | 729.15         
756    | 733.01         
757    | 727.60         
758    | 727.74         
759    | 731.01         
760    | 726.79         
761    | 726.48         
762    | 729.61         
763    | 728.99         
764    | 728.57         
765    | 727.31         
766    | 733.31         
767    | 726.56         
768    | 731.84         
769    | 728.65         
770    | 731.64         
771    | 729.14         
772    | 731.03         
773    | 731.21         
774    | 729.19         
775    | 728.18         
776    | 729.38         
777    | 727.55         
778    | 728.34         
779    | 726.48         
780    | 727.19         
781    | 699.43         
782    | 697.76         
783    | 700.03         
784    | 700.54         
785    | 697.42         
786    | 700.80         
787    | 699.96         
788    | 702.04         
789    | 701.22         
790    | 698.37         
791    | 698.64         
792    | 698.04         
793    | 702.71         
794    | 701.30         
795    | 702.98         
796    | 701.69         
797    | 700.50         
798    | 697.61         
799    | 697.83         
800    | 698.63         
801    | 700.08         
802    | 697.51         
803    | 702.94         
804    | 696.74         
805    | 698.16         
806    | 703.20         
807    | 700.37         
808    | 698.52         
809    | 696.55         
810    | 698.46         
811    | 701.83         
812    | 702.43         
813    | 703.05         
814    | 696.98         
815    | 700.80         
816    | 700.01         
817    | 703.35         
818    | 701.56         
819    | 697.09         
820    | 698.79         
821    | 698.82         
822    | 700.57         
823    | 696.76         
824    | 698.57         
825    | 697.69         
826    | 701.06         
827    | 700.72         
828    | 701.66         
829    | 700.48         
830    | 698.27         
831    | 702.60         
832    | 698.63         
833    | 703.00         
834    | 701.45         
835    | 701.64         
836    | 696.68         
837    | 698.98         
838    | 698.85         
839    | 696.44         
840    | 702.63         
841    | 702.23         
842    | 701.94         
843    | 697.59         
844    | 700.13         
845    | 697.31         
846    | 700.67         
847    | 702.51         
848    | 700.76         
849    | 703.28         
850    | 699.45         
851    | 703.35         
852    | 703.20         
853    | 701.35         
854    | 702.23         
855    | 700.90         
856    | 698.19         
857    | 701.66         
858    | 697.20         
859    | 701.64         
860    | 702.92         
861    | 701.21         
862    | 699.46         
863    | 697.71         
864    | 700.57         
865    | 703.40         
866    | 702.85         
867    | 697.76         
868    | 697.13         
869    | 703.41         
870    | 698.55         
871    | 698.32         
872    | 699.21         
873    | 696.53         
874    | 699.51         
875    | 699.66         
876    | 696.64         
877    | 699.59         
878    | 697.61         
879    | 702.77         
880    | 700.10         
881    | 701.41         
882    | 702.25         
883    | 703.34         
884    | 702.50         
885    | 701.43         
886    | 699.88         
887    | 703.29         
888    | 696.77         
889    | 697.30         
890    | 700.54         
891    | 698.72         
892    | 699.28         
893    | 698.20         
894    | 702.68         
895    | 702.44         
896    | 697.07         
897    | 698.00         
898    | 700.18         
899    | 698.26         
900    | 699.02         
901    | 700.39         
902    | 696.99         
903    | 698.74         
904    | 696.55         
905    | 700.71         
906    | 698.29         
907    | 700.29         
908    | 697.29         
909    | 700.96         
910    | 701.99         
911    | 698.76         
912    | 699.37         
913    | 698.43         
914    | 700.61         
915    | 702.13         
916    | 700.21         
917    | 698.73         
918    | 703.54         
919    | 699.69         
920    | 696.95         
921    | 699.54         
922    | 699.29         
923    | 703.02         
924    | 701.18         
925    | 699.56         
926    | 701.99         
927    | 697.48         
928    | 699.59         
929    | 700.82         
930    | 700.61         
931    | 701.48         
932    | 700.10         
933    | 702.98         
934    | 700.49         
935    | 702.09         
936    | 701.54         
937    | 697.85         
938    | 699.79         
939    | 700.79         
940    | 696.97         
941    | 697.62         
942    | 702.18         
943    | 701.21         
944    | 696.42         
945    | 700.56         
946    | 699.83         
947    | 698.29         
948    | 699.08         
949    | 703.42         
950    | 698.61         
951    | 702.35         
952    | 701.19         
953    | 698.50         
954    | 697.93         
955    | 698.10         
956    | 700.71         
957    | 701.18         
958    | 698.79         
959    | 701.94         
960    | 699.83         
961    | 763.12         
962    | 759.84         
963    | 756.51         
964    | 762.82         
965    | 756.59         
966    | 757.91         
967    | 761.44         
968    | 759.51         
969    | 760.96         
970    | 759.21         
971    | 762.33         
972    | 762.41         
973    | 758.82         
974    | 762.27         
975    | 760.91         
976    | 761.35         
977    | 759.26         
978    | 757.04         
979    | 762.06         
980    | 761.05         
981    | 760.19         
982    | 762.35         
983    | 760.04         
984    | 762.03         
985    | 762.13         
986    | 757.85         
987    | 758.25         
988    | 762.98         
989    | 756.78         
990    | 757.62         
991    | 759.53         
992    | 759.83         
993    | 762.44         
994    | 762.57         
995    | 760.80         
996    | 756.63         
997    | 756.55         
998    | 759.69         
999    | 760.74         
1000   | 760.28         
1001   | 759.29         
1002   | 759.91         
1003   | 756.43         
1004   | 757.73         
1005   | 759.51         
1006   | 762.34         
1007   | 763.32         
1008   | 762.37         
1009   | 759.55         
1010   | 762.72         
1011   | 760.40         
1012   | 758.31         
1013   | 761.38         
1014   | 763.49         
1015   | 761.87         
1016   | 762.12         
1017   | 761.74         
1018   | 759.98         
1019   | 763.35         
1020   | 761.58         
1021   | 909.75         
1022   | 907.50         
1023   | 911.15         
1024   | 913.17         
1025   | 911.43         
1026   | 907.25         
1027   | 906.68         
1028   | 911.81         
1029   | 906.54         
1030   | 913.01         
1031   | 910.95         
1032   | 910.22         
1033   | 908.05         
1034   | 911.02         
1035   | 913.47         
1036   | 911.53         
1037   | 909.67         
1038   | 911.19         
1039   | 908.18         
1040   | 908.84         
1041   | 913.09         
1042   | 908.13         
1043   | 910.58         
1044   | 912.81         
1045   | 910.99         
1046   | 909.94         
1047   | 910.46         
1048   | 907.49         
1049   | 913.54         
1050   | 908.66         
1051   | 913.17         
1052   | 913.09         
1053   | 909.70         
1054   | 912.56         
1055   | 909.08         
1056   | 909.91         
1057   | 913.18         
1058   | 907.05         
1059   | 908.75         
1060   | 907.79         
1061   | 907.55         
1062   | 911.52         
1063   | 909.62         
1064   | 908.93         
1065   | 912.96         
1066   | 909.12         
1067   | 907.61         
1068   | 908.46         
1069   | 909.83         
1070   | 909.50         
1071   | 910.79         
1072   | 907.74         
1073   | 907.91         
1074   | 908.15         
1075   | 911.53         
1076   | 907.08         
1077   | 912.24         
1078   | 910.17         
1079   | 910.94         
1080   | 908.88         
1081   | 847.90         
1082   | 846.63         
1083   | 847.28         
1084   | 852.29         
1085   | 847.99         
1086   | 850.92         
1087   | 847.85         
1088   | 849.40         
1089   | 850.46         
1090   | 850.56         
1091   | 848.33         
1092   | 853.20         
1093   | 849.64         
1094   | 848.07         
1095   | 851.99         
1096   | 853.24         
1097   | 849.65         
1098   | 853.42         
1099   | 847.23         
1100   | 850.61         
1101   | 850.56         
1102   | 847.95         
1103   | 850.00         
1104   | 848.56         
1105   | 850.85         
1106   | 850.42         
1107   | 849.79         
1108   | 847.80         
1109   | 849.52         
1110   | 848.82         
1111   | 849.13         
1112   | 851.13         
1113   | 848.87         
1114   | 853.22         
1115   | 847.10         
1116   | 846.63         
1117   | 847.45         
1118   | 851.78         
1119   | 850.77         
1120   | 851.10         
1121   | 849.92         
1122   | 849.91         
1123   | 849.73         
1124   | 850.68         
1125   | 848.32         
1126   | 848.43         
1127   | 847.47         
1128   | 848.88         
1129   | 849.01         
1130   | 851.00         
1131   | 851.21         
1132   | 848.34         
1133   | 850.03         
1134   | 849.16         
1135   | 851.28         
1136   | 847.35         
1137   | 852.45         
1138   | 853.23         
1139   | 847.57         
1140   | 847.45         
1141   | 848.96         
1142   | 846.73         
1143   | 852.69         
1144   | 848.59         
1145   | 850.00         
1146   | 850.28         
1147   | 851.39         
1148   | 847.79         
1149   | 846.62         
1150   | 847.20         
1151   | 852.14         
1152   | 851.45         
1153   | 848.02         
1154   | 847.12         
1155   | 849.27         
1156   | 846.69         
1157   | 851.66         
1158   | 847.33         
1159   | 847.68         
1160   | 849.46         
1161   | 853.51         
1162   | 847.97         
1163   | 846.64         
1164   | 850.83         
1165   | 847.46         
1166   | 846.74         
1167   | 850.32         
1168   | 848.50         
1169   | 851.61         
1170   | 846.84         
1171   | 848.81         
1172   | 847.66         
1173   | 851.75         
1174   | 851.16         
1175   | 851.68         
1176   | 853.46         
1177   | 852.67         
1178   | 846.44         
1179   | 847.86         
1180   | 851.20         
1181   | 850.44         
1182   | 850.21         
1183   | 848.65         
1184   | 851.55         
1185   | 853.39         
1186   | 851.40         
1187   | 853.54         
1188   | 846.94         
1189   | 851.30         
1190   | 852.49         
1191   | 852.76         
1192   | 851.78         
1193   | 851.80         
1194   | 848.82         
1195   | 847.60         
1196   | 852.13         
1197   | 850.37         
1198   | 846.83         
1199   | 852.75         
1200   | 851.67         
1201   | 849.24         
1202   | 848.75         
1203   | 848.55         
1204   | 852.28         
1205   | 850.16         
1206   | 850.87         
1207   | 852.69         
1208   | 853.46         
1209   | 849.52         
1210   | 850.35         
1211   | 848.67         
1212   | 852.07         
1213   | 851.87         
1214   | 849.76         
1215   | 853.28         
1216   | 852.53         
1217   | 847.69         
1218   | 850.67         
1219   | 851.14         
1220   | 850.05         
1221   | 847.99         
1222   | 846.52         
1223   | 850.72         
1224   | 846.62         
1225   | 851.47         
1226   | 849.55         
1227   | 851.33         
1228   | 852.42         
1229   | 852.69         
1230   | 848.20         
1231   | 849.63         
1232   | 853.42         
1233   | 853.01         
1234   | 846.51         
1235   | 849.83         
1236   | 851.25         
1237   | 848.88         
1238   | 850.22         
1239   | 851.34         
1240   | 846.96         
1241   | 851.24         
1242   | 847.55         
1243   | 847.12         
1244   | 850.10         
1245   | 849.66         
1246   | 849.01         
1247   | 849.76         
1248   | 850.51         
1249   | 849.14         
1250   | 853.04         
1251   | 851.53         
1252   | 849.26         
1253   | 852.05         
1254   | 849.78         
1255   | 846.92         
1256   | 849.59         
1257   | 852.71         
1258   | 853.14         
1259   | 849.10         
1260   | 852.86         
1261   | 448.28         
1262   | 451.36         
1263   | 448.14         
1264   | 447.58         
1265   | 452.56         
1266   | 446.76         
1267   | 451.66         
1268   | 449.32         
1269   | 451.97         
1270   | 447.25         
1271   | 447.46         
1272   | 447.36         
1273   | 449.19         
1274   | 452.24         
1275   | 451.31         
1276   | 452.93         
1277   | 452.47         
1278   | 451.71         
1279   | 452.30         
1280   | 452.69         
1281   | 451.83         
1282   | 449.08         
1283   | 449.35         
1284   | 450.14         
1285   | 453.28         
1286   | 447.29         
1287   | 451.34         
1288   | 453.35         
1289   | 450.58         
1290   | 449.07         
1291   | 450.42         
1292   | 449.60         
1293   | 448.75         
1294   | 448.54         
1295   | 450.64         
1296   | 449.71         
1297   | 451.53         
1298   | 449.77         
1299   | 448.18         
1300   | 449.70         
1301   | 446.79         
1302   | 449.66         
1303   | 449.75         
1304   | 447.02         
1305   | 451.46         
1306   | 452.03         
1307   | 447.58         
1308   | 448.09         
1309   | 450.37         
1310   | 450.04         
1311   | 450.74         
1312   | 450.61         
1313   | 446.52         
1314   | 450.02         
1315   | 451.29         
1316   | 452.52         
1317   | 450.18         
1318   | 450.13         
1319   | 451.66         
1320   | 448.96         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
