Minute | Consumption (W) - SCENARIO: Daily Routine
726    | 728.68         
727    | 730.31         
728    | 733.08         
729    | 726.57         
730    | 728.48         
731    | 1730.87        
732    | 1728.69        
733    | 1732.74        
734    | 1727.33        
735    | 1727.40        
736    | 1729.49        
737    | 1729.00        
738    | 1732.69        
739    | 1732.17        
740    | 1732.72        
741    | 731.29         
742    | 732.66         
743    | 730.50         
744    | 731.25         
745    | 728.43         
746    | 727.40         
747    | 727.49         
748    | 726.83         
749    | 727.73         
750    | 729.78         
751    | 733.01         
752    | 728.65         
753    | 728.03         
754    | 727.19         
755    | 731.63         
756    | 729.99         
757    | 726.95         
758    | 731.45         
759    | 729.55         
760    | 727.45         
761    | 732.21         
762    | 733.06         
763    | 729.88         
764    | 729.08         
765    | 727.47         
766    | 726.78         
767    | 729.52         
768    | 727.80         
769    | 731.97         
770    | 731.29         
771    | 727.45         
772    | 727.38         
773    | 729.04         
774    | 727.87         
775    | 726.84         
776    | 730.39         
777    | 732.85         
778    | 726.44         
779    | 727.78         
780    | 731.24         
781    | 700.75         
782    | 699.33         
783    | 702.42         
784    | 699.92         
785    | 696.70         
786    | 698.15         
787    | 701.75         
788    | 697.30         
789    | 702.12         
790    | 703.28         
791    | 700.46         
792    | 700.59         
793    | 698.54         
794    | 697.59         
795    | 699.81         
796    | 699.82         
797    | 699.01         
798    | 697.82         
799    | 701.97         
800    | 697.17         
801    | 701.50         
802    | 698.79         
803    | 696.99         
804    | 702.50         
805    | 703.14         
806    | 698.54         
807    | 699.36         
808    | 696.82         
809    | 699.28         
810    | 699.22         
811    | 701.04         
812    | 700.46         
813    | 698.74         
814    | 703.18         
815    | 697.04         
816    | 697.20         
817    | 696.89         
818    | 698.45         
819    | 697.27         
820    | 701.69         
821    | 701.69         
822    | 702.16         
823    | 698.83         
824    | 696.44         
825    | 701.14         
826    | 702.44         
827    | 697.65         
828    | 703.20         
829    | 699.63         
830    | 698.11         
831    | 701.31         
832    | 701.85         
833    | 699.75         
834    | 699.73         
835    | 696.75         
836    | 698.79         
837    | 698.99         
838    | 697.57         
839    | 698.02         
840    | 700.90         
841    | 697.85         
842    | 702.18         
843    | 700.29         
844    | 702.22         
845    | 701.74         
846    | 702.50         
847    | 699.51         
848    | 701.49         
849    | 696.73         
850    | 698.00         
851    | 697.65         
852    | 700.37         
853    | 702.10         
854    | 697.79         
855    | 702.23         
856    | 702.62         
857    | 699.21         
858    | 698.11         
859    | 700.35         
860    | 697.22         
861    | 702.74         
862    | 700.68         
863    | 702.45         
864    | 701.91         
865    | 698.68         
866    | 696.89         
867    | 698.23         
868    | 702.58         
869    | 697.48         
870    | 702.32         
871    | 700.40         
872    | 699.18         
873    | 699.94         
874    | 699.38         
875    | 700.09         
876    | 702.90         
877    | 698.46         
878    | 698.45         
879    | 703.19         
880    | 696.81         
881    | 700.44         
882    | 699.17         
883    | 698.11         
884    | 696.70         
885    | 702.64         
886    | 703.37         
887    | 702.21         
888    | 698.13         
889    | 700.36         
890    | 701.57         
891    | 700.93         
892    | 700.25         
893    | 702.58         
894    | 698.98         
895    | 701.80         
896    | 701.84         
897    | 703.55         
898    | 698.79         
899    | 698.62         
900    | 702.00         
901    | 701.84         
902    | 698.94         
903    | 699.20         
904    | 702.17         
905    | 699.81         
906    | 701.55         
907    | 698.72         
908    | 700.70         
909    | 702.73         
910    | 699.48         
911    | 697.46         
912    | 700.57         
913    | 703.21         
914    | 699.83         
915    | 699.09         
916    | 699.13         
917    | 700.24         
918    | 700.66         
919    | 701.92         
920    | 702.10         
921    | 699.94         
922    | 702.13         
923    | 697.62         
924    | 700.62         
925    | 700.24         
926    | 699.67         
927    | 698.27         
928    | 696.67         
929    | 699.48         
930    | 697.76         
931    | 699.56         
932    | 699.48         
933    | 703.39         
934    | 699.65         
935    | 703.25         
936    | 697.48         
937    | 701.90         
938    | 702.64         
939    | 698.33         
940    | 701.38         
941    | 702.32         
942    | 700.80         
943    | 698.13         
944    | 702.31         
945    | 700.01         
946    | 701.45         
947    | 699.35         
948    | 697.89         
949    | 699.14         
950    | 702.43         
951    | 700.98         
952    | 703.37         
953    | 697.93         
954    | 703.59         
955    | 697.73         
956    | 701.44         
957    | 701.00         
958    | 701.41         
959    | 698.04         
960    | 696.77         
961    | 700.80         
962    | 701.85         
963    | 697.47         
964    | 700.99         
965    | 703.22         
966    | 698.35         
967    | 702.85         
968    | 699.96         
969    | 701.52         
970    | 699.02         
971    | 700.49         
972    | 698.67         
973    | 699.69         
974    | 699.86         
975    | 699.72         
976    | 700.75         
977    | 699.70         
978    | 699.35         
979    | 703.16         
980    | 698.47         
981    | 697.44         
982    | 702.26         
983    | 700.87         
984    | 698.14         
985    | 698.48         
986    | 698.34         
987    | 700.43         
988    | 702.10         
989    | 696.61         
990    | 698.52         
991    | 697.82         
992    | 698.29         
993    | 701.26         
994    | 701.74         
995    | 696.91         
996    | 696.51         
997    | 701.93         
998    | 698.37         
999    | 701.19         
1000   | 702.03         
1001   | 698.53         
1002   | 701.10         
1003   | 697.52         
1004   | 697.57         
1005   | 701.91         
1006   | 701.17         
1007   | 698.90         
1008   | 700.52         
1009   | 700.57         
1010   | 701.45         
1011   | 702.13         
1012   | 703.53         
1013   | 702.79         
1014   | 701.42         
1015   | 699.44         
1016   | 699.00         
1017   | 699.61         
1018   | 697.06         
1019   | 700.54         
1020   | 696.57         
1021   | 847.93         
1022   | 849.28         
1023   | 853.58         
1024   | 848.58         
1025   | 850.58         
1026   | 852.35         
1027   | 850.01         
1028   | 849.42         
1029   | 852.77         
1030   | 852.14         
1031   | 852.97         
1032   | 850.64         
1033   | 850.10         
1034   | 852.11         
1035   | 849.97         
1036   | 852.74         
1037   | 847.13         
1038   | 851.07         
1039   | 851.41         
1040   | 852.68         
1041   | 848.75         
1042   | 847.24         
1043   | 852.53         
1044   | 850.65         
1045   | 853.12         
1046   | 846.44         
1047   | 851.93         
1048   | 852.60         
1049   | 847.97         
1050   | 852.24         
1051   | 848.08         
1052   | 851.99         
1053   | 848.94         
1054   | 849.24         
1055   | 850.45         
1056   | 852.50         
1057   | 850.60         
1058   | 851.24         
1059   | 853.53         
1060   | 846.57         
1061   | 847.13         
1062   | 851.81         
1063   | 851.25         
1064   | 851.12         
1065   | 849.76         
1066   | 849.06         
1067   | 848.40         
1068   | 852.10         
1069   | 852.54         
1070   | 852.94         
1071   | 848.03         
1072   | 846.90         
1073   | 852.71         
1074   | 851.43         
1075   | 849.05         
1076   | 849.29         
1077   | 851.77         
1078   | 851.81         
1079   | 846.97         
1080   | 851.46         
1081   | 848.24         
1082   | 853.44         
1083   | 848.30         
1084   | 850.17         
1085   | 849.43         
1086   | 851.10         
1087   | 846.96         
1088   | 852.28         
1089   | 850.06         
1090   | 847.08         
1091   | 852.42         
1092   | 851.97         
1093   | 850.09         
1094   | 846.41         
1095   | 847.15         
1096   | 851.94         
1097   | 850.16         
1098   | 852.47         
1099   | 849.75         
1100   | 848.69         
1101   | 848.74         
1102   | 853.21         
1103   | 848.53         
1104   | 848.57         
1105   | 846.68         
1106   | 849.05         
1107   | 848.19         
1108   | 848.82         
1109   | 852.14         
1110   | 848.10         
1111   | 852.03         
1112   | 850.02         
1113   | 850.46         
1114   | 852.84         
1115   | 848.86         
1116   | 851.02         
1117   | 850.48         
1118   | 851.21         
1119   | 851.08         
1120   | 846.73         
1121   | 850.46         
1122   | 852.14         
1123   | 846.52         
1124   | 853.37         
1125   | 846.78         
1126   | 850.24         
1127   | 846.97         
1128   | 849.63         
1129   | 853.44         
1130   | 846.51         
1131   | 848.81         
1132   | 848.33         
1133   | 850.05         
1134   | 851.93         
1135   | 851.43         
1136   | 851.76         
1137   | 847.92         
1138   | 849.17         
1139   | 847.20         
1140   | 846.57         
1141   | 851.12         
1142   | 847.44         
1143   | 846.93         
1144   | 848.72         
1145   | 848.61         
1146   | 846.61         
1147   | 848.39         
1148   | 847.74         
1149   | 850.39         
1150   | 850.13         
1151   | 847.25         
1152   | 852.99         
1153   | 847.45         
1154   | 853.59         
1155   | 850.02         
1156   | 852.47         
1157   | 850.48         
1158   | 852.57         
1159   | 850.23         
1160   | 849.65         
1161   | 850.31         
1162   | 851.53         
1163   | 848.76         
1164   | 847.13         
1165   | 851.51         
1166   | 852.78         
1167   | 849.72         
1168   | 853.27         
1169   | 851.08         
1170   | 849.64         
1171   | 848.94         
1172   | 851.94         
1173   | 850.36         
1174   | 847.37         
1175   | 853.20         
1176   | 853.38         
1177   | 852.70         
1178   | 852.61         
1179   | 852.77         
1180   | 847.61         
1181   | 848.28         
1182   | 847.70         
1183   | 848.99         
1184   | 851.73         
1185   | 852.43         
1186   | 847.86         
1187   | 847.61         
1188   | 846.76         
1189   | 847.31         
1190   | 850.44         
1191   | 853.50         
1192   | 851.93         
1193   | 852.18         
1194   | 852.54         
1195   | 847.82         
1196   | 846.97         
1197   | 850.55         
1198   | 847.35         
1199   | 850.93         
1200   | 847.50         
1201   | 848.04         
1202   | 850.60         
1203   | 847.97         
1204   | 851.29         
1205   | 850.28         
1206   | 849.99         
1207   | 850.74         
1208   | 847.56         
1209   | 847.83         
1210   | 846.50         
1211   | 846.53         
1212   | 853.10         
1213   | 846.40         
1214   | 849.62         
1215   | 848.59         
1216   | 849.98         
1217   | 846.85         
1218   | 849.53         
1219   | 848.03         
1220   | 852.44         
1221   | 849.36         
1222   | 847.10         
1223   | 848.76         
1224   | 850.09         
1225   | 852.73         
1226   | 850.76         
1227   | 852.28         
1228   | 853.47         
1229   | 852.80         
1230   | 851.63         
1231   | 846.64         
1232   | 847.62         
1233   | 848.16         
1234   | 848.97         
1235   | 847.31         
1236   | 849.97         
1237   | 848.63         
1238   | 851.37         
1239   | 850.09         
1240   | 851.37         
1241   | 848.79         
1242   | 849.88         
1243   | 853.22         
1244   | 849.58         
1245   | 853.15         
1246   | 848.98         
1247   | 846.45         
1248   | 853.07         
1249   | 848.46         
1250   | 847.27         
1251   | 852.34         
1252   | 848.11         
1253   | 852.28         
1254   | 848.14         
1255   | 851.76         
1256   | 851.57         
1257   | 851.03         
1258   | 851.14         
1259   | 853.05         
1260   | 850.85         
1261   | 452.35         
1262   | 447.28         
1263   | 449.52         
1264   | 453.31         
1265   | 452.37         
1266   | 450.50         
1267   | 453.12         
1268   | 447.05         
1269   | 450.37         
1270   | 451.93         
1271   | 451.72         
1272   | 450.65         
1273   | 451.22         
1274   | 451.30         
1275   | 450.52         
1276   | 447.95         
1277   | 447.40         
1278   | 453.25         
1279   | 451.89         
1280   | 451.09         
1281   | 448.37         
1282   | 447.55         
1283   | 453.18         
1284   | 446.90         
1285   | 453.10         
1286   | 451.70         
1287   | 447.62         
1288   | 449.72         
1289   | 446.97         
1290   | 448.08         
1291   | 449.94         
1292   | 450.20         
1293   | 447.53         
1294   | 452.97         
1295   | 451.79         
1296   | 446.70         
1297   | 451.44         
1298   | 452.32         
1299   | 450.55         
1300   | 449.83         
1301   | 448.92         
1302   | 448.14         
1303   | 451.90         
1304   | 452.63         
1305   | 450.36         
1306   | 451.98         
1307   | 449.70         
1308   | 449.87         
1309   | 448.61         
1310   | 448.25         
1311   | 449.92         
1312   | 450.24         
1313   | 447.27         
1314   | 449.89         
1315   | 446.82         
1316   | 446.87         
1317   | 446.80         
1318   | 449.89         
1319   | 450.52         
1320   | 449.84         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
