Minute | Consumption (W) - SCENARIO: Grandchildren Visit
725    | 730.09         
726    | 732.19         
727    | 728.62         
728    | 732.08         
729    | 728.86         
730    | 727.56         
731    | 1731.01        
732    | 1733.33        
733    | 1728.52        
734    | 1730.98        
735    | 1733.11        
736    | 1729.01        
737    | 1726.86        
738    | 1730.58        
739    | 1728.83        
740    | 1730.38        
741    | 733.06         
742    | 732.99         
743    | 729.44         
744    | 733.58         
745    | 730.47         
746    | 727.64         
747    | 730.66         
748    | 727.41         
749    | 729.23         
750    | 730.73         
751    | 731.31         
752    | 732.10         
753    | 728.02         
754    | 729.44         
755    | 727.63         
756    | 727.61         
757    | 728.99         
758    | 727.86         
759    | 728.22         
760    | 730.75         
761    | 729.01         
762    | 731.52         
763    | 728.42         
764    | 729.42         
765    | 729.03         
766    | 732.71         
767    | 730.71         
768    | 727.89         
769    | 726.77         
770    | 726.44         
771    | 732.65         
772    | 730.17         
773    | 727.40         
774    | 732.14         
775    | 732.59         
776    | 731.50         
777    | 731.67         
778    | 729.63         
779    | 732.67         
780    | 732.09         
781    | 697.70         
782    | 703.19         
783    | 700.47         
784    | 701.11         
785    | 702.08         
786    | 698.02         
787    | 701.79         
788    | 700.98         
789    | 698.44         
790    | 698.02         
791    | 701.14         
792    | 703.04         
793    | 700.96         
794    | 697.07         
795    | 702.01         
796    | 702.61         
797    | 698.66         
798    | 698.63         
799    | 702.33         
800    | 699.36         
801    | 698.11         
802    | 697.18         
803    | 700.77         
804    | 700.53         
805    | 697.56         
806    | 701.94         
807    | 700.32         
808    | 702.02         
809    | 696.86         
810    | 703.27         
811    | 697.49         
812    | 699.70         
813    | 699.10         
814    | 702.89         
815    | 696.97         
816    | 700.96         
817    | 699.68         
818    | 700.22         
819    | 702.57         
820    | 698.97         
821    | 699.44         
822    | 702.12         
823    | 697.06         
824    | 702.44         
825    | 703.24         
826    | 701.22         
827    | 702.65         
828    | 699.08         
829    | 698.88         
830    | 703.32         
831    | 700.69         
832    | 698.47         
833    | 696.55         
834    | 699.56         
835    | 699.87         
836    | 701.69         
837    | 699.72         
838    | 698.22         
839    | 701.89         
840    | 701.53         
841    | 3468.29        
842    | 3472.34        
843    | 3466.70        
844    | 3472.13        
845    | 3473.01        
846    | 3468.76        
847    | 3467.87        
848    | 3467.73        
849    | 3469.06        
850    | 3466.90        
851    | 3469.46        
852    | 3472.17        
853    | 3467.09        
854    | 3466.84        
855    | 3469.06        
856    | 3471.15        
857    | 3468.80        
858    | 3470.00        
859    | 3470.48        
860    | 3472.34        
861    | 3472.55        
862    | 3468.74        
863    | 3472.84        
864    | 3470.73        
865    | 3473.08        
866    | 3473.40        
867    | 3470.98        
868    | 3471.89        
869    | 3469.67        
870    | 3471.99        
871    | 3471.85        
872    | 3468.04        
873    | 3469.36        
874    | 3469.87        
875    | 3468.51        
876    | 3472.34        
877    | 3467.77        
878    | 3466.66        
879    | 3470.13        
880    | 3471.30        
881    | 3468.60        
882    | 3472.23        
883    | 3467.39        
884    | 3468.48        
885    | 3470.11        
886    | 3468.01        
887    | 3471.19        
888    | 3471.19        
889    | 3468.61        
890    | 3472.23        
891    | 3468.43        
892    | 3470.88        
893    | 3473.56        
894    | 3472.88        
895    | 3469.75        
896    | 3468.41        
897    | 3471.05        
898    | 3473.19        
899    | 3471.01        
900    | 3467.87        
901    | 3467.06        
902    | 3468.18        
903    | 3469.16        
904    | 3470.60        
905    | 3467.21        
906    | 3473.51        
907    | 3468.52        
908    | 3472.61        
909    | 3466.48        
910    | 3469.17        
911    | 3472.92        
912    | 3466.78        
913    | 3472.91        
914    | 3466.96        
915    | 3469.69        
916    | 3471.31        
917    | 3469.44        
918    | 3473.55        
919    | 3471.83        
920    | 3473.21        
921    | 3468.13        
922    | 3466.94        
923    | 3471.99        
924    | 3466.66        
925    | 3467.49        
926    | 3473.18        
927    | 3470.84        
928    | 3466.74        
929    | 3470.61        
930    | 3472.37        
931    | 3471.62        
932    | 3470.99        
933    | 3469.22        
934    | 3471.16        
935    | 3466.92        
936    | 3472.90        
937    | 3470.01        
938    | 3468.44        
939    | 3470.87        
940    | 3467.94        
941    | 3467.45        
942    | 3469.66        
943    | 3470.78        
944    | 3469.43        
945    | 3471.97        
946    | 3472.26        
947    | 3468.56        
948    | 3472.31        
949    | 3470.34        
950    | 3473.02        
951    | 3470.66        
952    | 3470.69        
953    | 3473.58        
954    | 3467.77        
955    | 3470.56        
956    | 3466.58        
957    | 3471.19        
958    | 3470.08        
959    | 3472.04        
960    | 3469.13        
961    | 967.44         
962    | 972.69         
963    | 969.57         
964    | 968.21         
965    | 966.69         
966    | 971.54         
967    | 969.51         
968    | 967.88         
969    | 967.91         
970    | 970.06         
971    | 970.90         
972    | 970.66         
973    | 971.88         
974    | 966.57         
975    | 971.50         
976    | 969.66         
977    | 972.26         
978    | 969.99         
979    | 966.85         
980    | 971.92         
981    | 971.68         
982    | 973.36         
983    | 970.89         
984    | 970.47         
985    | 967.42         
986    | 972.75         
987    | 968.81         
988    | 969.28         
989    | 968.13         
990    | 969.72         
991    | 967.45         
992    | 972.52         
993    | 967.60         
994    | 967.19         
995    | 973.39         
996    | 973.37         
997    | 968.12         
998    | 968.44         
999    | 972.48         
1000   | 972.92         
1001   | 969.84         
1002   | 973.35         
1003   | 966.48         
1004   | 973.49         
1005   | 973.32         
1006   | 967.95         
1007   | 969.65         
1008   | 973.15         
1009   | 970.71         
1010   | 970.62         
1011   | 973.33         
1012   | 968.53         
1013   | 973.33         
1014   | 971.88         
1015   | 971.93         
1016   | 969.13         
1017   | 967.41         
1018   | 971.47         
1019   | 970.14         
1020   | 968.27         
1021   | 1121.06        
1022   | 1122.31        
1023   | 1118.34        
1024   | 1121.25        
1025   | 1120.88        
1026   | 1119.89        
1027   | 1116.43        
1028   | 1118.42        
1029   | 1122.39        
1030   | 1122.57        
1031   | 1119.12        
1032   | 1123.34        
1033   | 1121.15        
1034   | 1118.28        
1035   | 1120.13        
1036   | 1121.75        
1037   | 1119.60        
1038   | 1117.72        
1039   | 1116.57        
1040   | 1117.40        
1041   | 1122.87        
1042   | 1117.38        
1043   | 1116.88        
1044   | 1122.16        
1045   | 1118.89        
1046   | 1116.52        
1047   | 1121.49        
1048   | 1119.76        
1049   | 1119.05        
1050   | 1117.98        
1051   | 1116.43        
1052   | 1117.11        
1053   | 1122.03        
1054   | 1119.03        
1055   | 1118.31        
1056   | 1116.82        
1057   | 1120.96        
1058   | 1117.76        
1059   | 1119.46        
1060   | 1120.61        
1061   | 1119.91        
1062   | 1117.47        
1063   | 1117.69        
1064   | 1120.35        
1065   | 1122.20        
1066   | 1123.55        
1067   | 1118.63        
1068   | 1122.27        
1069   | 1120.40        
1070   | 1118.38        
1071   | 1121.36        
1072   | 1118.81        
1073   | 1119.96        
1074   | 1118.72        
1075   | 1121.45        
1076   | 1121.90        
1077   | 1117.54        
1078   | 1119.37        
1079   | 1122.96        
1080   | 1119.52        
1081   | 853.01         
1082   | 852.09         
1083   | 851.80         
1084   | 851.83         
1085   | 851.89         
1086   | 847.43         
1087   | 850.43         
1088   | 850.92         
1089   | 847.12         
1090   | 849.68         
1091   | 849.05         
1092   | 851.65         
1093   | 852.87         
1094   | 848.64         
1095   | 852.01         
1096   | 851.48         
1097   | 847.08         
1098   | 852.03         
1099   | 853.42         
1100   | 849.51         
1101   | 847.27         
1102   | 851.92         
1103   | 851.64         
1104   | 849.16         
1105   | 852.08         
1106   | 847.41         
1107   | 847.13         
1108   | 852.97         
1109   | 847.81         
1110   | 850.89         
1111   | 850.21         
1112   | 850.06         
1113   | 848.16         
1114   | 847.72         
1115   | 848.28         
1116   | 850.14         
1117   | 852.45         
1118   | 853.04         
1119   | 847.84         
1120   | 850.42         
1121   | 851.53         
1122   | 853.18         
1123   | 852.90         
1124   | 846.90         
1125   | 849.94         
1126   | 851.50         
1127   | 847.94         
1128   | 848.38         
1129   | 848.98         
1130   | 846.52         
1131   | 851.37         
1132   | 852.14         
1133   | 853.49         
1134   | 851.12         
1135   | 848.78         
1136   | 848.58         
1137   | 846.99         
1138   | 848.65         
1139   | 850.98         
1140   | 848.22         
1141   | 853.35         
1142   | 850.72         
1143   | 847.07         
1144   | 847.51         
1145   | 849.18         
1146   | 847.82         
1147   | 852.57         
1148   | 849.04         
1149   | 847.18         
1150   | 850.72         
1151   | 851.08         
1152   | 848.80         
1153   | 846.43         
1154   | 852.45         
1155   | 848.57         
1156   | 850.19         
1157   | 847.91         
1158   | 850.27         
1159   | 851.11         
1160   | 849.87         
1161   | 851.62         
1162   | 848.39         
1163   | 847.09         
1164   | 849.66         
1165   | 850.71         
1166   | 848.41         
1167   | 849.31         
1168   | 851.03         
1169   | 850.73         
1170   | 850.30         
1171   | 851.13         
1172   | 849.05         
1173   | 849.55         
1174   | 846.66         
1175   | 851.78         
1176   | 852.75         
1177   | 848.54         
1178   | 847.07         
1179   | 847.90         
1180   | 846.70         
1181   | 850.11         
1182   | 849.23         
1183   | 850.07         
1184   | 847.01         
1185   | 849.68         
1186   | 853.46         
1187   | 850.23         
1188   | 848.86         
1189   | 850.31         
1190   | 849.42         
1191   | 851.58         
1192   | 849.62         
1193   | 847.96         
1194   | 850.26         
1195   | 850.41         
1196   | 851.12         
1197   | 848.74         
1198   | 851.10         
1199   | 851.52         
1200   | 847.43         
1201   | 848.69         
1202   | 850.80         
1203   | 850.82         
1204   | 851.94         
1205   | 849.72         
1206   | 848.33         
1207   | 853.43         
1208   | 851.00         
1209   | 848.97         
1210   | 852.42         
1211   | 846.77         
1212   | 848.36         
1213   | 848.14         
1214   | 850.10         
1215   | 847.43         
1216   | 847.86         
1217   | 850.07         
1218   | 852.14         
1219   | 850.95         
1220   | 846.76         
1221   | 848.23         
1222   | 847.32         
1223   | 849.80         
1224   | 847.60         
1225   | 850.80         
1226   | 851.87         
1227   | 851.26         
1228   | 852.55         
1229   | 852.51         
1230   | 847.95         
1231   | 850.29         
1232   | 848.32         
1233   | 852.80         
1234   | 848.90         
1235   | 848.78         
1236   | 850.91         
1237   | 846.97         
1238   | 852.44         
1239   | 847.87         
1240   | 853.50         
1241   | 849.50         
1242   | 847.99         
1243   | 851.97         
1244   | 852.00         
1245   | 849.45         
1246   | 848.96         
1247   | 851.77         
1248   | 849.51         
1249   | 846.70         
1250   | 852.44         
1251   | 850.51         
1252   | 851.93         
1253   | 849.55         
1254   | 849.92         
1255   | 846.50         
1256   | 852.82         
1257   | 850.38         
1258   | 852.02         
1259   | 848.82         
1260   | 853.19         
1261   | 447.40         
1262   | 452.58         
1263   | 452.39         
1264   | 446.65         
1265   | 449.36         
1266   | 446.63         
1267   | 449.15         
1268   | 448.22         
1269   | 452.86         
1270   | 452.07         
1271   | 452.81         
1272   | 448.16         
1273   | 450.93         
1274   | 452.77         
1275   | 449.20         
1276   | 451.55         
1277   | 452.37         
1278   | 449.40         
1279   | 450.02         
1280   | 452.68         
1281   | 452.58         
1282   | 448.48         
1283   | 451.86         
1284   | 449.94         
1285   | 448.83         
1286   | 450.69         
1287   | 447.89         
1288   | 453.24         
1289   | 450.23         
1290   | 453.42         
1291   | 449.05         
1292   | 447.41         
1293   | 451.03         
1294   | 452.64         
1295   | 453.31         
1296   | 449.41         
1297   | 452.99         
1298   | 452.09         
1299   | 450.36         
1300   | 449.00         
1301   | 447.20         
1302   | 450.70         
1303   | 450.43         
1304   | 451.29         
1305   | 452.35         
1306   | 448.17         
1307   | 446.60         
1308   | 451.55         
1309   | 449.15         
1310   | 450.78         
1311   | 450.92         
1312   | 449.61         
1313   | 448.17         
1314   | 450.62         
1315   | 449.09         
1316   | 452.51         
1317   | 451.91         
1318   | 453.38         
1319   | 451.89         
1320   | 450.91         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
