Minute | Consumption (W) - SCENARIO: Routine + Laundry
719    | 578.90         
720    | 577.89         
721    | 731.56         
722    | 731.76         
723    | 733.52         
724    | 732.52         
725    | 731.61         
726    | 732.48         
727    | 731.37         
728    | 728.64         
729    | 726.43         
730    | 733.56         
731    | 1728.45        
732    | 1728.54        
733    | 1730.56        
734    | 1731.34        
735    | 1726.56        
736    | 1729.70        
737    | 1727.77        
738    | 1730.92        
739    | 1731.68        
740    | 1729.54        
741    | 727.34         
742    | 730.19         
743    | 731.75         
744    | 731.55         
745    | 731.89         
746    | 726.95         
747    | 730.64         
748    | 732.52         
749    | 732.18         
750    | 730.80         
751    | 730.42         
752    | 732.33         
753    | 729.95         
754    | 726.55         
755    | 730.59         
756    | 731.38         
757    | 726.92         
758    | 730.52         
759    | 729.00         
760    | 727.24         
761    | 730.27         
762    | 730.56         
763    | 732.02         
764    | 729.89         
765    | 731.76         
766    | 727.86         
767    | 727.88         
768    | 728.41         
769    | 727.93         
770    | 730.74         
771    | 726.43         
772    | 733.07         
773    | 733.57         
774    | 732.44         
775    | 728.42         
776    | 729.78         
777    | 730.96         
778    | 731.28         
779    | 730.03         
780    | 730.06         
781    | 700.14         
782    | 703.39         
783    | 701.57         
784    | 703.43         
785    | 698.76         
786    | 697.65         
787    | 702.45         
788    | 701.07         
789    | 698.28         
790    | 703.03         
791    | 698.62         
792    | 700.57         
793    | 702.11         
794    | 700.37         
795    | 700.69         
796    | 699.45         
797    | 697.49         
798    | 697.15         
799    | 701.01         
800    | 696.42         
801    | 702.61         
802    | 698.32         
803    | 696.83         
804    | 696.58         
805    | 699.38         
806    | 701.90         
807    | 697.20         
808    | 697.63         
809    | 698.77         
810    | 699.73         
811    | 697.77         
812    | 696.51         
813    | 696.43         
814    | 703.31         
815    | 699.86         
816    | 697.28         
817    | 700.50         
818    | 697.47         
819    | 696.40         
820    | 699.75         
821    | 699.08         
822    | 697.62         
823    | 698.90         
824    | 700.03         
825    | 697.06         
826    | 702.36         
827    | 699.03         
828    | 697.44         
829    | 696.45         
830    | 703.44         
831    | 702.43         
832    | 697.72         
833    | 698.66         
834    | 701.57         
835    | 696.60         
836    | 700.64         
837    | 700.69         
838    | 702.66         
839    | 697.38         
840    | 703.27         
841    | 702.10         
842    | 696.93         
843    | 699.95         
844    | 699.51         
845    | 696.85         
846    | 699.27         
847    | 702.76         
848    | 702.51         
849    | 696.58         
850    | 701.32         
851    | 698.23         
852    | 701.58         
853    | 699.64         
854    | 702.73         
855    | 702.06         
856    | 703.40         
857    | 698.54         
858    | 700.12         
859    | 699.83         
860    | 696.55         
861    | 696.43         
862    | 700.69         
863    | 697.00         
864    | 697.12         
865    | 698.89         
866    | 702.35         
867    | 700.37         
868    | 699.30         
869    | 702.43         
870    | 700.04         
871    | 700.88         
872    | 697.61         
873    | 699.38         
874    | 697.69         
875    | 702.84         
876    | 698.55         
877    | 699.87         
878    | 697.55         
879    | 696.85         
880    | 703.45         
881    | 700.44         
882    | 702.49         
883    | 698.86         
884    | 703.09         
885    | 697.66         
886    | 697.57         
887    | 702.41         
888    | 701.89         
889    | 696.77         
890    | 700.77         
891    | 701.99         
892    | 698.03         
893    | 702.10         
894    | 702.81         
895    | 698.04         
896    | 698.77         
897    | 702.09         
898    | 702.41         
899    | 700.99         
900    | 697.98         
901    | 697.73         
902    | 698.75         
903    | 699.67         
904    | 699.76         
905    | 701.39         
906    | 697.17         
907    | 700.90         
908    | 702.13         
909    | 698.50         
910    | 700.02         
911    | 701.21         
912    | 700.51         
913    | 698.30         
914    | 700.67         
915    | 701.09         
916    | 697.58         
917    | 703.03         
918    | 702.84         
919    | 699.92         
920    | 702.64         
921    | 696.96         
922    | 699.44         
923    | 698.32         
924    | 702.52         
925    | 696.59         
926    | 703.46         
927    | 697.72         
928    | 697.29         
929    | 699.84         
930    | 702.89         
931    | 697.28         
932    | 701.11         
933    | 700.02         
934    | 696.91         
935    | 701.34         
936    | 696.61         
937    | 701.02         
938    | 697.63         
939    | 701.88         
940    | 701.24         
941    | 700.59         
942    | 697.99         
943    | 702.87         
944    | 700.67         
945    | 701.94         
946    | 703.34         
947    | 697.33         
948    | 696.85         
949    | 700.90         
950    | 700.15         
951    | 702.11         
952    | 696.59         
953    | 698.39         
954    | 701.00         
955    | 702.95         
956    | 698.03         
957    | 699.76         
958    | 697.24         
959    | 696.44         
960    | 700.08         
961    | 702.51         
962    | 701.70         
963    | 701.87         
964    | 700.81         
965    | 703.27         
966    | 701.24         
967    | 700.24         
968    | 702.17         
969    | 702.30         
970    | 701.85         
971    | 701.86         
972    | 697.75         
973    | 702.32         
974    | 703.55         
975    | 699.56         
976    | 699.45         
977    | 701.46         
978    | 697.58         
979    | 701.67         
980    | 702.30         
981    | 699.85         
982    | 696.89         
983    | 701.74         
984    | 697.72         
985    | 700.43         
986    | 696.56         
987    | 698.31         
988    | 701.53         
989    | 700.95         
990    | 700.46         
991    | 702.82         
992    | 697.86         
993    | 701.07         
994    | 702.00         
995    | 697.16         
996    | 702.03         
997    | 697.52         
998    | 699.09         
999    | 700.76         
1000   | 697.88         
1001   | 703.20         
1002   | 703.43         
1003   | 702.17         
1004   | 702.22         
1005   | 702.66         
1006   | 696.84         
1007   | 697.23         
1008   | 699.13         
1009   | 697.91         
1010   | 700.95         
1011   | 698.05         
1012   | 703.26         
1013   | 696.95         
1014   | 703.57         
1015   | 700.22         
1016   | 701.29         
1017   | 702.53         
1018   | 697.79         
1019   | 702.57         
1020   | 701.50         
1021   | 846.51         
1022   | 851.34         
1023   | 847.27         
1024   | 852.46         
1025   | 852.75         
1026   | 849.27         
1027   | 849.80         
1028   | 846.44         
1029   | 848.42         
1030   | 848.61         
1031   | 852.68         
1032   | 850.17         
1033   | 851.72         
1034   | 850.60         
1035   | 850.06         
1036   | 852.65         
1037   | 849.12         
1038   | 848.95         
1039   | 846.89         
1040   | 849.66         
1041   | 848.46         
1042   | 852.20         
1043   | 850.46         
1044   | 852.67         
1045   | 852.14         
1046   | 846.87         
1047   | 852.92         
1048   | 852.33         
1049   | 853.37         
1050   | 853.11         
1051   | 851.46         
1052   | 850.58         
1053   | 848.60         
1054   | 850.37         
1055   | 851.34         
1056   | 847.65         
1057   | 852.86         
1058   | 849.01         
1059   | 847.29         
1060   | 852.47         
1061   | 846.53         
1062   | 848.57         
1063   | 849.23         
1064   | 850.73         
1065   | 852.53         
1066   | 851.74         
1067   | 850.48         
1068   | 852.75         
1069   | 847.94         
1070   | 850.39         
1071   | 852.60         
1072   | 851.63         
1073   | 853.05         
1074   | 846.55         
1075   | 850.34         
1076   | 851.97         
1077   | 852.95         
1078   | 846.59         
1079   | 852.29         
1080   | 852.09         
1081   | 846.47         
1082   | 851.27         
1083   | 848.67         
1084   | 848.34         
1085   | 846.72         
1086   | 850.73         
1087   | 852.19         
1088   | 853.36         
1089   | 851.36         
1090   | 853.47         
1091   | 851.87         
1092   | 846.42         
1093   | 850.60         
1094   | 849.30         
1095   | 850.01         
1096   | 852.94         
1097   | 851.02         
1098   | 851.86         
1099   | 848.81         
1100   | 848.58         
1101   | 850.55         
1102   | 846.65         
1103   | 847.36         
1104   | 852.24         
1105   | 849.07         
1106   | 848.46         
1107   | 847.83         
1108   | 853.32         
1109   | 849.14         
1110   | 847.60         
1111   | 847.64         
1112   | 850.44         
1113   | 851.29         
1114   | 848.57         
1115   | 851.53         
1116   | 847.61         
1117   | 853.48         
1118   | 853.40         
1119   | 852.87         
1120   | 848.36         
1121   | 848.47         
1122   | 850.27         
1123   | 850.60         
1124   | 847.33         
1125   | 849.43         
1126   | 846.81         
1127   | 852.09         
1128   | 848.71         
1129   | 847.60         
1130   | 851.06         
1131   | 851.93         
1132   | 851.76         
1133   | 849.52         
1134   | 847.89         
1135   | 850.25         
1136   | 849.05         
1137   | 849.80         
1138   | 849.98         
1139   | 846.98         
1140   | 852.19         
1141   | 851.00         
1142   | 848.34         
1143   | 848.39         
1144   | 851.26         
1145   | 850.49         
1146   | 847.69         
1147   | 853.01         
1148   | 849.25         
1149   | 847.98         
1150   | 849.20         
1151   | 851.51         
1152   | 847.28         
1153   | 850.29         
1154   | 847.67         
1155   | 849.39         
1156   | 853.21         
1157   | 848.45         
1158   | 853.02         
1159   | 849.94         
1160   | 849.09         
1161   | 852.44         
1162   | 851.87         
1163   | 848.60         
1164   | 848.11         
1165   | 852.49         
1166   | 849.78         
1167   | 850.97         
1168   | 849.80         
1169   | 849.78         
1170   | 851.60         
1171   | 853.31         
1172   | 846.90         
1173   | 847.36         
1174   | 849.77         
1175   | 846.85         
1176   | 852.62         
1177   | 849.00         
1178   | 847.12         
1179   | 847.76         
1180   | 848.41         
1181   | 849.09         
1182   | 852.90         
1183   | 850.62         
1184   | 851.84         
1185   | 846.99         
1186   | 853.19         
1187   | 847.31         
1188   | 847.28         
1189   | 848.34         
1190   | 847.42         
1191   | 849.38         
1192   | 850.62         
1193   | 849.01         
1194   | 850.87         
1195   | 849.62         
1196   | 849.90         
1197   | 847.56         
1198   | 850.21         
1199   | 846.97         
1200   | 852.12         
1201   | 847.15         
1202   | 849.86         
1203   | 849.71         
1204   | 849.31         
1205   | 851.82         
1206   | 852.55         
1207   | 848.71         
1208   | 849.32         
1209   | 851.55         
1210   | 849.20         
1211   | 848.25         
1212   | 848.77         
1213   | 852.30         
1214   | 851.52         
1215   | 848.19         
1216   | 853.48         
1217   | 849.40         
1218   | 849.07         
1219   | 848.40         
1220   | 850.78         
1221   | 847.38         
1222   | 847.46         
1223   | 850.79         
1224   | 847.02         
1225   | 851.27         
1226   | 849.86         
1227   | 848.96         
1228   | 850.90         
1229   | 850.61         
1230   | 847.39         
1231   | 850.52         
1232   | 846.68         
1233   | 847.48         
1234   | 848.98         
1235   | 848.32         
1236   | 850.81         
1237   | 850.40         
1238   | 847.71         
1239   | 853.18         
1240   | 853.08         
1241   | 850.43         
1242   | 851.00         
1243   | 846.94         
1244   | 847.85         
1245   | 853.14         
1246   | 851.92         
1247   | 849.38         
1248   | 849.31         
1249   | 848.41         
1250   | 852.84         
1251   | 852.90         
1252   | 851.94         
1253   | 850.16         
1254   | 847.39         
1255   | 847.69         
1256   | 852.48         
1257   | 852.44         
1258   | 852.19         
1259   | 847.46         
1260   | 847.31         
1261   | 446.66         
1262   | 449.78         
1263   | 449.83         
1264   | 450.76         
1265   | 450.20         
1266   | 448.13         
1267   | 450.08         
1268   | 448.44         
1269   | 452.13         
1270   | 446.99         
1271   | 449.68         
1272   | 451.36         
1273   | 448.10         
1274   | 449.73         
1275   | 446.53         
1276   | 449.78         
1277   | 450.25         
1278   | 451.46         
1279   | 447.80         
1280   | 449.08         
1281   | 447.97         
1282   | 452.50         
1283   | 453.21         
1284   | 453.10         
1285   | 448.32         
1286   | 448.77         
1287   | 450.30         
1288   | 449.97         
1289   | 452.17         
1290   | 452.93         
1291   | 447.23         
1292   | 452.19         
1293   | 447.97         
1294   | 451.74         
1295   | 447.50         
1296   | 451.16         
1297   | 448.54         
1298   | 450.01         
1299   | 450.14         
1300   | 452.37         
1301   | 450.03         
1302   | 448.35         
1303   | 452.20         
1304   | 452.01         
1305   | 452.97         
1306   | 449.06         
1307   | 449.47         
1308   | 453.02         
1309   | 451.00         
1310   | 446.96         
1311   | 448.81         
1312   | 450.62         
1313   | 446.72         
1314   | 447.93         
1315   | 449.58         
1316   | 449.23         
1317   | 452.71         
1318   | 448.76         
1319   | 448.62         
1320   | 446.67         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
