Minute | Consumption (W) - SCENARIO: Social Day
725    | 2728.88        
726    | 2726.62        
727    | 2732.81        
728    | 2727.67        
729    | 2728.09        
730    | 2728.26        
731    | 3732.27        
732    | 3731.09        
733    | 3732.90        
734    | 3729.11        
735    | 3732.91        
736    | 3728.14        
737    | 3733.48        
738    | 3727.35        
739    | 3727.84        
740    | 3728.53        
741    | 2727.65        
742    | 2733.01        
743    | 2731.37        
744    | 2726.98        
745    | 2728.57        
746    | 2730.28        
747    | 2733.08        
748    | 2732.57        
749    | 2733.19        
750    | 2728.78        
751    | 2731.57        
752    | 2726.49        
753    | 2727.74        
754    | 2728.98        
755    | 2727.75        
756    | 2733.37        
757    | 2732.66        
758    | 2729.77        
759    | 2730.66        
760    | 2727.06        
761    | 2728.21        
762    | 2728.33        
763    | 2728.95        
764    | 2730.83        
765    | 2726.74        
766    | 2729.62        
767    | 2733.37        
768    | 2732.84        
769    | 2731.00        
770    | 2727.95        
771    | 2731.56        
772    | 2730.48        
773    | 2731.56        
774    | 2731.54        
775    | 2728.18        
776    | 2732.89        
777    | 2730.50        
778    | 2728.31        
779    | 2726.74        
780    | 2729.80        
781    | 698.38         
782    | 702.75         
783    | 697.33         
784    | 698.28         
785    | 696.40         
786    | 703.01         
787    | 699.37         
788    | 701.64         
789    | 703.31         
790    | 699.13         
791    | 701.92         
792    | 697.36         
793    | 700.64         
794    | 700.70         
795    | 700.95         
796    | 700.69         
797    | 698.17         
798    | 698.84         
799    | 702.54         
800    | 697.61         
801    | 701.78         
802    | 698.71         
803    | 702.77         
804    | 697.29         
805    | 697.73         
806    | 699.47         
807    | 696.72         
808    | 697.47         
809    | 699.02         
810    | 699.81         
811    | 701.66         
812    | 699.13         
813    | 703.01         
814    | 701.66         
815    | 698.59         
816    | 702.32         
817    | 698.89         
818    | 703.48         
819    | 702.55         
820    | 701.39         
821    | 702.74         
822    | 702.97         
823    | 697.52         
824    | 697.34         
825    | 697.39         
826    | 702.87         
827    | 703.51         
828    | 697.28         
829    | 698.38         
830    | 703.05         
831    | 697.44         
832    | 699.28         
833    | 698.94         
834    | 696.92         
835    | 703.58         
836    | 702.78         
837    | 699.62         
838    | 703.45         
839    | 699.69         
840    | 702.48         
841    | 701.45         
842    | 698.30         
843    | 701.09         
844    | 702.24         
845    | 697.20         
846    | 699.49         
847    | 697.82         
848    | 698.73         
849    | 697.67         
850    | 698.43         
851    | 700.99         
852    | 701.74         
853    | 701.44         
854    | 702.84         
855    | 698.51         
856    | 700.19         
857    | 697.78         
858    | 700.23         
859    | 701.60         
860    | 703.26         
861    | 702.22         
862    | 699.35         
863    | 697.15         
864    | 696.92         
865    | 699.66         
866    | 702.25         
867    | 698.16         
868    | 701.66         
869    | 702.15         
870    | 697.39         
871    | 700.92         
872    | 696.54         
873    | 699.90         
874    | 697.36         
875    | 703.35         
876    | 701.08         
877    | 698.47         
878    | 699.94         
879    | 696.60         
880    | 702.58         
881    | 698.89         
882    | 697.25         
883    | 702.55         
884    | 696.86         
885    | 696.44         
886    | 697.92         
887    | 699.62         
888    | 698.68         
889    | 702.22         
890    | 700.29         
891    | 703.48         
892    | 701.07         
893    | 699.75         
894    | 696.84         
895    | 700.83         
896    | 698.08         
897    | 700.49         
898    | 698.31         
899    | 698.29         
900    | 696.57         
901    | 697.58         
902    | 702.92         
903    | 701.42         
904    | 698.97         
905    | 697.08         
906    | 701.50         
907    | 703.52         
908    | 697.89         
909    | 697.02         
910    | 703.05         
911    | 702.96         
912    | 700.41         
913    | 696.59         
914    | 699.28         
915    | 699.88         
916    | 703.29         
917    | 698.33         
918    | 703.17         
919    | 699.87         
920    | 702.97         
921    | 702.37         
922    | 699.97         
923    | 698.75         
924    | 696.77         
925    | 701.23         
926    | 702.87         
927    | 698.91         
928    | 703.24         
929    | 698.91         
930    | 697.31         
931    | 702.07         
932    | 698.86         
933    | 699.74         
934    | 699.47         
935    | 701.71         
936    | 696.52         
937    | 702.90         
938    | 701.35         
939    | 698.92         
940    | 698.52         
941    | 701.18         
942    | 699.92         
943    | 701.11         
944    | 698.35         
945    | 697.07         
946    | 698.30         
947    | 701.61         
948    | 697.91         
949    | 703.44         
950    | 700.89         
951    | 701.98         
952    | 697.55         
953    | 700.81         
954    | 698.37         
955    | 700.34         
956    | 697.39         
957    | 703.20         
958    | 697.78         
959    | 703.08         
960    | 702.69         
961    | 701.37         
962    | 700.21         
963    | 699.82         
964    | 702.91         
965    | 702.93         
966    | 700.33         
967    | 696.60         
968    | 700.58         
969    | 701.25         
970    | 699.49         
971    | 696.57         
972    | 698.45         
973    | 700.30         
974    | 699.81         
975    | 701.28         
976    | 703.54         
977    | 699.58         
978    | 703.04         
979    | 697.22         
980    | 697.47         
981    | 702.26         
982    | 696.95         
983    | 701.93         
984    | 702.16         
985    | 702.17         
986    | 698.22         
987    | 700.66         
988    | 698.71         
989    | 703.24         
990    | 699.47         
991    | 696.41         
992    | 699.58         
993    | 699.08         
994    | 696.65         
995    | 700.40         
996    | 701.41         
997    | 702.85         
998    | 701.32         
999    | 697.58         
1000   | 703.56         
1001   | 697.48         
1002   | 699.44         
1003   | 699.55         
1004   | 700.45         
1005   | 696.99         
1006   | 698.84         
1007   | 703.25         
1008   | 698.54         
1009   | 697.14         
1010   | 699.51         
1011   | 698.07         
1012   | 701.80         
1013   | 696.44         
1014   | 701.49         
1015   | 698.81         
1016   | 703.49         
1017   | 703.26         
1018   | 697.54         
1019   | 699.15         
1020   | 701.87         
1021   | 2248.34        
1022   | 2251.08        
1023   | 2248.34        
1024   | 2250.89        
1025   | 2250.66        
1026   | 2252.00        
1027   | 2246.55        
1028   | 2250.38        
1029   | 2248.13        
1030   | 2247.01        
1031   | 2246.69        
1032   | 2247.09        
1033   | 2250.91        
1034   | 2249.71        
1035   | 2252.42        
1036   | 2249.43        
1037   | 2252.89        
1038   | 2251.99        
1039   | 2248.78        
1040   | 2246.47        
1041   | 2246.89        
1042   | 2250.64        
1043   | 2247.69        
1044   | 2249.79        
1045   | 2248.46        
1046   | 2250.90        
1047   | 2251.10        
1048   | 2251.67        
1049   | 2246.85        
1050   | 2249.83        
1051   | 2249.37        
1052   | 2247.48        
1053   | 2252.29        
1054   | 2251.49        
1055   | 2249.07        
1056   | 2247.66        
1057   | 2250.25        
1058   | 2253.27        
1059   | 2249.99        
1060   | 2248.93        
1061   | 2249.93        
1062   | 2251.78        
1063   | 2249.47        
1064   | 2249.65        
1065   | 2252.73        
1066   | 2251.16        
1067   | 2251.62        
1068   | 2251.18        
1069   | 2253.58        
1070   | 2248.65        
1071   | 2251.96        
1072   | 2251.29        
1073   | 2247.38        
1074   | 2252.67        
1075   | 2251.02        
1076   | 2249.99        
1077   | 2253.42        
1078   | 2250.18        
1079   | 2249.78        
1080   | 2250.79        
1081   | 2251.97        
1082   | 2252.89        
1083   | 2252.89        
1084   | 2253.20        
1085   | 2249.12        
1086   | 2253.59        
1087   | 2246.58        
1088   | 2246.52        
1089   | 2252.39        
1090   | 2252.39        
1091   | 2246.83        
1092   | 2249.04        
1093   | 2246.53        
1094   | 2253.23        
1095   | 2248.57        
1096   | 2247.77        
1097   | 2247.34        
1098   | 2248.50        
1099   | 2252.88        
1100   | 2253.38        
1101   | 2252.71        
1102   | 2249.03        
1103   | 2252.94        
1104   | 2247.37        
1105   | 2252.21        
1106   | 2247.49        
1107   | 2250.54        
1108   | 2250.35        
1109   | 2250.13        
1110   | 2252.85        
1111   | 2248.39        
1112   | 2248.55        
1113   | 2250.75        
1114   | 2247.91        
1115   | 2252.28        
1116   | 2250.38        
1117   | 2249.00        
1118   | 2249.61        
1119   | 2249.66        
1120   | 2253.59        
1121   | 2247.93        
1122   | 2249.01        
1123   | 2252.56        
1124   | 2247.08        
1125   | 2246.88        
1126   | 2249.37        
1127   | 2248.06        
1128   | 2251.54        
1129   | 2251.28        
1130   | 2250.96        
1131   | 2253.55        
1132   | 2249.03        
1133   | 2249.07        
1134   | 2251.42        
1135   | 2250.34        
1136   | 2248.94        
1137   | 2248.16        
1138   | 2247.59        
1139   | 2251.37        
1140   | 2249.14        
1141   | 2252.00        
1142   | 2252.26        
1143   | 2252.77        
1144   | 2251.42        
1145   | 2251.58        
1146   | 2253.14        
1147   | 2249.11        
1148   | 2251.24        
1149   | 2248.34        
1150   | 2251.13        
1151   | 2251.50        
1152   | 2251.88        
1153   | 2246.93        
1154   | 2249.80        
1155   | 2251.51        
1156   | 2251.72        
1157   | 2246.50        
1158   | 2248.62        
1159   | 2251.91        
1160   | 2252.28        
1161   | 2246.41        
1162   | 2252.69        
1163   | 2246.56        
1164   | 2251.68        
1165   | 2251.15        
1166   | 2248.50        
1167   | 2248.03        
1168   | 2252.26        
1169   | 2253.44        
1170   | 2247.16        
1171   | 2252.78        
1172   | 2246.93        
1173   | 2247.16        
1174   | 2253.59        
1175   | 2249.53        
1176   | 2249.73        
1177   | 2253.42        
1178   | 2249.51        
1179   | 2247.60        
1180   | 2249.96        
1181   | 2249.10        
1182   | 2251.12        
1183   | 2246.77        
1184   | 2248.58        
1185   | 2248.73        
1186   | 2252.02        
1187   | 2248.24        
1188   | 2249.07        
1189   | 2252.04        
1190   | 2250.17        
1191   | 2250.58        
1192   | 2247.84        
1193   | 2250.07        
1194   | 2250.07        
1195   | 2251.24        
1196   | 2247.48        
1197   | 2252.55        
1198   | 2248.19        
1199   | 2248.35        
1200   | 2251.51        
1201   | 2250.78        
1202   | 2248.65        
1203   | 2248.13        
1204   | 2247.89        
1205   | 2251.74        
1206   | 2248.82        
1207   | 2247.65        
1208   | 2249.90        
1209   | 2253.20        
1210   | 2252.73        
1211   | 2247.34        
1212   | 2253.51        
1213   | 2248.65        
1214   | 2251.82        
1215   | 2252.88        
1216   | 2246.77        
1217   | 2253.47        
1218   | 2249.39        
1219   | 2246.82        
1220   | 2251.39        
1221   | 2248.11        
1222   | 2249.41        
1223   | 2247.23        
1224   | 2247.92        
1225   | 2248.99        
1226   | 2250.46        
1227   | 2253.09        
1228   | 2249.85        
1229   | 2247.42        
1230   | 2251.63        
1231   | 2251.12        
1232   | 2247.31        
1233   | 2247.53        
1234   | 2249.52        
1235   | 2251.91        
1236   | 2247.79        
1237   | 2252.86        
1238   | 2248.23        
1239   | 2246.68        
1240   | 2246.67        
1241   | 2249.44        
1242   | 2249.82        
1243   | 2247.47        
1244   | 2252.44        
1245   | 2249.58        
1246   | 2247.35        
1247   | 2253.55        
1248   | 2250.25        
1249   | 2253.54        
1250   | 2246.61        
1251   | 2252.48        
1252   | 2247.05        
1253   | 2252.63        
1254   | 2247.02        
1255   | 2247.49        
1256   | 2253.15        
1257   | 2253.14        
1258   | 2250.27        
1259   | 2252.50        
1260   | 2252.04        
1261   | 448.83         
1262   | 446.49         
1263   | 446.61         
1264   | 451.42         
1265   | 447.88         
1266   | 447.88         
1267   | 450.84         
1268   | 446.66         
1269   | 451.61         
1270   | 452.66         
1271   | 447.87         
1272   | 447.51         
1273   | 447.72         
1274   | 453.49         
1275   | 446.54         
1276   | 450.93         
1277   | 451.58         
1278   | 446.76         
1279   | 448.30         
1280   | 448.71         
1281   | 449.59         
1282   | 449.03         
1283   | 450.04         
1284   | 452.85         
1285   | 451.64         
1286   | 451.07         
1287   | 447.91         
1288   | 448.38         
1289   | 449.50         
1290   | 447.77         
1291   | 450.58         
1292   | 448.57         
1293   | 448.93         
1294   | 453.27         
1295   | 448.29         
1296   | 449.81         
1297   | 451.51         
1298   | 452.88         
1299   | 453.17         
1300   | 452.26         
1301   | 448.42         
1302   | 451.02         
1303   | 450.42         
1304   | 453.02         
1305   | 448.29         
1306   | 447.65         
1307   | 449.34         
1308   | 450.47         
1309   | 450.49         
1310   | 452.48         
1311   | 451.97         
1312   | 453.49         
1313   | 446.60         
1314   | 449.26         
1315   | 446.43         
1316   | 450.64         
1317   | 453.34         
1318   | 447.62         
1319   | 451.86         
1320   | 449.95         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
