Minute | Consumption (W) - SCENARIO: Laundry + Cooking + Guests
718    | 578.46         
719    | 577.98         
720    | 582.16         
721    | 2727.80        
722    | 2730.63        
723    | 2727.15        
724    | 2732.39        
725    | 2732.16        
726    | 2727.84        
727    | 2727.62        
728    | 2732.29        
729    | 2728.03        
730    | 2726.70        
731    | 3731.75        
732    | 3731.87        
733    | 3730.92        
734    | 3729.34        
735    | 3730.78        
736    | 3733.55        
737    | 3730.30        
738    | 3729.98        
739    | 3730.07        
740    | 3733.03        
741    | 2727.18        
742    | 2727.43        
743    | 2728.64        
744    | 2727.97        
745    | 2731.68        
746    | 2731.23        
747    | 2731.44        
748    | 2732.95        
749    | 2728.73        
750    | 2730.62        
751    | 2730.69        
752    | 2733.03        
753    | 2729.94        
754    | 2727.97        
755    | 2731.05        
756    | 2731.98        
757    | 2726.63        
758    | 2731.10        
759    | 2731.09        
760    | 2731.33        
761    | 2733.55        
762    | 2728.94        
763    | 2732.79        
764    | 2729.74        
765    | 2726.67        
766    | 2730.35        
767    | 2729.70        
768    | 2733.52        
769    | 2731.36        
770    | 2729.46        
771    | 2731.35        
772    | 2731.04        
773    | 2726.68        
774    | 2731.14        
775    | 2728.96        
776    | 2732.98        
777    | 2727.37        
778    | 2730.70        
779    | 2726.88        
780    | 2730.40        
781    | 701.68         
782    | 700.95         
783    | 698.90         
784    | 702.79         
785    | 699.00         
786    | 700.50         
787    | 696.68         
788    | 697.66         
789    | 699.63         
790    | 701.78         
791    | 701.02         
792    | 701.42         
793    | 697.03         
794    | 700.69         
795    | 697.64         
796    | 699.91         
797    | 698.03         
798    | 698.59         
799    | 703.28         
800    | 701.00         
801    | 700.35         
802    | 700.84         
803    | 699.52         
804    | 703.14         
805    | 700.12         
806    | 700.43         
807    | 700.92         
808    | 703.07         
809    | 699.72         
810    | 697.76         
811    | 701.76         
812    | 699.17         
813    | 697.70         
814    | 696.81         
815    | 700.77         
816    | 698.03         
817    | 700.24         
818    | 697.62         
819    | 702.10         
820    | 701.00         
821    | 699.82         
822    | 702.52         
823    | 697.21         
824    | 697.64         
825    | 702.97         
826    | 698.09         
827    | 698.09         
828    | 697.96         
829    | 699.56         
830    | 700.52         
831    | 701.92         
832    | 698.84         
833    | 702.70         
834    | 700.05         
835    | 697.67         
836    | 697.51         
837    | 699.87         
838    | 697.73         
839    | 700.92         
840    | 699.42         
841    | 697.55         
842    | 703.50         
843    | 698.89         
844    | 702.78         
845    | 697.54         
846    | 701.72         
847    | 701.05         
848    | 702.84         
849    | 700.38         
850    | 699.89         
851    | 698.16         
852    | 698.98         
853    | 698.70         
854    | 697.09         
855    | 701.26         
856    | 699.89         
857    | 697.63         
858    | 699.42         
859    | 701.26         
860    | 696.52         
861    | 696.54         
862    | 703.36         
863    | 699.95         
864    | 699.16         
865    | 700.18         
866    | 703.24         
867    | 703.09         
868    | 701.56         
869    | 701.25         
870    | 698.88         
871    | 701.78         
872    | 698.00         
873    | 699.66         
874    | 701.68         
875    | 701.92         
876    | 702.47         
877    | 696.96         
878    | 697.54         
879    | 702.68         
880    | 700.39         
881    | 702.49         
882    | 702.39         
883    | 699.80         
884    | 700.76         
885    | 698.00         
886    | 697.29         
887    | 696.70         
888    | 702.79         
889    | 696.65         
890    | 697.24         
891    | 699.06         
892    | 703.27         
893    | 701.90         
894    | 701.28         
895    | 697.62         
896    | 697.10         
897    | 699.80         
898    | 698.54         
899    | 698.04         
900    | 700.92         
901    | 698.50         
902    | 699.79         
903    | 703.43         
904    | 703.39         
905    | 700.79         
906    | 701.87         
907    | 703.26         
908    | 699.20         
909    | 698.65         
910    | 703.49         
911    | 698.10         
912    | 701.10         
913    | 701.35         
914    | 701.02         
915    | 698.06         
916    | 703.19         
917    | 699.27         
918    | 700.85         
919    | 700.84         
920    | 703.32         
921    | 699.62         
922    | 701.15         
923    | 701.47         
924    | 698.97         
925    | 703.07         
926    | 697.60         
927    | 701.57         
928    | 700.61         
929    | 700.19         
930    | 702.70         
931    | 697.96         
932    | 696.59         
933    | 698.70         
934    | 703.03         
935    | 702.08         
936    | 698.15         
937    | 699.76         
938    | 702.08         
939    | 696.76         
940    | 697.17         
941    | 700.16         
942    | 701.55         
943    | 697.58         
944    | 703.59         
945    | 701.03         
946    | 702.82         
947    | 698.30         
948    | 700.78         
949    | 697.15         
950    | 703.11         
951    | 703.58         
952    | 699.68         
953    | 697.19         
954    | 702.49         
955    | 698.91         
956    | 700.81         
957    | 697.54         
958    | 701.14         
959    | 696.89         
960    | 697.35         
961    | 701.35         
962    | 699.54         
963    | 698.31         
964    | 701.61         
965    | 701.37         
966    | 699.72         
967    | 697.12         
968    | 697.29         
969    | 703.49         
970    | 703.05         
971    | 700.97         
972    | 699.31         
973    | 702.98         
974    | 697.26         
975    | 696.89         
976    | 698.16         
977    | 699.25         
978    | 698.20         
979    | 699.84         
980    | 699.91         
981    | 700.43         
982    | 696.59         
983    | 697.19         
984    | 698.43         
985    | 702.02         
986    | 700.25         
987    | 700.54         
988    | 702.41         
989    | 698.32         
990    | 700.24         
991    | 697.45         
992    | 699.64         
993    | 700.44         
994    | 702.15         
995    | 698.25         
996    | 697.30         
997    | 701.11         
998    | 701.33         
999    | 701.67         
1000   | 701.46         
1001   | 699.07         
1002   | 702.09         
1003   | 699.62         
1004   | 699.71         
1005   | 699.92         
1006   | 703.07         
1007   | 696.62         
1008   | 701.71         
1009   | 698.89         
1010   | 701.66         
1011   | 698.41         
1012   | 698.63         
1013   | 702.17         
1014   | 699.11         
1015   | 698.92         
1016   | 698.39         
1017   | 702.01         
1018   | 699.39         
1019   | 699.01         
1020   | 701.53         
1021   | 852.46         
1022   | 850.28         
1023   | 853.05         
1024   | 847.53         
1025   | 849.68         
1026   | 852.81         
1027   | 848.38         
1028   | 850.30         
1029   | 852.17         
1030   | 849.42         
1031   | 853.38         
1032   | 851.09         
1033   | 853.04         
1034   | 849.17         
1035   | 852.36         
1036   | 848.52         
1037   | 853.16         
1038   | 846.60         
1039   | 853.03         
1040   | 847.13         
1041   | 847.64         
1042   | 851.81         
1043   | 848.18         
1044   | 850.65         
1045   | 849.45         
1046   | 850.70         
1047   | 848.46         
1048   | 847.77         
1049   | 852.83         
1050   | 847.67         
1051   | 846.90         
1052   | 851.91         
1053   | 847.36         
1054   | 852.57         
1055   | 850.22         
1056   | 847.99         
1057   | 850.34         
1058   | 850.08         
1059   | 853.47         
1060   | 846.44         
1061   | 847.28         
1062   | 849.54         
1063   | 851.42         
1064   | 846.46         
1065   | 853.29         
1066   | 847.62         
1067   | 851.83         
1068   | 851.86         
1069   | 847.57         
1070   | 847.22         
1071   | 853.51         
1072   | 847.89         
1073   | 853.27         
1074   | 851.83         
1075   | 849.94         
1076   | 847.04         
1077   | 851.68         
1078   | 852.58         
1079   | 852.55         
1080   | 849.32         
1081   | 853.13         
1082   | 847.14         
1083   | 846.83         
1084   | 846.59         
1085   | 851.01         
1086   | 850.68         
1087   | 852.82         
1088   | 847.47         
1089   | 851.19         
1090   | 848.84         
1091   | 846.88         
1092   | 851.64         
1093   | 850.94         
1094   | 852.57         
1095   | 849.23         
1096   | 849.18         
1097   | 850.74         
1098   | 853.19         
1099   | 853.42         
1100   | 848.84         
1101   | 847.96         
1102   | 851.71         
1103   | 848.53         
1104   | 847.95         
1105   | 847.80         
1106   | 848.21         
1107   | 847.73         
1108   | 852.50         
1109   | 853.03         
1110   | 852.30         
1111   | 3347.27        
1112   | 3347.69        
1113   | 3346.67        
1114   | 3351.43        
1115   | 3346.86        
1116   | 3351.98        
1117   | 3346.92        
1118   | 3351.94        
1119   | 3347.22        
1120   | 3347.53        
1121   | 3347.21        
1122   | 3352.88        
1123   | 3352.17        
1124   | 3351.01        
1125   | 3348.30        
1126   | 3351.22        
1127   | 3350.20        
1128   | 3350.33        
1129   | 3349.04        
1130   | 3352.87        
1131   | 3349.03        
1132   | 3352.54        
1133   | 3349.75        
1134   | 3349.77        
1135   | 3346.57        
1136   | 3346.72        
1137   | 3352.01        
1138   | 3352.28        
1139   | 3351.79        
1140   | 3353.08        
1141   | 851.61         
1142   | 848.36         
1143   | 851.28         
1144   | 847.29         
1145   | 849.08         
1146   | 851.72         
1147   | 849.73         
1148   | 851.75         
1149   | 847.18         
1150   | 851.50         
1151   | 849.03         
1152   | 850.86         
1153   | 851.67         
1154   | 848.67         
1155   | 849.82         
1156   | 846.66         
1157   | 851.91         
1158   | 852.90         
1159   | 849.13         
1160   | 851.79         
1161   | 847.75         
1162   | 846.67         
1163   | 849.67         
1164   | 847.81         
1165   | 851.57         
1166   | 851.00         
1167   | 852.17         
1168   | 852.71         
1169   | 847.20         
1170   | 848.48         
1171   | 853.06         
1172   | 853.46         
1173   | 848.78         
1174   | 847.56         
1175   | 851.89         
1176   | 853.14         
1177   | 849.55         
1178   | 852.05         
1179   | 850.07         
1180   | 847.64         
1181   | 850.77         
1182   | 846.58         
1183   | 849.07         
1184   | 850.82         
1185   | 850.80         
1186   | 852.11         
1187   | 847.49         
1188   | 849.61         
1189   | 851.66         
1190   | 853.50         
1191   | 849.05         
1192   | 848.26         
1193   | 850.63         
1194   | 850.61         
1195   | 849.65         
1196   | 853.48         
1197   | 850.08         
1198   | 850.33         
1199   | 853.07         
1200   | 848.98         
1201   | 851.59         
1202   | 851.62         
1203   | 851.87         
1204   | 847.65         
1205   | 852.72         
1206   | 853.46         
1207   | 852.83         
1208   | 849.39         
1209   | 848.82         
1210   | 852.58         
1211   | 853.00         
1212   | 853.10         
1213   | 852.00         
1214   | 850.53         
1215   | 847.88         
1216   | 848.11         
1217   | 850.13         
1218   | 846.87         
1219   | 847.70         
1220   | 847.31         
1221   | 847.42         
1222   | 849.08         
1223   | 852.65         
1224   | 850.62         
1225   | 850.86         
1226   | 847.23         
1227   | 853.04         
1228   | 853.02         
1229   | 850.36         
1230   | 849.11         
1231   | 852.99         
1232   | 847.01         
1233   | 852.46         
1234   | 848.52         
1235   | 848.80         
1236   | 853.40         
1237   | 847.53         
1238   | 849.01         
1239   | 847.74         
1240   | 847.74         
1241   | 851.94         
1242   | 851.05         
1243   | 851.04         
1244   | 847.75         
1245   | 851.96         
1246   | 848.60         
1247   | 847.78         
1248   | 848.01         
1249   | 848.17         
1250   | 851.02         
1251   | 852.83         
1252   | 852.44         
1253   | 852.87         
1254   | 850.57         
1255   | 848.13         
1256   | 847.32         
1257   | 847.68         
1258   | 850.73         
1259   | 853.54         
1260   | 851.94         
1261   | 446.52         
1262   | 447.56         
1263   | 449.16         
1264   | 450.51         
1265   | 449.30         
1266   | 447.12         
1267   | 453.42         
1268   | 449.67         
1269   | 451.29         
1270   | 448.62         
1271   | 452.59         
1272   | 449.74         
1273   | 447.11         
1274   | 447.61         
1275   | 447.92         
1276   | 451.49         
1277   | 450.44         
1278   | 448.84         
1279   | 448.34         
1280   | 446.99         
1281   | 450.63         
1282   | 453.19         
1283   | 448.40         
1284   | 451.68         
1285   | 447.29         
1286   | 446.56         
1287   | 450.08         
1288   | 451.55         
1289   | 446.51         
1290   | 451.99         
1291   | 452.57         
1292   | 452.80         
1293   | 446.78         
1294   | 452.57         
1295   | 448.38         
1296   | 446.93         
1297   | 452.44         
1298   | 448.84         
1299   | 450.93         
1300   | 448.08         
1301   | 449.71         
1302   | 450.46         
1303   | 449.59         
1304   | 449.91         
1305   | 447.16         
1306   | 450.53         
1307   | 453.47         
1308   | 452.70         
1309   | 450.28         
1310   | 448.82         
1311   | 450.77         
1312   | 451.84         
1313   | 449.53         
1314   | 451.20         
1315   | 447.85         
1316   | 452.20         
1317   | 453.05         
1318   | 447.44         
1319   | 453.57         
1320   | 452.35         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
