Minute | Consumption (W) - SCENARIO: Routine + Light Cleaning
725    | 733.35         
726    | 732.97         
727    | 728.13         
728    | 729.75         
729    | 730.88         
730    | 727.33         
731    | 1730.04        
732    | 1730.11        
733    | 1732.48        
734    | 1731.68        
735    | 1733.30        
736    | 1730.39        
737    | 1733.54        
738    | 1728.99        
739    | 1728.67        
740    | 1728.26        
741    | 727.98         
742    | 731.86         
743    | 728.25         
744    | 729.45         
745    | 726.72         
746    | 727.56         
747    | 732.28         
748    | 732.43         
749    | 729.93         
750    | 728.63         
751    | 727.70         
752    | 728.21         
753    | 727.87         
754    | 726.67         
755    | 733.51         
756    | 727.36         
757    | 730.50         
758    | 730.96         
759    | 732.60         
760    | 728.00         
761    | 726.66         
762    | 728.50         
763    | 727.41         
764    | 727.07         
765    | 731.84         
766    | 728.08         
767    | 732.76         
768    | 733.34         
769    | 732.10         
770    | 731.79         
771    | 726.72         
772    | 728.91         
773    | 726.51         
774    | 728.41         
775    | 731.09         
776    | 728.58         
777    | 729.40         
778    | 727.26         
779    | 733.14         
780    | 728.22         
781    | 700.80         
782    | 702.01         
783    | 702.47         
784    | 697.53         
785    | 700.52         
786    | 697.25         
787    | 699.64         
788    | 702.96         
789    | 700.54         
790    | 701.43         
791    | 697.69         
792    | 701.23         
793    | 702.17         
794    | 701.85         
795    | 700.45         
796    | 696.61         
797    | 702.75         
798    | 698.34         
799    | 701.30         
800    | 698.92         
801    | 699.87         
802    | 701.45         
803    | 698.81         
804    | 701.47         
805    | 698.16         
806    | 701.19         
807    | 696.59         
808    | 699.29         
809    | 700.85         
810    | 696.44         
811    | 697.84         
812    | 699.88         
813    | 697.47         
814    | 701.79         
815    | 696.80         
816    | 696.69         
817    | 697.21         
818    | 697.88         
819    | 698.57         
820    | 700.67         
821    | 699.08         
822    | 702.45         
823    | 701.11         
824    | 698.94         
825    | 701.13         
826    | 701.93         
827    | 696.92         
828    | 698.29         
829    | 702.48         
830    | 700.97         
831    | 702.23         
832    | 697.33         
833    | 699.43         
834    | 699.27         
835    | 697.40         
836    | 696.80         
837    | 697.84         
838    | 699.59         
839    | 698.00         
840    | 701.98         
841    | 1499.96        
842    | 1503.03        
843    | 1500.61        
844    | 1502.92        
845    | 1497.16        
846    | 1497.01        
847    | 1498.96        
848    | 1497.22        
849    | 1499.82        
850    | 1498.27        
851    | 1498.59        
852    | 1499.50        
853    | 1498.88        
854    | 1503.48        
855    | 1501.41        
856    | 1497.67        
857    | 1502.92        
858    | 1502.21        
859    | 1502.17        
860    | 1502.01        
861    | 1497.07        
862    | 1499.37        
863    | 1501.44        
864    | 1500.75        
865    | 1500.22        
866    | 1499.88        
867    | 1503.20        
868    | 1499.15        
869    | 1499.69        
870    | 1503.19        
871    | 700.84         
872    | 700.70         
873    | 700.27         
874    | 702.02         
875    | 699.64         
876    | 697.32         
877    | 698.25         
878    | 696.89         
879    | 698.45         
880    | 699.40         
881    | 697.98         
882    | 696.92         
883    | 703.07         
884    | 700.50         
885    | 700.32         
886    | 697.78         
887    | 702.49         
888    | 697.62         
889    | 699.78         
890    | 697.44         
891    | 702.61         
892    | 701.08         
893    | 702.35         
894    | 700.40         
895    | 702.84         
896    | 702.55         
897    | 701.66         
898    | 699.92         
899    | 698.61         
900    | 699.76         
901    | 698.91         
902    | 697.23         
903    | 696.54         
904    | 701.73         
905    | 701.41         
906    | 701.20         
907    | 699.51         
908    | 700.69         
909    | 703.45         
910    | 698.12         
911    | 701.00         
912    | 699.35         
913    | 698.28         
914    | 697.33         
915    | 698.99         
916    | 697.59         
917    | 703.25         
918    | 701.45         
919    | 702.39         
920    | 701.23         
921    | 699.35         
922    | 701.37         
923    | 700.70         
924    | 696.53         
925    | 699.48         
926    | 698.65         
927    | 700.62         
928    | 700.09         
929    | 700.82         
930    | 698.04         
931    | 697.18         
932    | 702.87         
933    | 699.84         
934    | 698.50         
935    | 698.02         
936    | 697.32         
937    | 700.97         
938    | 701.02         
939    | 698.97         
940    | 703.05         
941    | 698.30         
942    | 700.17         
943    | 697.42         
944    | 697.94         
945    | 699.62         
946    | 700.94         
947    | 697.04         
948    | 697.85         
949    | 697.87         
950    | 697.34         
951    | 698.01         
952    | 702.63         
953    | 696.84         
954    | 701.39         
955    | 700.64         
956    | 699.87         
957    | 699.63         
958    | 697.04         
959    | 703.22         
960    | 696.60         
961    | 698.42         
962    | 702.69         
963    | 698.71         
964    | 700.62         
965    | 701.79         
966    | 697.14         
967    | 700.24         
968    | 698.45         
969    | 701.42         
970    | 700.50         
971    | 701.93         
972    | 697.99         
973    | 701.19         
974    | 698.09         
975    | 702.73         
976    | 697.39         
977    | 702.60         
978    | 697.35         
979    | 697.20         
980    | 701.72         
981    | 697.93         
982    | 699.64         
983    | 697.13         
984    | 702.83         
985    | 701.83         
986    | 701.05         
987    | 699.01         
988    | 697.36         
989    | 701.97         
990    | 701.38         
991    | 698.54         
992    | 702.12         
993    | 698.59         
994    | 700.90         
995    | 700.81         
996    | 701.46         
997    | 698.43         
998    | 696.41         
999    | 698.44         
1000   | 698.34         
1001   | 700.94         
1002   | 698.18         
1003   | 699.15         
1004   | 703.34         
1005   | 700.36         
1006   | 699.66         
1007   | 700.10         
1008   | 702.06         
1009   | 699.64         
1010   | 696.83         
1011   | 698.49         
1012   | 702.85         
1013   | 698.52         
1014   | 700.38         
1015   | 696.49         
1016   | 696.77         
1017   | 696.77         
1018   | 703.01         
1019   | 702.70         
1020   | 698.90         
1021   | 847.08         
1022   | 847.91         
1023   | 847.09         
1024   | 846.80         
1025   | 848.77         
1026   | 846.70         
1027   | 850.43         
1028   | 853.44         
1029   | 849.57         
1030   | 851.82         
1031   | 853.57         
1032   | 852.45         
1033   | 849.54         
1034   | 847.89         
1035   | 853.24         
1036   | 846.74         
1037   | 852.58         
1038   | 852.37         
1039   | 850.89         
1040   | 849.01         
1041   | 846.46         
1042   | 853.34         
1043   | 850.38         
1044   | 853.15         
1045   | 846.52         
1046   | 852.01         
1047   | 853.14         
1048   | 847.45         
1049   | 847.72         
1050   | 851.90         
1051   | 851.11         
1052   | 848.23         
1053   | 847.27         
1054   | 852.23         
1055   | 853.52         
1056   | 848.46         
1057   | 848.55         
1058   | 848.41         
1059   | 850.08         
1060   | 849.66         
1061   | 852.79         
1062   | 848.82         
1063   | 848.66         
1064   | 846.79         
1065   | 847.74         
1066   | 850.27         
1067   | 849.95         
1068   | 850.96         
1069   | 853.03         
1070   | 853.25         
1071   | 847.30         
1072   | 851.66         
1073   | 846.51         
1074   | 847.99         
1075   | 851.49         
1076   | 853.46         
1077   | 853.07         
1078   | 847.39         
1079   | 847.76         
1080   | 851.82         
1081   | 848.05         
1082   | 849.43         
1083   | 849.32         
1084   | 846.50         
1085   | 850.01         
1086   | 852.78         
1087   | 848.53         
1088   | 849.26         
1089   | 853.16         
1090   | 853.09         
1091   | 853.02         
1092   | 850.53         
1093   | 847.06         
1094   | 850.98         
1095   | 851.74         
1096   | 851.82         
1097   | 847.90         
1098   | 849.86         
1099   | 851.51         
1100   | 847.32         
1101   | 848.84         
1102   | 848.26         
1103   | 849.18         
1104   | 846.93         
1105   | 847.65         
1106   | 851.00         
1107   | 849.16         
1108   | 852.66         
1109   | 853.35         
1110   | 849.10         
1111   | 851.84         
1112   | 846.83         
1113   | 849.73         
1114   | 851.75         
1115   | 846.84         
1116   | 852.78         
1117   | 849.99         
1118   | 848.77         
1119   | 851.86         
1120   | 851.37         
1121   | 851.89         
1122   | 848.29         
1123   | 847.16         
1124   | 851.25         
1125   | 852.03         
1126   | 848.81         
1127   | 847.66         
1128   | 848.27         
1129   | 849.19         
1130   | 847.80         
1131   | 848.99         
1132   | 850.30         
1133   | 847.01         
1134   | 848.46         
1135   | 851.88         
1136   | 848.79         
1137   | 852.47         
1138   | 846.53         
1139   | 850.81         
1140   | 848.75         
1141   | 850.64         
1142   | 849.74         
1143   | 847.63         
1144   | 849.94         
1145   | 848.79         
1146   | 853.41         
1147   | 850.13         
1148   | 849.27         
1149   | 851.45         
1150   | 848.82         
1151   | 852.04         
1152   | 847.72         
1153   | 847.46         
1154   | 850.73         
1155   | 853.39         
1156   | 846.74         
1157   | 849.79         
1158   | 847.66         
1159   | 850.91         
1160   | 850.09         
1161   | 850.52         
1162   | 852.68         
1163   | 851.83         
1164   | 848.19         
1165   | 846.97         
1166   | 847.95         
1167   | 849.22         
1168   | 848.24         
1169   | 851.52         
1170   | 849.88         
1171   | 850.37         
1172   | 850.89         
1173   | 852.77         
1174   | 846.65         
1175   | 849.63         
1176   | 846.47         
1177   | 850.58         
1178   | 846.46         
1179   | 852.55         
1180   | 848.79         
1181   | 850.45         
1182   | 851.14         
1183   | 851.10         
1184   | 848.06         
1185   | 849.26         
1186   | 851.23         
1187   | 851.89         
1188   | 846.63         
1189   | 846.62         
1190   | 851.97         
1191   | 849.88         
1192   | 847.52         
1193   | 853.18         
1194   | 851.57         
1195   | 853.60         
1196   | 848.65         
1197   | 849.76         
1198   | 852.70         
1199   | 847.56         
1200   | 850.74         
1201   | 846.46         
1202   | 849.58         
1203   | 850.50         
1204   | 846.72         
1205   | 848.56         
1206   | 852.48         
1207   | 847.27         
1208   | 852.01         
1209   | 849.32         
1210   | 852.07         
1211   | 850.56         
1212   | 848.71         
1213   | 849.66         
1214   | 852.51         
1215   | 853.16         
1216   | 852.58         
1217   | 849.88         
1218   | 852.09         
1219   | 846.63         
1220   | 850.74         
1221   | 852.84         
1222   | 846.90         
1223   | 849.80         
1224   | 851.14         
1225   | 848.51         
1226   | 849.48         
1227   | 848.01         
1228   | 853.06         
1229   | 846.52         
1230   | 849.80         
1231   | 851.25         
1232   | 849.70         
1233   | 852.54         
1234   | 847.15         
1235   | 851.44         
1236   | 848.16         
1237   | 852.83         
1238   | 852.68         
1239   | 850.91         
1240   | 852.46         
1241   | 846.40         
1242   | 847.80         
1243   | 850.55         
1244   | 848.54         
1245   | 852.47         
1246   | 849.05         
1247   | 848.11         
1248   | 846.93         
1249   | 848.40         
1250   | 846.47         
1251   | 848.44         
1252   | 849.64         
1253   | 850.42         
1254   | 847.85         
1255   | 851.85         
1256   | 847.64         
1257   | 852.89         
1258   | 847.43         
1259   | 849.79         
1260   | 853.52         
1261   | 450.91         
1262   | 452.29         
1263   | 452.80         
1264   | 448.64         
1265   | 452.70         
1266   | 453.10         
1267   | 447.34         
1268   | 449.70         
1269   | 451.26         
1270   | 448.56         
1271   | 449.20         
1272   | 450.24         
1273   | 447.86         
1274   | 451.23         
1275   | 452.75         
1276   | 447.25         
1277   | 449.58         
1278   | 448.47         
1279   | 449.35         
1280   | 447.97         
1281   | 450.33         
1282   | 451.15         
1283   | 452.48         
1284   | 451.45         
1285   | 448.88         
1286   | 452.99         
1287   | 451.51         
1288   | 449.85         
1289   | 447.83         
1290   | 447.51         
1291   | 448.92         
1292   | 452.56         
1293   | 450.86         
1294   | 452.38         
1295   | 449.97         
1296   | 452.06         
1297   | 448.59         
1298   | 453.36         
1299   | 450.59         
1300   | 449.39         
1301   | 449.83         
1302   | 451.05         
1303   | 452.63         
1304   | 446.96         
1305   | 448.23         
1306   | 452.20         
1307   | 448.63         
1308   | 450.35         
1309   | 449.02         
1310   | 453.13         
1311   | 447.58         
1312   | 452.65         
1313   | 447.96         
1314   | 446.46         
1315   | 451.59         
1316   | 446.92         
1317   | 450.85         
1318   | 451.34         
1319   | 446.99         
1320   | 448.50         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
