Minute | Consumption (W) - SCENARIO: Extreme Cold Day
713    | 983.25         
714    | 980.81         
715    | 978.77         
716    | 982.38         
717    | 982.17         
718    | 980.12         
719    | 978.83         
720    | 978.38         
721    | 1131.25        
722    | 1130.24        
723    | 1126.81        
724    | 1127.41        
725    | 1130.02        
726    | 1132.36        
727    | 1132.87        
728    | 1131.58        
729    | 1129.04        
730    | 1132.64        
731    | 2128.14        
732    | 2127.40        
733    | 2133.51        
734    | 2128.90        
735    | 2129.39        
736    | 2128.47        
737    | 2127.15        
738    | 2130.01        
739    | 2127.58        
740    | 2133.40        
741    | 1132.52        
742    | 1132.92        
743    | 1126.56        
744    | 1128.12        
745    | 1127.93        
746    | 1131.37        
747    | 1133.41        
748    | 1132.13        
749    | 1133.03        
750    | 1129.07        
751    | 1131.37        
752    | 1131.52        
753    | 1131.55        
754    | 1130.79        
755    | 1129.54        
756    | 1126.78        
757    | 1133.35        
758    | 1126.51        
759    | 1132.44        
760    | 1132.49        
761    | 1128.57        
762    | 1126.73        
763    | 1128.41        
764    | 1127.62        
765    | 1129.00        
766    | 1130.27        
767    | 1132.61        
768    | 1130.24        
769    | 1130.20        
770    | 1130.61        
771    | 1129.36        
772    | 1128.97        
773    | 1132.10        
774    | 1129.72        
775    | 1130.62        
776    | 1127.90        
777    | 1130.86        
778    | 1127.53        
779    | 1131.32        
780    | 1127.60        
781    | 1103.60        
782    | 1102.00        
783    | 1098.39        
784    | 1102.69        
785    | 1099.31        
786    | 1100.22        
787    | 1100.80        
788    | 1103.19        
789    | 1100.66        
790    | 1099.03        
791    | 1097.74        
792    | 1097.17        
793    | 1103.03        
794    | 1102.31        
795    | 1101.67        
796    | 1101.67        
797    | 1098.12        
798    | 1102.63        
799    | 1099.26        
800    | 1099.56        
801    | 1096.88        
802    | 1100.49        
803    | 1097.80        
804    | 1100.88        
805    | 1102.60        
806    | 1102.20        
807    | 1100.86        
808    | 1098.52        
809    | 1099.46        
810    | 1097.55        
811    | 1098.76        
812    | 1101.23        
813    | 1098.05        
814    | 1101.33        
815    | 1102.00        
816    | 1099.87        
817    | 1101.83        
818    | 1100.49        
819    | 1103.57        
820    | 1099.43        
821    | 1103.45        
822    | 1101.08        
823    | 1099.24        
824    | 1102.48        
825    | 1097.58        
826    | 1098.06        
827    | 1103.59        
828    | 1098.49        
829    | 1096.63        
830    | 1100.89        
831    | 1102.97        
832    | 1100.83        
833    | 1098.26        
834    | 1102.10        
835    | 1103.13        
836    | 1102.07        
837    | 1098.06        
838    | 1103.54        
839    | 1101.61        
840    | 1100.17        
841    | 1096.66        
842    | 1098.93        
843    | 1100.39        
844    | 1098.09        
845    | 1099.77        
846    | 1099.29        
847    | 1100.26        
848    | 1102.20        
849    | 1096.62        
850    | 1098.78        
851    | 1102.40        
852    | 1103.06        
853    | 1100.03        
854    | 1103.16        
855    | 1098.06        
856    | 1100.48        
857    | 1098.25        
858    | 1099.80        
859    | 1100.83        
860    | 1101.47        
861    | 1101.22        
862    | 1101.32        
863    | 1100.45        
864    | 1100.36        
865    | 1097.21        
866    | 1100.91        
867    | 1099.09        
868    | 1099.36        
869    | 1101.41        
870    | 1101.20        
871    | 1097.23        
872    | 1098.29        
873    | 1097.06        
874    | 1101.24        
875    | 1098.62        
876    | 1102.70        
877    | 1097.04        
878    | 1101.60        
879    | 1102.69        
880    | 1100.75        
881    | 1103.23        
882    | 1098.10        
883    | 1099.01        
884    | 1101.56        
885    | 1096.81        
886    | 1096.56        
887    | 1099.88        
888    | 1099.59        
889    | 1096.94        
890    | 1096.51        
891    | 1097.32        
892    | 1101.64        
893    | 1103.25        
894    | 1099.24        
895    | 1096.48        
896    | 1099.81        
897    | 1096.82        
898    | 1102.66        
899    | 1099.70        
900    | 1103.23        
901    | 1096.80        
902    | 1100.95        
903    | 1099.65        
904    | 1102.87        
905    | 1101.80        
906    | 1099.77        
907    | 1098.09        
908    | 1097.02        
909    | 1102.52        
910    | 1101.83        
911    | 1097.79        
912    | 1102.28        
913    | 1098.44        
914    | 1102.75        
915    | 1102.96        
916    | 1100.57        
917    | 1102.92        
918    | 1099.06        
919    | 1098.98        
920    | 1100.30        
921    | 1098.62        
922    | 1097.26        
923    | 1102.04        
924    | 1100.61        
925    | 1100.97        
926    | 1101.55        
927    | 1096.68        
928    | 1103.17        
929    | 1097.37        
930    | 1097.68        
931    | 1097.75        
932    | 1101.43        
933    | 1099.09        
934    | 1102.73        
935    | 1101.11        
936    | 1101.81        
937    | 1096.46        
938    | 1101.64        
939    | 1103.34        
940    | 1098.79        
941    | 1100.18        
942    | 1099.86        
943    | 1099.00        
944    | 1102.28        
945    | 1101.75        
946    | 1102.83        
947    | 1103.51        
948    | 1096.55        
949    | 1102.49        
950    | 1099.42        
951    | 1100.71        
952    | 1099.03        
953    | 1101.73        
954    | 1096.53        
955    | 1097.74        
956    | 1101.27        
957    | 1097.34        
958    | 1103.17        
959    | 1103.54        
960    | 1098.47        
961    | 1101.74        
962    | 1102.84        
963    | 1097.62        
964    | 1100.42        
965    | 1098.70        
966    | 1101.86        
967    | 1098.36        
968    | 1100.93        
969    | 1097.40        
970    | 1096.71        
971    | 1097.62        
972    | 1102.76        
973    | 1099.16        
974    | 1101.50        
975    | 1097.51        
976    | 1097.00        
977    | 1101.31        
978    | 1101.03        
979    | 1099.12        
980    | 1098.91        
981    | 1102.72        
982    | 1099.77        
983    | 1096.91        
984    | 1099.52        
985    | 1102.23        
986    | 1099.70        
987    | 1103.58        
988    | 1102.08        
989    | 1099.27        
990    | 1100.65        
991    | 1098.26        
992    | 1101.97        
993    | 1101.55        
994    | 1101.36        
995    | 1102.61        
996    | 1102.71        
997    | 1098.85        
998    | 1101.59        
999    | 1102.16        
1000   | 1103.46        
1001   | 1099.23        
1002   | 1099.78        
1003   | 1101.54        
1004   | 1096.49        
1005   | 1100.85        
1006   | 1100.59        
1007   | 1099.87        
1008   | 1101.49        
1009   | 1100.58        
1010   | 1099.16        
1011   | 1102.25        
1012   | 1102.65        
1013   | 1099.37        
1014   | 1097.82        
1015   | 1096.61        
1016   | 1099.85        
1017   | 1102.55        
1018   | 1103.00        
1019   | 1101.14        
1020   | 1099.86        
1021   | 1248.43        
1022   | 1252.45        
1023   | 1252.06        
1024   | 1247.54        
1025   | 1248.87        
1026   | 1247.89        
1027   | 1249.28        
1028   | 1247.69        
1029   | 1250.04        
1030   | 1247.69        
1031   | 1251.64        
1032   | 1246.86        
1033   | 1246.83        
1034   | 1252.46        
1035   | 1251.11        
1036   | 1249.33        
1037   | 1252.01        
1038   | 1249.53        
1039   | 1252.39        
1040   | 1251.57        
1041   | 1247.66        
1042   | 1247.21        
1043   | 1247.20        
1044   | 1249.24        
1045   | 1249.24        
1046   | 1252.03        
1047   | 1247.90        
1048   | 1250.11        
1049   | 1252.79        
1050   | 1250.68        
1051   | 1246.67        
1052   | 1250.49        
1053   | 1248.25        
1054   | 1250.01        
1055   | 1249.09        
1056   | 1252.55        
1057   | 1249.22        
1058   | 1247.05        
1059   | 1249.50        
1060   | 1247.75        
1061   | 1248.80        
1062   | 1252.57        
1063   | 1246.42        
1064   | 1252.00        
1065   | 1253.12        
1066   | 1247.82        
1067   | 1252.67        
1068   | 1246.57        
1069   | 1252.47        
1070   | 1252.57        
1071   | 1247.36        
1072   | 1250.52        
1073   | 1247.23        
1074   | 1246.73        
1075   | 1248.08        
1076   | 1248.57        
1077   | 1252.35        
1078   | 1250.68        
1079   | 1246.56        
1080   | 1247.39        
1081   | 1249.97        
1082   | 1250.54        
1083   | 1250.53        
1084   | 1253.60        
1085   | 1252.75        
1086   | 1251.61        
1087   | 1246.75        
1088   | 1250.16        
1089   | 1252.83        
1090   | 1247.73        
1091   | 1251.18        
1092   | 1246.55        
1093   | 1248.08        
1094   | 1248.35        
1095   | 1253.01        
1096   | 1251.14        
1097   | 1250.74        
1098   | 1248.73        
1099   | 1251.33        
1100   | 1247.15        
1101   | 1248.66        
1102   | 1249.86        
1103   | 1249.21        
1104   | 1247.57        
1105   | 1251.46        
1106   | 1246.65        
1107   | 1250.28        
1108   | 1251.99        
1109   | 1253.59        
1110   | 1251.86        
1111   | 1252.07        
1112   | 1246.93        
1113   | 1253.42        
1114   | 1248.03        
1115   | 1250.30        
1116   | 1246.85        
1117   | 1251.19        
1118   | 1252.97        
1119   | 1251.83        
1120   | 1252.60        
1121   | 1250.28        
1122   | 1247.10        
1123   | 1253.51        
1124   | 1247.63        
1125   | 1252.46        
1126   | 1248.24        
1127   | 1253.10        
1128   | 1251.51        
1129   | 1248.58        
1130   | 1251.10        
1131   | 1253.55        
1132   | 1248.52        
1133   | 1249.96        
1134   | 1251.33        
1135   | 1251.60        
1136   | 1246.43        
1137   | 1251.68        
1138   | 1250.26        
1139   | 1250.91        
1140   | 1247.63        
1141   | 1248.74        
1142   | 1253.30        
1143   | 1247.28        
1144   | 1250.48        
1145   | 1247.96        
1146   | 1252.24        
1147   | 1246.45        
1148   | 1250.10        
1149   | 1251.67        
1150   | 1247.77        
1151   | 1251.56        
1152   | 1246.80        
1153   | 1252.62        
1154   | 1251.68        
1155   | 1251.82        
1156   | 1251.23        
1157   | 1252.42        
1158   | 1252.63        
1159   | 1251.31        
1160   | 1250.04        
1161   | 1248.81        
1162   | 1248.92        
1163   | 1248.75        
1164   | 1252.93        
1165   | 1248.36        
1166   | 1250.79        
1167   | 1252.04        
1168   | 1251.27        
1169   | 1252.90        
1170   | 1246.70        
1171   | 1253.23        
1172   | 1247.65        
1173   | 1247.72        
1174   | 1249.88        
1175   | 1249.83        
1176   | 1251.93        
1177   | 1252.48        
1178   | 1253.15        
1179   | 1252.86        
1180   | 1249.93        
1181   | 1250.42        
1182   | 1248.71        
1183   | 1251.33        
1184   | 1251.14        
1185   | 1248.05        
1186   | 1249.50        
1187   | 1253.38        
1188   | 1248.47        
1189   | 1249.46        
1190   | 1249.24        
1191   | 1252.80        
1192   | 1249.56        
1193   | 1250.00        
1194   | 1249.79        
1195   | 1253.29        
1196   | 1252.59        
1197   | 1247.56        
1198   | 1250.31        
1199   | 1247.26        
1200   | 1247.79        
1201   | 1248.14        
1202   | 1247.25        
1203   | 1247.43        
1204   | 1246.62        
1205   | 1249.95        
1206   | 1247.55        
1207   | 1247.08        
1208   | 1251.42        
1209   | 1247.18        
1210   | 1247.00        
1211   | 1248.88        
1212   | 1246.79        
1213   | 1253.05        
1214   | 1246.58        
1215   | 1252.41        
1216   | 1251.53        
1217   | 1251.49        
1218   | 1251.28        
1219   | 1252.83        
1220   | 1249.85        
1221   | 1247.12        
1222   | 1252.45        
1223   | 1246.53        
1224   | 1247.38        
1225   | 1251.56        
1226   | 1250.49        
1227   | 1246.49        
1228   | 1252.77        
1229   | 1252.39        
1230   | 1249.24        
1231   | 1253.09        
1232   | 1253.19        
1233   | 1248.45        
1234   | 1248.92        
1235   | 1246.99        
1236   | 1249.41        
1237   | 1249.62        
1238   | 1253.24        
1239   | 1250.49        
1240   | 1252.58        
1241   | 1250.69        
1242   | 1251.39        
1243   | 1251.27        
1244   | 1251.82        
1245   | 1249.31        
1246   | 1250.06        
1247   | 1249.75        
1248   | 1247.20        
1249   | 1253.17        
1250   | 1247.04        
1251   | 1250.72        
1252   | 1252.76        
1253   | 1250.09        
1254   | 1250.77        
1255   | 1250.62        
1256   | 1250.89        
1257   | 1246.83        
1258   | 1251.71        
1259   | 1247.56        
1260   | 1249.17        
1261   | 446.66         
1262   | 451.68         
1263   | 452.30         
1264   | 448.41         
1265   | 451.08         
1266   | 450.60         
1267   | 449.50         
1268   | 449.79         
1269   | 452.39         
1270   | 447.87         
1271   | 447.57         
1272   | 449.83         
1273   | 453.34         
1274   | 449.33         
1275   | 451.51         
1276   | 449.22         
1277   | 449.25         
1278   | 450.76         
1279   | 447.05         
1280   | 447.23         
1281   | 450.43         
1282   | 448.39         
1283   | 448.56         
1284   | 452.20         
1285   | 451.50         
1286   | 447.17         
1287   | 452.68         
1288   | 450.39         
1289   | 451.24         
1290   | 450.47         
1291   | 447.96         
1292   | 450.21         
1293   | 451.85         
1294   | 447.37         
1295   | 453.00         
1296   | 446.50         
1297   | 448.29         
1298   | 448.10         
1299   | 452.79         
1300   | 452.28         
1301   | 447.72         
1302   | 453.17         
1303   | 446.95         
1304   | 450.45         
1305   | 451.74         
1306   | 451.28         
1307   | 449.61         
1308   | 447.83         
1309   | 447.84         
1310   | 453.16         
1311   | 450.95         
1312   | 453.60         
1313   | 448.68         
1314   | 446.64         
1315   | 453.52         
1316   | 452.60         
1317   | 447.42         
1318   | 452.25         
1319   | 452.19         
1320   | 451.42         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
