Minute | Consumption (W) - SCENARIO: Winter Tea Day
712    | 980.56         
713    | 978.71         
714    | 983.53         
715    | 980.53         
716    | 981.86         
717    | 977.85         
718    | 979.15         
719    | 978.23         
720    | 982.80         
721    | 3132.57        
722    | 1127.83        
723    | 1131.26        
724    | 1133.13        
725    | 1132.15        
726    | 1128.21        
727    | 1131.47        
728    | 1131.21        
729    | 1126.45        
730    | 1128.94        
731    | 2126.42        
732    | 2128.66        
733    | 2130.13        
734    | 2130.43        
735    | 2133.10        
736    | 2133.46        
737    | 2130.17        
738    | 2131.44        
739    | 2131.11        
740    | 2126.58        
741    | 1131.14        
742    | 1130.46        
743    | 1127.31        
744    | 1131.63        
745    | 1129.72        
746    | 1132.13        
747    | 1128.66        
748    | 1127.11        
749    | 1130.29        
750    | 1131.99        
751    | 1127.97        
752    | 1132.51        
753    | 1128.98        
754    | 1133.28        
755    | 1131.02        
756    | 1130.00        
757    | 1128.82        
758    | 1127.86        
759    | 1130.00        
760    | 1130.31        
761    | 1133.17        
762    | 1130.96        
763    | 1129.35        
764    | 1129.62        
765    | 1130.81        
766    | 1126.65        
767    | 1126.65        
768    | 1126.45        
769    | 1127.43        
770    | 1130.70        
771    | 1133.15        
772    | 1126.99        
773    | 1130.51        
774    | 1128.64        
775    | 1131.66        
776    | 1127.80        
777    | 1132.86        
778    | 1132.69        
779    | 1129.85        
780    | 1127.11        
781    | 3102.41        
782    | 1099.35        
783    | 1096.51        
784    | 1097.01        
785    | 1096.41        
786    | 1102.66        
787    | 1098.77        
788    | 1098.45        
789    | 1100.22        
790    | 1100.00        
791    | 1102.73        
792    | 1101.29        
793    | 1096.88        
794    | 1099.89        
795    | 1100.23        
796    | 1096.98        
797    | 1097.67        
798    | 1101.09        
799    | 1101.98        
800    | 1100.00        
801    | 1102.40        
802    | 1099.66        
803    | 1098.68        
804    | 1098.28        
805    | 1102.51        
806    | 1102.79        
807    | 1101.36        
808    | 1102.40        
809    | 1099.70        
810    | 1099.38        
811    | 1101.48        
812    | 1097.52        
813    | 1102.00        
814    | 1103.16        
815    | 1100.96        
816    | 1102.47        
817    | 1096.69        
818    | 1101.34        
819    | 1103.26        
820    | 1101.32        
821    | 1103.60        
822    | 1103.30        
823    | 1100.64        
824    | 1097.10        
825    | 1102.45        
826    | 1102.79        
827    | 1099.98        
828    | 1102.64        
829    | 1103.25        
830    | 1099.29        
831    | 1099.64        
832    | 1097.71        
833    | 1097.05        
834    | 1100.23        
835    | 1099.85        
836    | 1097.80        
837    | 1100.74        
838    | 1098.83        
839    | 1096.85        
840    | 1098.99        
841    | 3101.32        
842    | 1100.29        
843    | 1100.81        
844    | 1097.06        
845    | 1098.53        
846    | 1101.79        
847    | 1101.14        
848    | 1097.99        
849    | 1102.81        
850    | 1096.76        
851    | 1100.11        
852    | 1096.48        
853    | 1097.51        
854    | 1099.35        
855    | 1103.38        
856    | 1100.12        
857    | 1102.22        
858    | 1096.92        
859    | 1102.06        
860    | 1097.25        
861    | 1098.25        
862    | 1100.48        
863    | 1101.69        
864    | 1102.29        
865    | 1097.66        
866    | 1100.74        
867    | 1098.01        
868    | 1100.94        
869    | 1103.22        
870    | 1101.56        
871    | 1100.56        
872    | 1098.79        
873    | 1099.65        
874    | 1102.12        
875    | 1101.40        
876    | 1097.61        
877    | 1097.29        
878    | 1099.60        
879    | 1097.10        
880    | 1101.45        
881    | 1100.43        
882    | 1100.19        
883    | 1099.13        
884    | 1099.46        
885    | 1101.72        
886    | 1103.17        
887    | 1099.05        
888    | 1101.27        
889    | 1100.30        
890    | 1098.69        
891    | 1099.02        
892    | 1100.68        
893    | 1101.70        
894    | 1098.01        
895    | 1096.88        
896    | 1096.49        
897    | 1098.58        
898    | 1099.69        
899    | 1102.15        
900    | 1101.64        
901    | 3098.70        
902    | 1098.36        
903    | 1098.18        
904    | 1096.61        
905    | 1101.69        
906    | 1097.91        
907    | 1098.08        
908    | 1101.11        
909    | 1101.60        
910    | 1101.92        
911    | 1100.91        
912    | 1097.24        
913    | 1097.86        
914    | 1099.75        
915    | 1100.39        
916    | 1099.27        
917    | 1098.39        
918    | 1098.74        
919    | 1099.79        
920    | 1102.50        
921    | 1101.33        
922    | 1097.90        
923    | 1101.84        
924    | 1097.82        
925    | 1102.66        
926    | 1100.24        
927    | 1102.26        
928    | 1097.53        
929    | 1103.16        
930    | 1096.59        
931    | 1100.75        
932    | 1103.54        
933    | 1099.42        
934    | 1097.25        
935    | 1098.39        
936    | 1103.41        
937    | 1101.97        
938    | 1097.29        
939    | 1098.25        
940    | 1097.95        
941    | 1098.77        
942    | 1096.71        
943    | 1101.51        
944    | 1098.32        
945    | 1096.92        
946    | 1099.63        
947    | 1101.76        
948    | 1101.85        
949    | 1099.87        
950    | 1103.41        
951    | 1103.07        
952    | 1103.54        
953    | 1101.74        
954    | 1101.46        
955    | 1099.60        
956    | 1097.50        
957    | 1103.01        
958    | 1100.44        
959    | 1100.78        
960    | 1101.59        
961    | 3096.90        
962    | 1101.81        
963    | 1100.08        
964    | 1099.37        
965    | 1100.80        
966    | 1103.37        
967    | 1099.34        
968    | 1097.40        
969    | 1103.01        
970    | 1096.91        
971    | 1102.32        
972    | 1103.35        
973    | 1102.53        
974    | 1098.89        
975    | 1103.56        
976    | 1100.13        
977    | 1097.70        
978    | 1097.37        
979    | 1101.46        
980    | 1100.21        
981    | 1103.34        
982    | 1096.61        
983    | 1099.91        
984    | 1098.49        
985    | 1101.36        
986    | 1100.26        
987    | 1100.08        
988    | 1100.47        
989    | 1099.89        
990    | 1099.35        
991    | 1099.44        
992    | 1099.38        
993    | 1103.34        
994    | 1096.93        
995    | 1101.55        
996    | 1099.45        
997    | 1103.17        
998    | 1100.71        
999    | 1102.95        
1000   | 1096.63        
1001   | 1101.86        
1002   | 1097.50        
1003   | 1099.07        
1004   | 1103.21        
1005   | 1097.10        
1006   | 1099.70        
1007   | 1101.44        
1008   | 1098.48        
1009   | 1097.50        
1010   | 1097.62        
1011   | 1096.51        
1012   | 1097.95        
1013   | 1102.65        
1014   | 1103.11        
1015   | 1096.66        
1016   | 1097.43        
1017   | 1103.13        
1018   | 1099.71        
1019   | 1097.31        
1020   | 1100.94        
1021   | 3251.29        
1022   | 1248.77        
1023   | 1250.99        
1024   | 1248.54        
1025   | 1252.27        
1026   | 1247.23        
1027   | 1246.68        
1028   | 1251.91        
1029   | 1248.40        
1030   | 1247.94        
1031   | 1249.07        
1032   | 1249.60        
1033   | 1252.87        
1034   | 1248.26        
1035   | 1251.42        
1036   | 1251.71        
1037   | 1250.84        
1038   | 1247.03        
1039   | 1246.55        
1040   | 1252.32        
1041   | 1253.34        
1042   | 1249.38        
1043   | 1252.75        
1044   | 1249.28        
1045   | 1248.32        
1046   | 1249.17        
1047   | 1252.62        
1048   | 1250.20        
1049   | 1247.47        
1050   | 1248.37        
1051   | 1250.37        
1052   | 1251.03        
1053   | 1252.25        
1054   | 1251.43        
1055   | 1246.53        
1056   | 1250.69        
1057   | 1253.01        
1058   | 1251.25        
1059   | 1248.79        
1060   | 1250.39        
1061   | 1251.13        
1062   | 1253.18        
1063   | 1246.89        
1064   | 1252.45        
1065   | 1251.60        
1066   | 1249.13        
1067   | 1250.29        
1068   | 1251.51        
1069   | 1247.31        
1070   | 1249.36        
1071   | 1252.50        
1072   | 1252.31        
1073   | 1250.00        
1074   | 1248.07        
1075   | 1250.70        
1076   | 1246.45        
1077   | 1251.40        
1078   | 1253.05        
1079   | 1250.88        
1080   | 1252.77        
1081   | 3251.90        
1082   | 1252.41        
1083   | 1250.23        
1084   | 1249.43        
1085   | 1247.66        
1086   | 1252.70        
1087   | 1252.56        
1088   | 1248.65        
1089   | 1251.50        
1090   | 1248.37        
1091   | 1252.37        
1092   | 1252.55        
1093   | 1247.52        
1094   | 1250.84        
1095   | 1251.99        
1096   | 1253.35        
1097   | 1249.73        
1098   | 1253.51        
1099   | 1248.43        
1100   | 1249.91        
1101   | 1253.54        
1102   | 1247.76        
1103   | 1246.76        
1104   | 1248.73        
1105   | 1252.88        
1106   | 1248.89        
1107   | 1252.91        
1108   | 1252.95        
1109   | 1249.47        
1110   | 1250.07        
1111   | 1247.14        
1112   | 1247.43        
1113   | 1248.27        
1114   | 1248.07        
1115   | 1247.44        
1116   | 1252.73        
1117   | 1249.11        
1118   | 1246.62        
1119   | 1247.40        
1120   | 1253.27        
1121   | 1249.06        
1122   | 1253.30        
1123   | 1246.57        
1124   | 1248.03        
1125   | 1252.56        
1126   | 1250.51        
1127   | 1248.90        
1128   | 1253.40        
1129   | 1251.28        
1130   | 1251.73        
1131   | 1251.34        
1132   | 1248.01        
1133   | 1246.58        
1134   | 1247.84        
1135   | 1250.97        
1136   | 1246.90        
1137   | 1252.27        
1138   | 1252.29        
1139   | 1250.54        
1140   | 1253.26        
1141   | 3247.97        
1142   | 1250.96        
1143   | 1251.08        
1144   | 1249.41        
1145   | 1247.94        
1146   | 1250.42        
1147   | 1250.19        
1148   | 1252.96        
1149   | 1251.61        
1150   | 1252.14        
1151   | 1247.66        
1152   | 1247.99        
1153   | 1252.86        
1154   | 1246.91        
1155   | 1248.94        
1156   | 1253.29        
1157   | 1247.44        
1158   | 1252.03        
1159   | 1253.48        
1160   | 1247.16        
1161   | 1248.40        
1162   | 1251.21        
1163   | 1248.69        
1164   | 1247.19        
1165   | 1246.90        
1166   | 1246.68        
1167   | 1250.39        
1168   | 1248.12        
1169   | 1247.01        
1170   | 1248.78        
1171   | 1247.15        
1172   | 1247.90        
1173   | 1250.01        
1174   | 1251.81        
1175   | 1250.66        
1176   | 1247.62        
1177   | 1251.26        
1178   | 1247.46        
1179   | 1248.28        
1180   | 1246.70        
1181   | 1247.73        
1182   | 1252.37        
1183   | 1250.10        
1184   | 1251.34        
1185   | 1252.29        
1186   | 1246.99        
1187   | 1247.30        
1188   | 1247.92        
1189   | 1249.63        
1190   | 1249.57        
1191   | 1252.33        
1192   | 1250.39        
1193   | 1249.96        
1194   | 1252.83        
1195   | 1247.92        
1196   | 1248.48        
1197   | 1247.71        
1198   | 1249.69        
1199   | 1251.28        
1200   | 1252.84        
1201   | 3248.38        
1202   | 1251.54        
1203   | 1250.25        
1204   | 1248.26        
1205   | 1247.96        
1206   | 1248.79        
1207   | 1247.16        
1208   | 1251.63        
1209   | 1253.37        
1210   | 1251.47        
1211   | 1252.71        
1212   | 1252.45        
1213   | 1251.18        
1214   | 1250.31        
1215   | 1249.17        
1216   | 1247.72        
1217   | 1251.04        
1218   | 1247.86        
1219   | 1253.02        
1220   | 1251.23        
1221   | 1247.99        
1222   | 1253.29        
1223   | 1252.34        
1224   | 1250.17        
1225   | 1247.33        
1226   | 1252.89        
1227   | 1248.20        
1228   | 1250.37        
1229   | 1250.02        
1230   | 1250.56        
1231   | 1249.44        
1232   | 1252.74        
1233   | 1248.49        
1234   | 1250.89        
1235   | 1247.40        
1236   | 1252.26        
1237   | 1248.65        
1238   | 1251.85        
1239   | 1249.32        
1240   | 1251.67        
1241   | 1251.01        
1242   | 1247.10        
1243   | 1253.32        
1244   | 1251.31        
1245   | 1248.13        
1246   | 1249.89        
1247   | 1251.81        
1248   | 1246.68        
1249   | 1248.75        
1250   | 1251.93        
1251   | 1253.03        
1252   | 1253.47        
1253   | 1253.43        
1254   | 1247.72        
1255   | 1252.34        
1256   | 1251.70        
1257   | 1248.53        
1258   | 1250.53        
1259   | 1252.25        
1260   | 1250.58        
1261   | 2847.36        
1262   | 851.35         
1263   | 852.15         
1264   | 846.88         
1265   | 852.87         
1266   | 851.18         
1267   | 847.19         
1268   | 846.42         
1269   | 846.95         
1270   | 846.82         
1271   | 848.78         
1272   | 852.13         
1273   | 847.33         
1274   | 847.88         
1275   | 850.13         
1276   | 853.18         
1277   | 850.65         
1278   | 847.67         
1279   | 847.86         
1280   | 853.28         
1281   | 846.79         
1282   | 852.11         
1283   | 852.49         
1284   | 849.74         
1285   | 848.18         
1286   | 849.94         
1287   | 850.83         
1288   | 852.83         
1289   | 847.91         
1290   | 848.75         
1291   | 847.39         
1292   | 852.61         
1293   | 847.98         
1294   | 852.41         
1295   | 849.12         
1296   | 852.67         
1297   | 851.35         
1298   | 849.01         
1299   | 848.17         
1300   | 850.52         
1301   | 848.34         
1302   | 850.45         
1303   | 848.80         
1304   | 846.45         
1305   | 847.56         
1306   | 850.69         
1307   | 851.89         
1308   | 850.92         
1309   | 850.54         
1310   | 847.76         
1311   | 849.28         
1312   | 848.17         
1313   | 851.24         
1314   | 852.81         
1315   | 850.50         
1316   | 848.22         
1317   | 846.47         
1318   | 847.56         
1319   | 848.09         
1320   | 846.48         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
