Minute | Consumption (W) - SCENARIO: Monthly Steam Cleaning
718    | 580.07         
719    | 579.11         
720    | 582.50         
721    | 729.58         
722    | 733.52         
723    | 730.85         
724    | 730.68         
725    | 729.97         
726    | 733.03         
727    | 733.53         
728    | 731.33         
729    | 732.76         
730    | 726.68         
731    | 1727.02        
732    | 1731.53        
733    | 1726.72        
734    | 1732.48        
735    | 1731.25        
736    | 1728.38        
737    | 1731.84        
738    | 1731.48        
739    | 1728.93        
740    | 1730.55        
741    | 730.69         
742    | 728.31         
743    | 728.32         
744    | 730.55         
745    | 730.80         
746    | 726.56         
747    | 728.30         
748    | 731.74         
749    | 729.76         
750    | 727.14         
751    | 730.86         
752    | 732.62         
753    | 733.48         
754    | 727.91         
755    | 726.67         
756    | 730.71         
757    | 732.70         
758    | 732.99         
759    | 732.95         
760    | 727.29         
761    | 728.17         
762    | 729.98         
763    | 728.05         
764    | 728.24         
765    | 727.98         
766    | 732.53         
767    | 729.79         
768    | 728.22         
769    | 727.78         
770    | 726.53         
771    | 728.61         
772    | 731.10         
773    | 729.81         
774    | 727.93         
775    | 730.38         
776    | 726.75         
777    | 730.13         
778    | 727.35         
779    | 731.82         
780    | 731.69         
781    | 700.71         
782    | 701.12         
783    | 702.57         
784    | 701.45         
785    | 698.02         
786    | 702.26         
787    | 700.38         
788    | 702.66         
789    | 700.56         
790    | 700.53         
791    | 698.38         
792    | 698.50         
793    | 698.42         
794    | 702.76         
795    | 697.12         
796    | 702.08         
797    | 696.64         
798    | 700.06         
799    | 700.97         
800    | 700.18         
801    | 699.68         
802    | 697.67         
803    | 700.33         
804    | 700.68         
805    | 701.83         
806    | 702.87         
807    | 698.48         
808    | 700.21         
809    | 696.58         
810    | 698.91         
811    | 699.66         
812    | 700.91         
813    | 697.06         
814    | 700.72         
815    | 698.81         
816    | 696.85         
817    | 700.49         
818    | 700.75         
819    | 698.56         
820    | 699.71         
821    | 703.39         
822    | 698.28         
823    | 698.24         
824    | 701.61         
825    | 697.08         
826    | 701.63         
827    | 700.40         
828    | 701.06         
829    | 698.68         
830    | 700.67         
831    | 700.50         
832    | 699.94         
833    | 698.15         
834    | 699.16         
835    | 701.80         
836    | 700.54         
837    | 701.44         
838    | 699.63         
839    | 697.88         
840    | 699.04         
841    | 696.88         
842    | 702.03         
843    | 699.04         
844    | 696.70         
845    | 699.68         
846    | 696.46         
847    | 703.18         
848    | 702.22         
849    | 702.49         
850    | 701.68         
851    | 703.00         
852    | 701.51         
853    | 701.54         
854    | 699.80         
855    | 696.52         
856    | 699.46         
857    | 702.09         
858    | 701.05         
859    | 699.69         
860    | 700.32         
861    | 701.15         
862    | 702.37         
863    | 702.69         
864    | 700.66         
865    | 699.03         
866    | 700.40         
867    | 697.34         
868    | 699.42         
869    | 701.12         
870    | 701.02         
871    | 699.94         
872    | 700.23         
873    | 700.81         
874    | 698.13         
875    | 702.16         
876    | 697.71         
877    | 703.48         
878    | 700.37         
879    | 701.04         
880    | 703.45         
881    | 699.56         
882    | 698.31         
883    | 697.34         
884    | 702.92         
885    | 697.34         
886    | 702.84         
887    | 697.56         
888    | 698.88         
889    | 696.62         
890    | 697.97         
891    | 701.03         
892    | 701.84         
893    | 700.92         
894    | 698.55         
895    | 699.47         
896    | 696.82         
897    | 697.12         
898    | 703.19         
899    | 701.00         
900    | 701.38         
901    | 699.08         
902    | 701.15         
903    | 698.09         
904    | 703.11         
905    | 700.94         
906    | 696.89         
907    | 703.11         
908    | 701.22         
909    | 701.15         
910    | 697.24         
911    | 700.74         
912    | 696.68         
913    | 697.43         
914    | 697.73         
915    | 699.36         
916    | 702.83         
917    | 702.14         
918    | 703.07         
919    | 697.80         
920    | 700.28         
921    | 697.49         
922    | 700.43         
923    | 699.36         
924    | 700.11         
925    | 697.47         
926    | 703.58         
927    | 697.88         
928    | 702.30         
929    | 701.12         
930    | 700.61         
931    | 699.28         
932    | 697.04         
933    | 702.68         
934    | 703.21         
935    | 696.71         
936    | 703.50         
937    | 699.88         
938    | 701.93         
939    | 696.94         
940    | 696.58         
941    | 700.80         
942    | 703.36         
943    | 698.71         
944    | 701.37         
945    | 702.95         
946    | 701.09         
947    | 698.47         
948    | 700.34         
949    | 697.37         
950    | 700.22         
951    | 697.59         
952    | 701.91         
953    | 701.42         
954    | 699.25         
955    | 703.02         
956    | 699.14         
957    | 697.25         
958    | 699.03         
959    | 699.26         
960    | 699.29         
961    | 699.33         
962    | 697.02         
963    | 702.40         
964    | 700.00         
965    | 701.84         
966    | 696.64         
967    | 700.53         
968    | 702.22         
969    | 702.00         
970    | 700.23         
971    | 697.00         
972    | 702.69         
973    | 699.22         
974    | 697.43         
975    | 702.88         
976    | 699.91         
977    | 701.28         
978    | 703.26         
979    | 700.44         
980    | 698.31         
981    | 698.53         
982    | 698.17         
983    | 697.89         
984    | 701.90         
985    | 698.79         
986    | 703.45         
987    | 697.67         
988    | 703.54         
989    | 697.89         
990    | 701.19         
991    | 697.21         
992    | 701.57         
993    | 697.48         
994    | 702.07         
995    | 703.18         
996    | 700.23         
997    | 697.78         
998    | 703.33         
999    | 700.12         
1000   | 697.21         
1001   | 697.58         
1002   | 702.15         
1003   | 696.45         
1004   | 699.11         
1005   | 699.30         
1006   | 700.35         
1007   | 703.27         
1008   | 702.92         
1009   | 698.80         
1010   | 701.25         
1011   | 698.34         
1012   | 700.82         
1013   | 696.53         
1014   | 698.45         
1015   | 701.88         
1016   | 699.76         
1017   | 699.57         
1018   | 702.34         
1019   | 696.85         
1020   | 697.85         
1021   | 848.96         
1022   | 849.49         
1023   | 846.73         
1024   | 847.64         
1025   | 847.31         
1026   | 847.43         
1027   | 851.16         
1028   | 848.50         
1029   | 851.14         
1030   | 851.47         
1031   | 851.95         
1032   | 848.96         
1033   | 848.42         
1034   | 850.19         
1035   | 848.32         
1036   | 846.45         
1037   | 849.78         
1038   | 847.11         
1039   | 848.02         
1040   | 849.94         
1041   | 848.81         
1042   | 852.29         
1043   | 848.37         
1044   | 846.84         
1045   | 852.19         
1046   | 846.72         
1047   | 846.65         
1048   | 849.70         
1049   | 850.23         
1050   | 847.80         
1051   | 849.51         
1052   | 853.33         
1053   | 848.97         
1054   | 846.49         
1055   | 852.55         
1056   | 847.64         
1057   | 849.38         
1058   | 848.78         
1059   | 852.18         
1060   | 846.80         
1061   | 846.77         
1062   | 849.18         
1063   | 849.38         
1064   | 853.50         
1065   | 853.04         
1066   | 849.17         
1067   | 848.06         
1068   | 850.54         
1069   | 848.10         
1070   | 852.33         
1071   | 853.01         
1072   | 847.46         
1073   | 849.72         
1074   | 846.82         
1075   | 849.01         
1076   | 851.15         
1077   | 851.77         
1078   | 847.00         
1079   | 850.19         
1080   | 846.57         
1081   | 848.30         
1082   | 849.24         
1083   | 847.15         
1084   | 850.09         
1085   | 847.97         
1086   | 848.21         
1087   | 851.64         
1088   | 848.97         
1089   | 849.01         
1090   | 853.01         
1091   | 853.47         
1092   | 850.37         
1093   | 852.54         
1094   | 849.16         
1095   | 847.54         
1096   | 851.70         
1097   | 853.27         
1098   | 847.28         
1099   | 852.66         
1100   | 846.77         
1101   | 848.02         
1102   | 851.03         
1103   | 853.36         
1104   | 848.92         
1105   | 851.45         
1106   | 851.40         
1107   | 852.17         
1108   | 846.97         
1109   | 847.52         
1110   | 850.21         
1111   | 849.97         
1112   | 846.78         
1113   | 850.42         
1114   | 848.87         
1115   | 847.13         
1116   | 852.74         
1117   | 847.51         
1118   | 849.28         
1119   | 853.52         
1120   | 846.40         
1121   | 847.36         
1122   | 850.71         
1123   | 847.44         
1124   | 851.24         
1125   | 850.71         
1126   | 848.56         
1127   | 850.84         
1128   | 851.50         
1129   | 849.92         
1130   | 848.60         
1131   | 849.46         
1132   | 848.39         
1133   | 847.39         
1134   | 851.63         
1135   | 847.83         
1136   | 846.99         
1137   | 849.66         
1138   | 849.41         
1139   | 853.09         
1140   | 846.77         
1141   | 848.07         
1142   | 853.51         
1143   | 849.71         
1144   | 852.34         
1145   | 853.55         
1146   | 850.36         
1147   | 848.43         
1148   | 850.97         
1149   | 848.72         
1150   | 848.89         
1151   | 853.14         
1152   | 846.96         
1153   | 848.79         
1154   | 849.28         
1155   | 846.78         
1156   | 849.95         
1157   | 848.66         
1158   | 848.61         
1159   | 850.97         
1160   | 847.36         
1161   | 849.46         
1162   | 853.49         
1163   | 849.09         
1164   | 848.65         
1165   | 849.39         
1166   | 847.62         
1167   | 850.30         
1168   | 847.04         
1169   | 853.12         
1170   | 851.58         
1171   | 850.75         
1172   | 850.72         
1173   | 849.98         
1174   | 850.40         
1175   | 847.66         
1176   | 851.84         
1177   | 852.32         
1178   | 851.05         
1179   | 850.68         
1180   | 851.05         
1181   | 851.42         
1182   | 846.85         
1183   | 852.93         
1184   | 847.95         
1185   | 848.19         
1186   | 852.31         
1187   | 850.88         
1188   | 852.39         
1189   | 852.81         
1190   | 848.60         
1191   | 847.04         
1192   | 850.01         
1193   | 847.02         
1194   | 848.88         
1195   | 846.79         
1196   | 847.47         
1197   | 849.75         
1198   | 848.07         
1199   | 847.91         
1200   | 846.93         
1201   | 850.24         
1202   | 851.70         
1203   | 847.27         
1204   | 851.85         
1205   | 848.54         
1206   | 849.58         
1207   | 846.95         
1208   | 848.67         
1209   | 851.85         
1210   | 850.74         
1211   | 848.02         
1212   | 852.44         
1213   | 850.48         
1214   | 847.19         
1215   | 849.29         
1216   | 847.75         
1217   | 847.03         
1218   | 852.32         
1219   | 852.92         
1220   | 853.08         
1221   | 847.25         
1222   | 846.57         
1223   | 849.74         
1224   | 847.11         
1225   | 852.45         
1226   | 852.19         
1227   | 852.23         
1228   | 849.55         
1229   | 849.75         
1230   | 850.24         
1231   | 846.43         
1232   | 850.15         
1233   | 852.40         
1234   | 846.95         
1235   | 847.76         
1236   | 849.73         
1237   | 852.49         
1238   | 849.82         
1239   | 850.86         
1240   | 847.27         
1241   | 849.96         
1242   | 846.73         
1243   | 851.44         
1244   | 849.24         
1245   | 851.39         
1246   | 851.74         
1247   | 848.44         
1248   | 848.34         
1249   | 853.33         
1250   | 852.12         
1251   | 848.51         
1252   | 847.60         
1253   | 848.61         
1254   | 849.42         
1255   | 851.76         
1256   | 850.33         
1257   | 847.36         
1258   | 848.16         
1259   | 853.04         
1260   | 849.45         
1261   | 446.96         
1262   | 450.11         
1263   | 449.75         
1264   | 450.23         
1265   | 446.47         
1266   | 449.77         
1267   | 451.21         
1268   | 451.40         
1269   | 449.20         
1270   | 448.75         
1271   | 448.32         
1272   | 452.00         
1273   | 448.79         
1274   | 448.58         
1275   | 449.52         
1276   | 450.76         
1277   | 452.17         
1278   | 449.87         
1279   | 450.73         
1280   | 447.87         
1281   | 450.17         
1282   | 450.30         
1283   | 447.90         
1284   | 450.96         
1285   | 448.83         
1286   | 451.56         
1287   | 449.25         
1288   | 449.22         
1289   | 446.62         
1290   | 452.79         
1291   | 448.83         
1292   | 453.36         
1293   | 447.01         
1294   | 447.94         
1295   | 452.43         
1296   | 452.00         
1297   | 451.24         
1298   | 446.67         
1299   | 449.18         
1300   | 451.14         
1301   | 448.93         
1302   | 452.10         
1303   | 453.44         
1304   | 451.92         
1305   | 446.88         
1306   | 448.28         
1307   | 448.33         
1308   | 446.77         
1309   | 450.01         
1310   | 448.01         
1311   | 452.81         
1312   | 446.73         
1313   | 448.49         
1314   | 447.98         
1315   | 447.49         
1316   | 452.44         
1317   | 450.00         
1318   | 453.59         
1319   | 446.62         
1320   | 446.78         
1321   | 210.00         
1322   | 210.00         
1323   | 210.00         
1324   | 210.00         
1325   | 210.00         
1326   | 210.00         
1327   | 210.00         
1328   | 210.00         
1329   | 210.00         
1330   | 210.00         
1331   | 210.00         
1332   | 210.00         
1333   | 210.00         
1334   | 210.00         
1335   | 210.00         
1336   | 210.00         
1337   | 210.00         
1338   | 210.00         
1339   | 210.00         
1340   | 210.00         
1341   | 210.00         
1342   | 210.00         
1343   | 210.00         
1344   | 210.00         
1345   | 210.00         
1346   | 210.00         
1347   | 210.00         
1348   | 210.00         
1349   | 210.00         
1350   | 210.00         
1351   | 210.00         
1352   | 210.00         
1353   | 210.00         
1354   | 210.00         
1355   | 210.00         
1356   | 210.00         
1357   | 210.00         
1358   | 210.00         
1359   | 210.00         
1360   | 210.00         
1361   | 210.00         
1362   | 210.00         
1363   | 210.00         
1364   | 210.00         
1365   | 210.00         
1366   | 210.00         
1367   | 210.00         
1368   | 210.00         
1369   | 210.00         
1370   | 210.00         
1371   | 210.00         
1372   | 210.00         
1373   | 210.00         
1374   | 210.00         
1375   | 210.00         
1376   | 210.00         
1377   | 210.00         
1378   | 210.00         
1379   | 210.00         
1380   | 210.00         
1381   | 210.00         
1382   | 210.00         
1383   | 210.00         
1384   | 210.00         
1385   | 210.00         
1386   | 210.00         
1387   | 210.00         
1388   | 210.00         
1389   | 210.00         
1390   | 210.00         
1391   | 210.00         
1392   | 210.00         
1393   | 210.00         
1394   | 210.00         
1395   | 210.00         
1396   | 210.00         
1397   | 210.00         
1398   | 210.00         
1399   | 210.00         
1400   | 210.00         
1401   | 210.00         
1402   | 210.00         
1403   | 210.00         
1404   | 210.00         
1405   | 210.00         
1406   | 210.00         
1407   | 210.00         
1408   | 210.00         
1409   | 210.00         
1410   | 210.00         
1411   | 210.00         
1412   | 210.00         
1413   | 210.00         
1414   | 210.00         
1415   | 210.00         
1416   | 210.00         
1417   | 210.00         
1418   | 210.00         
1419   | 210.00         
1420   | 210.00         
1421   | 210.00         
1422   | 210.00         
1423   | 210.00         
1424   | 210.00         
1425   | 210.00         
1426   | 210.00         
1427   | 210.00         
1428   | 210.00         
1429   | 210.00         
1430   | 210.00         
1431   | 210.00         
1432   | 210.00         
1433   | 210.00         
1434   | 210.00         
1435   | 210.00         
1436   | 210.00         
1437   | 210.00         
1438   | 210.00         
1439   | 210.00         
1440   | 210.00         
